Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  250  8.02409e-44  2.56137e-12
  260  1.30458e-42  2.29695e-12
  270  1.70743e-41  2.05352e-12
  280  1.91351e-40  1.90279e-12
  290  1.80397e-39  1.76016e-12
  300  1.43272e-38  1.60023e-12
  310  1.00977e-37  1.48392e-12
  320  6.34544e-37  1.39191e-12
  330  3.58824e-36  1.31773e-12
  340  1.84323e-35  1.25823e-12
  350  8.68558e-35  1.21273e-12
  360  3.73059e-34  1.16312e-12
  370  1.49285e-33  1.12658e-12
  380  5.60043e-33  1.10184e-12
  390  1.95417e-32  1.07348e-12
  400  6.49359e-32  1.06122e-12
  410  2.01595e-31  1.03951e-12
  420  5.91093e-31  1.01569e-12
  430  1.66743e-30  1.00457e-12
  440  4.47974e-30  9.92181e-13
  450  1.16183e-29  9.88758e-13
  460   2.8877e-29  9.84171e-13
  470  6.89042e-29  9.77582e-13
  480  1.60808e-28  9.84857e-13
  490  3.55526e-28  9.72536e-13
  500  7.71411e-28  9.73225e-13
  510  1.64172e-27  9.84531e-13
  520  3.34383e-27   9.8069e-13
  530  6.70945e-27  9.88538e-13
  540  1.31208e-26  9.96099e-13
  550  2.49851e-26  1.00109e-12
  560  4.64753e-26  1.00538e-12
  570  8.46835e-26  1.01058e-12
  580   1.5224e-25  1.02288e-12
  590  2.68743e-25  1.03652e-12
  600  4.66332e-25  1.05167e-12
  610  7.92225e-25  1.06312e-12
  620  1.31893e-24  1.07089e-12
  630  2.16419e-24  1.08022e-12
  640  3.50195e-24  1.09092e-12
  650  5.62565e-24  1.10968e-12
  660  8.84052e-24  1.11954e-12
  670  1.38031e-23  1.13709e-12
  680  2.12867e-23  1.15521e-12
  690  3.24341e-23  1.17362e-12
  700   4.8818e-23  1.19149e-12
  800  1.71621e-21  1.40155e-12
  900  2.83762e-20  1.64877e-12
 1000  2.79898e-19  1.96439e-12
 1100  1.87756e-18   2.3405e-12
 1200  9.39231e-18  2.77808e-12
 1300  3.70409e-17  3.24904e-12
 1400  1.22695e-16  3.80313e-12
 1500  3.50992e-16  4.42373e-12
 1600  8.90779e-16  5.11626e-12
 1700  2.04949e-15  5.89244e-12
 1800  4.32103e-15  6.72467e-12
 1900  8.51664e-15  7.66269e-12
 2000  1.57258e-14  8.65062e-12
 2100   2.7556e-14  9.72249e-12
 2200   4.6202e-14   1.0897e-11
 2300  7.43789e-14  1.21558e-11
 2400  1.16214e-13  1.35807e-11
 2500  1.74125e-13  1.49569e-11
 2600  2.55162e-13  1.65087e-11
 2700  3.64593e-13  1.81566e-11
 2800  5.09107e-13  1.98956e-11
 2900  6.96511e-13  2.17328e-11
 3000  9.35655e-13  2.36755e-11
