Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  250  9.70915e-44  2.81751e-12
  260  1.57854e-42  2.52664e-12
  270  2.06599e-41  2.25887e-12
  280  2.31535e-40  2.09307e-12
  290   2.1828e-39  1.93618e-12
  300  1.73359e-38  1.76026e-12
  310  1.22183e-37  1.63231e-12
  320  7.67799e-37  1.53111e-12
  330  4.34177e-36   1.4495e-12
  340  2.23031e-35  1.38405e-12
  350  1.05096e-34  1.33401e-12
  360  4.51401e-34  1.27944e-12
  370  1.80635e-33  1.23923e-12
  380  6.77652e-33  1.21203e-12
  390  2.36455e-32  1.18083e-12
  400  7.85725e-32  1.16734e-12
  410  2.43929e-31  1.14346e-12
  420  7.15223e-31  1.11726e-12
  430  2.01758e-30  1.10503e-12
  440  5.42049e-30   1.0914e-12
  450  1.40581e-29  1.08763e-12
  460  3.49411e-29  1.08259e-12
  470  8.33741e-29  1.07534e-12
  480  1.94577e-28  1.08334e-12
  490  4.30186e-28  1.06979e-12
  500  9.33408e-28  1.07055e-12
  510  1.98649e-27  1.08298e-12
  520  4.04603e-27  1.07876e-12
  530  8.11843e-27  1.08739e-12
  540  1.58762e-26  1.09571e-12
  550   3.0232e-26   1.1012e-12
  560  5.62352e-26  1.10592e-12
  570  1.02467e-25  1.11163e-12
  580  1.84211e-25  1.12517e-12
  590  3.25179e-25  1.14017e-12
  600  5.64261e-25  1.15683e-12
  610  9.58592e-25  1.16943e-12
  620   1.5959e-24  1.17798e-12
  630  2.61868e-24  1.18824e-12
  640  4.23736e-24  1.20001e-12
  650  6.80703e-24  1.22065e-12
  660   1.0697e-23  1.23149e-12
  670  1.67017e-23   1.2508e-12
  680  2.57569e-23  1.27073e-12
  690  3.92453e-23  1.29098e-12
  700  5.90698e-23  1.31064e-12
  800  2.07661e-21   1.5417e-12
  900  3.43352e-20  1.81364e-12
 1000  3.38677e-19  2.16083e-12
 1100  2.27185e-18  2.57455e-12
 1200  1.13647e-17  3.05589e-12
 1300  4.48195e-17  3.57394e-12
 1400  1.48461e-16  4.18344e-12
 1500  4.24701e-16   4.8661e-12
 1600  1.07784e-15  5.62789e-12
 1700  2.47989e-15  6.48169e-12
 1800  5.22844e-15  7.39714e-12
 1900  1.03051e-14  8.42896e-12
 2000  1.90283e-14  9.51568e-12
 2100  3.33428e-14  1.06947e-11
 2200  5.59044e-14  1.19867e-11
 2300  8.99984e-14  1.33714e-11
 2400  1.40619e-13  1.49387e-11
 2500  2.10691e-13  1.64526e-11
 2600  3.08746e-13  1.81596e-11
 2700  4.41157e-13  1.99722e-11
 2800  6.16019e-13  2.18851e-11
 2900  8.42778e-13   2.3906e-11
 3000  1.13214e-12  2.60431e-11
