========================================
ch2o+o2_P1_SymmetryFactor_1_0.1.out
--
T,P1->P2
250.0,9.70915e-44
260.0,1.57854e-42
270.0,2.06599e-41
280.0,2.31535e-40
290.0,2.1828e-39
300.0,1.73359e-38
310.0,1.22183e-37
320.0,7.67799e-37
330.0,4.34177e-36
340.0,2.23031e-35
350.0,1.05096e-34
360.0,4.51401e-34
370.0,1.80635e-33
380.0,6.77652e-33
390.0,2.36455e-32
400.0,7.85725e-32
410.0,2.43929e-31
420.0,7.15223e-31
430.0,2.01758e-30
440.0,5.42049e-30
450.0,1.40581e-29
460.0,3.49411e-29
470.0,8.33741e-29
480.0,1.94577e-28
490.0,4.30186e-28
500.0,9.33408e-28
510.0,1.98649e-27
520.0,4.04603e-27
530.0,8.11843e-27
540.0,1.58762e-26
550.0,3.0232e-26
560.0,5.62352e-26
570.0,1.02467e-25
580.0,1.84211e-25
590.0,3.25179e-25
600.0,5.64261e-25
610.0,9.58592e-25
620.0,1.5959e-24
630.0,2.61868e-24
640.0,4.23736e-24
650.0,6.80703e-24
660.0,1.0697e-23
670.0,1.67017e-23
680.0,2.57569e-23
690.0,3.92453e-23
700.0,5.90698e-23
800.0,2.07661e-21
900.0,3.43352e-20
1000.0,3.38677e-19
1100.0,2.27185e-18
1200.0,1.13647e-17
1300.0,4.48195e-17
1400.0,1.48461e-16
1500.0,4.24701e-16
1600.0,1.07784e-15
1700.0,2.47989e-15
1800.0,5.22844e-15
1900.0,1.03051e-14
2000.0,1.90283e-14
2100.0,3.33428e-14
2200.0,5.59044e-14
2300.0,8.99984e-14
2400.0,1.40619e-13
2500.0,2.10691e-13
2600.0,3.08746e-13
2700.0,4.41157e-13
2800.0,6.16019e-13
2900.0,8.42778e-13
3000.0,1.13214e-12
========================================
ch2o+o2_B1_SymmetryFactor_1_0.1.out
--
T,P1->P2
250.0,8.02409e-44
260.0,1.30458e-42
270.0,1.70743e-41
280.0,1.91351e-40
290.0,1.80397e-39
300.0,1.43272e-38
310.0,1.00977e-37
320.0,6.34544e-37
330.0,3.58824e-36
340.0,1.84323e-35
350.0,8.68558e-35
360.0,3.73059e-34
370.0,1.49285e-33
380.0,5.60043e-33
390.0,1.95417e-32
400.0,6.49359e-32
410.0,2.01595e-31
420.0,5.91093e-31
430.0,1.66743e-30
440.0,4.47974e-30
450.0,1.16183e-29
460.0,2.8877e-29
470.0,6.89042e-29
480.0,1.60808e-28
490.0,3.55526e-28
500.0,7.71411e-28
510.0,1.64172e-27
520.0,3.34383e-27
530.0,6.70945e-27
540.0,1.31208e-26
550.0,2.49851e-26
560.0,4.64753e-26
570.0,8.46835e-26
580.0,1.5224e-25
590.0,2.68743e-25
600.0,4.66332e-25
610.0,7.92225e-25
620.0,1.31893e-24
630.0,2.16419e-24
640.0,3.50195e-24
650.0,5.62565e-24
660.0,8.84052e-24
670.0,1.38031e-23
680.0,2.12867e-23
690.0,3.24341e-23
700.0,4.8818e-23
800.0,1.71621e-21
900.0,2.83762e-20
1000.0,2.79898e-19
1100.0,1.87756e-18
1200.0,9.39231e-18
1300.0,3.70409e-17
1400.0,1.22695e-16
1500.0,3.50992e-16
1600.0,8.90779e-16
1700.0,2.04949e-15
1800.0,4.32103e-15
1900.0,8.51664e-15
2000.0,1.57258e-14
2100.0,2.7556e-14
2200.0,4.6202e-14
2300.0,7.43789e-14
2400.0,1.16214e-13
2500.0,1.74125e-13
2600.0,2.55162e-13
2700.0,3.64593e-13
2800.0,5.09107e-13
2900.0,6.96511e-13
3000.0,9.35655e-13
========================================
ch2o+o2_B1_Frequencies_1_0.1.out
--
T,P1->P2
250.0,7.69071e-44
260.0,1.24356e-42
270.0,1.61877e-41
280.0,1.80443e-40
290.0,1.69209e-39
300.0,1.33678e-38
310.0,9.37227e-38
320.0,5.85897e-37
330.0,3.29607e-36
340.0,1.68449e-35
350.0,7.89724e-35
360.0,3.37487e-34
370.0,1.34374e-33
380.0,5.01597e-33
390.0,1.74159e-32
400.0,5.75881e-32
410.0,1.77912e-31
420.0,5.19131e-31
430.0,1.45739e-30
440.0,3.89679e-30
450.0,1.00585e-29
460.0,2.48827e-29
470.0,5.90964e-29
480.0,1.3728e-28
490.0,3.02114e-28
500.0,6.52529e-28
510.0,1.38243e-27
520.0,2.80307e-27
530.0,5.59935e-27
540.0,1.09016e-26
550.0,2.06682e-26
560.0,3.82781e-26
570.0,6.94465e-26
580.0,1.24314e-25
590.0,2.18516e-25
600.0,3.77583e-25
610.0,6.38781e-25
620.0,1.05907e-24
630.0,1.7307e-24
640.0,2.78913e-24
650.0,4.46252e-24
660.0,6.98475e-24
670.0,1.08625e-23
680.0,1.66862e-23
690.0,2.53258e-23
700.0,3.79724e-23
800.0,1.28695e-21
900.0,2.0582e-20
1000.0,1.96971e-19
1100.0,1.28547e-18
1200.0,6.27173e-18
1300.0,2.41771e-17
1400.0,7.84361e-17
1500.0,2.20149e-16
1600.0,5.49036e-16
1700.0,1.24307e-15
1800.0,2.58225e-15
1900.0,5.02028e-15
2000.0,9.15288e-15
2100.0,1.58503e-14
2200.0,2.62852e-14
2300.0,4.18843e-14
2400.0,6.48191e-14
2500.0,9.62516e-14
2600.0,1.39865e-13
2700.0,1.98274e-13
2800.0,2.74809e-13
2900.0,3.73335e-13
3000.0,4.98201e-13
========================================
ch2o+o2_P1_Frequencies_1_0.1.out
--
T,P1->P2
250.0,8.83635e-44
260.0,1.43709e-42
270.0,1.88155e-41
280.0,2.10955e-40
290.0,1.98974e-39
300.0,1.58112e-38
310.0,1.11504e-37
320.0,7.01165e-37
330.0,3.96788e-36
340.0,2.03987e-35
350.0,9.62044e-35
360.0,4.13593e-34
370.0,1.65668e-33
380.0,6.22151e-33
390.0,2.17328e-32
400.0,7.23001e-32
410.0,2.24728e-31
420.0,6.59755e-31
430.0,1.86356e-30
