Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  250   1.0647e-43  3.39862e-12
  260  1.72573e-42  3.03846e-12
  270  2.24342e-41  2.69814e-12
  280  2.51289e-40   2.4988e-12
  290  2.36125e-39  2.30391e-12
  300  1.85643e-38  2.07349e-12
  310  1.29918e-37  1.90921e-12
  320  8.11622e-37  1.78034e-12
  330  4.56649e-36  1.67698e-12
  340  2.33596e-35  1.59458e-12
  350  1.09759e-34  1.53253e-12
  360  4.68795e-34  1.46161e-12
  370  1.86867e-33  1.41019e-12
  380  6.99635e-33  1.37648e-12
  390  2.43107e-32  1.33546e-12
  400  8.07445e-32  1.31957e-12
  410   2.4961e-31   1.2871e-12
  420  7.27579e-31  1.25022e-12
  430  2.04699e-30  1.23325e-12
  440  5.47871e-30  1.21343e-12
  450  1.41892e-29  1.20755e-12
  460  3.51842e-29  1.19913e-12
  470  8.36529e-29  1.18683e-12
  480  1.95395e-28  1.19669e-12
  490  4.29141e-28  1.17391e-12
  500  9.28933e-28  1.17196e-12
  510  1.97924e-27  1.18693e-12
  520  4.01203e-27  1.17666e-12
  530  8.04381e-27  1.18514e-12
  540  1.57112e-26  1.19275e-12
  550  2.98442e-26  1.19578e-12
  560  5.53466e-26  1.19729e-12
  570  1.00552e-25  1.19994e-12
  580  1.80672e-25  1.21391e-12
  590   3.1884e-25  1.22974e-12
  600  5.53269e-25  1.24773e-12
  610  9.38446e-25  1.25934e-12
  620  1.55751e-24  1.26461e-12
  630  2.54867e-24  1.27212e-12
  640  4.11405e-24   1.2816e-12
  650  6.61088e-24  1.30402e-12
  660  1.03566e-23  1.31153e-12
  670  1.61618e-23   1.3314e-12
  680  2.49114e-23  1.35192e-12
  690  3.79342e-23  1.37264e-12
  700  5.70414e-23   1.3922e-12
  800  1.98897e-21   1.6243e-12
  900  3.25317e-20  1.89022e-12
 1000  3.19261e-19  2.24065e-12
 1100   2.1348e-18  2.66116e-12
 1200  1.06552e-17  3.15164e-12
 1300  4.17708e-17  3.66392e-12
 1400  1.38038e-16   4.2787e-12
 1500  3.94066e-16   4.9666e-12
 1600  9.98519e-16  5.73508e-12
 1700  2.29632e-15   6.6021e-12
 1800  4.83165e-15  7.51934e-12
 1900  9.52377e-15  8.56884e-12
 2000  1.75526e-14  9.65548e-12
 2100  3.07045e-14  1.08334e-11
 2200  5.14505e-14  1.21349e-11
 2300  8.27614e-14  1.35258e-11
 2400  1.29583e-13  1.51429e-11
 2500  1.93537e-13  1.66244e-11
 2600  2.83558e-13   1.8346e-11
 2700  4.05045e-13  2.01711e-11
 2800  5.65271e-13  2.20904e-11
 2900  7.72832e-13  2.41141e-11
 3000  1.03752e-12  2.62531e-11
