========================================
ch2o+o2_B1_Frequencies_1_0.1.out
--
T,P1->P2
250.0,7.69071e-44
260.0,1.24356e-42
270.0,1.61877e-41
280.0,1.80443e-40
290.0,1.69209e-39
300.0,1.33678e-38
310.0,9.37227e-38
320.0,5.85897e-37
330.0,3.29607e-36
340.0,1.68449e-35
350.0,7.89724e-35
360.0,3.37487e-34
370.0,1.34374e-33
380.0,5.01597e-33
390.0,1.74159e-32
400.0,5.75881e-32
410.0,1.77912e-31
420.0,5.19131e-31
430.0,1.45739e-30
440.0,3.89679e-30
450.0,1.00585e-29
460.0,2.48827e-29
470.0,5.90964e-29
480.0,1.3728e-28
490.0,3.02114e-28
500.0,6.52529e-28
510.0,1.38243e-27
520.0,2.80307e-27
530.0,5.59935e-27
540.0,1.09016e-26
550.0,2.06682e-26
560.0,3.82781e-26
570.0,6.94465e-26
580.0,1.24314e-25
590.0,2.18516e-25
600.0,3.77583e-25
610.0,6.38781e-25
620.0,1.05907e-24
630.0,1.7307e-24
640.0,2.78913e-24
650.0,4.46252e-24
660.0,6.98475e-24
670.0,1.08625e-23
680.0,1.66862e-23
690.0,2.53258e-23
700.0,3.79724e-23
800.0,1.28695e-21
900.0,2.0582e-20
1000.0,1.96971e-19
1100.0,1.28547e-18
1200.0,6.27173e-18
1300.0,2.41771e-17
1400.0,7.84361e-17
1500.0,2.20149e-16
1600.0,5.49036e-16
1700.0,1.24307e-15
1800.0,2.58225e-15
1900.0,5.02028e-15
2000.0,9.15288e-15
2100.0,1.58503e-14
2200.0,2.62852e-14
2300.0,4.18843e-14
2400.0,6.48191e-14
2500.0,9.62516e-14
2600.0,1.39865e-13
2700.0,1.98274e-13
2800.0,2.74809e-13
2900.0,3.73335e-13
3000.0,4.98201e-13
========================================
ch2o+o2_B1_Energy_1_34.9759.out
--
T,P1->P2
250.0,7.21722e-44
260.0,1.18252e-42
270.0,1.55881e-41
280.0,1.75862e-40
290.0,1.66825e-39
300.0,1.33261e-38
310.0,9.44318e-38
320.0,5.96429e-37
330.0,3.38881e-36
340.0,1.74861e-35
350.0,8.27465e-35
360.0,3.56831e-34
370.0,1.43331e-33
380.0,5.39637e-33
390.0,1.88937e-32
400.0,6.29856e-32
410.0,1.96141e-31
420.0,5.76785e-31
430.0,1.6316e-30
440.0,4.39517e-30
450.0,1.14279e-29
460.0,2.8473e-29
470.0,6.80988e-29
480.0,1.59283e-28
490.0,3.52909e-28
500.0,7.67307e-28
510.0,1.63622e-27
520.0,3.33894e-27
530.0,6.71188e-27
540.0,1.31487e-26
550.0,2.50807e-26
560.0,4.67293e-26
570.0,8.52806e-26
580.0,1.53547e-25
590.0,2.71449e-25
600.0,4.71697e-25
610.0,8.02442e-25
620.0,1.33772e-24
630.0,2.19786e-24
640.0,3.56086e-24
650.0,5.7272e-24
660.0,9.01068e-24
670.0,1.40848e-23
680.0,2.17451e-23
690.0,3.31681e-23
700.0,4.99749e-23
800.0,1.77274e-21
900.0,2.95164e-20
1000.0,2.92778e-19
1100.0,1.97296e-18
1200.0,9.90724e-18
1300.0,3.91979e-17
1400.0,1.30199e-16
1500.0,3.73354e-16
1600.0,9.49518e-16
1700.0,2.18869e-15
1800.0,4.62209e-15
1900.0,9.12344e-15
2000.0,1.68686e-14
2100.0,2.95939e-14
2200.0,4.96729e-14
2300.0,8.00461e-14
2400.0,1.25183e-13
2500.0,1.8772e-13
2600.0,2.75298e-13
2700.0,3.93646e-13
2800.0,5.50043e-13
2900.0,7.52982e-13
3000.0,1.0121e-12
========================================
ch2o+o2_B1_SymmetryFactor_1_0.1.out
--
T,P1->P2
250.0,8.02409e-44
260.0,1.30458e-42
270.0,1.70743e-41
280.0,1.91351e-40
290.0,1.80397e-39
300.0,1.43272e-38
310.0,1.00977e-37
320.0,6.34544e-37
330.0,3.58824e-36
340.0,1.84323e-35
350.0,8.68558e-35
360.0,3.73059e-34
370.0,1.49285e-33
380.0,5.60043e-33
390.0,1.95417e-32
400.0,6.49359e-32
410.0,2.01595e-31
420.0,5.91093e-31
430.0,1.66743e-30
440.0,4.47974e-30
450.0,1.16183e-29
460.0,2.8877e-29
470.0,6.89042e-29
480.0,1.60808e-28
490.0,3.55526e-28
500.0,7.71411e-28
510.0,1.64172e-27
520.0,3.34383e-27
530.0,6.70945e-27
540.0,1.31208e-26
550.0,2.49851e-26
560.0,4.64753e-26
570.0,8.46835e-26
580.0,1.5224e-25
590.0,2.68743e-25
600.0,4.66332e-25
610.0,7.92225e-25
620.0,1.31893e-24
630.0,2.16419e-24
640.0,3.50195e-24
650.0,5.62565e-24
660.0,8.84052e-24
670.0,1.38031e-23
680.0,2.12867e-23
690.0,3.24341e-23
700.0,4.8818e-23
800.0,1.71621e-21
900.0,2.83762e-20
1000.0,2.79898e-19
1100.0,1.87756e-18
1200.0,9.39231e-18
1300.0,3.70409e-17
1400.0,1.22695e-16
1500.0,3.50992e-16
1600.0,8.90779e-16
1700.0,2.04949e-15
1800.0,4.32103e-15
1900.0,8.51664e-15
2000.0,1.57258e-14
2100.0,2.7556e-14
2200.0,4.6202e-14
2300.0,7.43789e-14
2400.0,1.16214e-13
2500.0,1.74125e-13
2600.0,2.55162e-13
2700.0,3.64593e-13
2800.0,5.09107e-13
2900.0,6.96511e-13
3000.0,9.35655e-13
