Pressure (atm),Temperature (K),B1_Frequencies_1_P0->P1,B1_Energy_1_P0->P1,P1_Energy_1_P0->P1,colrel_Epsilons_P0->P1,B0_SymmetryFactor_1_P0->P1,W0_Frequencies_1_P0->P1,W0_Energy_1_P0->P1,colrel_PowerOne_P0->P1,colrel_FactorOne_P0->P1,P1_SymmetryFactor_1_P0->P1,P0_SymmetryFactor_1_P0->P1,W0_SymmetryFactor_1_P0->P1,B1_SymmetryFactor_1_P0->P1,P1_Frequencies_1_P0->P1,B0_Frequencies_1_P0->P1,P0_Frequencies_1_P0->P1,P0_Energy_1_P0->P1,B0_Energy_1_P0->P1,colrel_Sigmas_P0->P1
0.1,200.0,-1.615140836492527,-1.223302978442355,0.0,0.0001011409418176699,-0.2934904619201873,-0.0013027825062138392,-0.00028056276457489617,-0.00023530873060437059,0.0006042577896347687,0.0,0.9999796822177526,-0.00039508305619582974,-0.7207462383920917,0.0,0.008216898699990748,0.0014870648108731644,2.5161044300185207,-1.3872589247397824,0.00035691073627426394
0.1,210.0,-1.6192917525476387,-1.2165108554222133,0.0,5.418329144879506e-05,-0.28206313045814985,-0.0012123391629406707,-0.0002730867756892352,-0.00021122951746164678,0.0005248252323752393,0.0,0.9999815132378063,-0.0003828142279135005,-0.7317516968566327,0.0,-0.01868081508754904,0.003921228342827843,2.3962688832332217,-1.2704635207492143,0.000300296472843
0.1,220.0,-1.6781925426289674,-1.2064807375389681,0.0,4.403960866374269e-05,-0.27191165901815645,-0.0010986804457432985,-0.0002444453580941701,-0.00015731904601205726,0.00047896079256779173,0.0,0.9999922651776105,-0.0003306845092431016,-0.742000670961921,0.0,-0.005380526832588103,0.004096980668511489,2.2873534946918554,-1.1677496317679328,0.0002795572771349724
0.1,230.0,-1.7348952198284457,-1.1950204902160309,0.0,4.4990536660395655e-05,-0.2628882088058938,-0.0009882605139579959,-0.00021363575791897538,-0.00010756335368060092,0.0004426030355652261,0.0,1.000001228443179,-0.0002804067839072237,-0.7511197924172622,0.0,0.0070823812076797575,0.004984671686903422,2.187913248233814,-1.0760049560123508,0.0002666385190137524
0.1,240.0,-1.778348965823361,-1.182685722859955,0.0,4.736125107308035e-05,-0.25479224393466876,-0.000889397933495047,-0.00018653135868251683,-7.03772423924216e-05,0.0004082197039318492,0.0,1.0000062018899867,-0.00024238560218233757,-0.7592091529364761,0.0,0.010852059510689233,0.006958802739414796,2.096757119615614,-0.9935318808595657,0.0002525712321199912
0.1,250.0,-1.8112607572739425,-1.1696251631551882,0.0,4.816489787890728e-05,-0.24747690553740478,-0.0008032568427690278,-0.00016406877696732074,-4.515065909440763e-05,0.00037439088304158614,0.0,1.0000077951174868,-0.00021611067620416915,-0.7664407717706881,0.0,0.007901935287536173,0.009765589747685299,2.012889832219539,-0.9191992780264558,0.0002357224608223811
0.1,260.0,-1.8386642190788722,-1.1558889795374754,0.0,4.70085847033279e-05,-0.24085152037893404,-0.0007285201367681385,-0.00014559314478547594,-2.884494290963175e-05,0.00034159588504668057,0.0,1.000007232849231,-0.0001982071298830896,-0.7729512233242374,0.0,0.0017971583511356287,0.013137169956138029,1.9354710163509612,-0.852117014359801,0.0002168880998580164
0.1,270.0,-1.8644891098322303,-1.1415270114280711,0.0,4.435143192304097e-05,-0.23486191487275737,-0.0006632920648164772,-0.00013014542012894373,-1.8404569624465e-05,0.0003106236044337899,0.0,1.0000056021914017,-0.00018533173376652343,-0.7788299929275929,0.0,-0.004739424031599195,0.016927834230456643,1.8637852114602436,-0.7915171597943692,0.00019735404916539797
0.1,280.0,-1.8910115641801881,-1.1266096481762184,0.0,4.080593070587243e-05,-0.22947248055078096,-0.0006058015967084375,-0.00011689568029154975,-1.1466370397898967e-05,0.0002820615398624737,0.0,1.0000036684225306,-0.0001749937025984868,-0.7841325377480802,0.0,-0.010190523013139297,0.021102081024092095,1.797219073552742,-0.7367135606781354,0.0001782192582475149
0.1,290.0,-1.9191841136313672,-1.1112238585676697,0.0,3.6891983635607546e-05,-0.22465466089701536,-0.0005546044476966439,-0.00010523992686173537,-6.4240767689775925e-06,0.0002562022794267848,0.0,1.0000018937951785,-0.0001656029550607608,-0.7888949764556107,0.0,-0.013986519003161701,0.025691619534438926,1.7352436287911601,-0.6870887781622436,0.00016023146052467904
0.1,300.0,-1.9491134067715834,-1.0954639842129272,0.0,3.297836243067809e-05,-0.2203809501069109,-0.000508590407662483,-9.477843562387004e-05,-2.2869556455347385e-06,0.0002330910546759517,0.0,1.0000005121642932,-0.00015628075648658923,-0.7931445849030168,0.0,-0.016151696426453623,0.03075771564257698,1.677400207407491,-0.6420890361368339,0.00014381179499496088
0.1,310.0,-1.9804555434706492,-1.0794237481660016,0.0,2.9294431587971715e-05,-0.21662249301536513,-0.0004669271158589907,-8.526357178232999e-05,1.4958447397000053e-06,0.00021260455870581366,0.0,0.9999996047832891,-0.00014663852989517588,-0.796905897895124,0.0,-0.01701656058198729,0.036366366704919224,1.6232891442714799,-0.6012204984314663,0.00012913332959253395
0.1,320.0,-2.012685920500279,-1.0631909297220357,0.0,2.5962251894527724e-05,-0.21334868814231167,-0.00042899328104954097,-7.654938800445887e-05,5.1863850770301145e-06,0.0001945219618111133,0.0,0.999999160626264,-0.00013659303097143121,-0.8002036261411829,0.0,-0.01702420378892045,0.04257472056985844,1.5725606064271496,-0.5640450448321103,0.00011620132888199773
0.1,330.0,-2.0452613054059428,-1.0468444610776486,0.0,2.3029350457474008e-05,-0.21052772903561293,-0.00039432026939822674,-6.855240938033874e-05,8.871009925311194e-06,0.00017857786190904706,0.0,0.9999991192214969,-0.0001262315378323969,-0.8030636236101482,0.0,-0.016615937506002695,0.04942525771370923,1.5249070834585474,-0.5301754017274991,0.00010491843010699653
0.1,340.0,-2.0777048021229545,-1.030453283993655,0.0,2.0495605533569717e-05,-0.20812746019980213,-0.00036254675327530644,-6.122425032726908e-05,1.2538467815618155e-05,0.000164497646160179,0.0,0.9999993988204307,-0.00011572144967081347,-0.8055128174241947,0.0,-0.016172935049091907,0.05694464474182136,1.4800571946475813,-0.49926994466543806,9.513209747259065e-05
0.1,350.0,-2.1096411806425577,-1.0140763342378862,0.0,1.833312188817752e-05,-0.206116222770447,-0.00033338568677789037,-5.453389832054789e-05,1.6130721707820777e-05,0.0001520189584807823,0.0,0.9999999136815175,-0.00010525379640559229,-0.8075786828243607,0.0,-0.01599349786656463,0.06514505482082084,1.4377705495847013,-0.47102751826224,8.66667477802646e-05
0.1,360.0,-2.1408029773507744,-0.9977631718163601,0.0,1.6499956890274e-05,-0.2044635466897537,-0.000306601221637951,-4.84570426260545e-05,1.9574128952746856e-05,0.00014090326621317168,0.0,1.0000005838304098,-9.501061256674471e-05,-0.8092885978301539,0.0,-0.016290989734218744,0.07402655545544148,1.3978334586613332,-0.44518252431359817,7.934414648718538e-05
