*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P
            K          atm        1/sec                         0            0
          200          0.1  1.41748e+09    0.0623666  0.000693242    0.0127485
          200            1  1.41748e+10    0.0511166  0.000301076   0.00534717
          200            2  2.83496e+10    0.0483375  0.000228413   0.00396077
          200            3  4.25244e+10    0.0468139  0.000192927   0.00328516
          200            4  5.66992e+10    0.0457742  0.000170508   0.00286006
          210          0.1  1.35343e+09    0.0607945  0.000788962    0.0156214
          210            1  1.35343e+10    0.0500373  0.000362098   0.00696447
          210            2  2.70687e+10    0.0473437  0.000279637   0.00526622
          210            3   4.0603e+10    0.0458597  0.000238735   0.00442383
          210            4  5.41373e+10    0.0448439  0.000212632   0.00388758
          220          0.1  1.29583e+09    0.0593409  0.000907538    0.0192363
          220            1  1.29583e+10    0.0490639  0.000437908    0.0090646
          220            2  2.59166e+10    0.0464549  0.000343703   0.00698407
          220            3  3.88749e+10    0.0450106  0.000296308   0.00593526
          220            4  5.18332e+10    0.0440188  0.000265784   0.00526052
          230          0.1  1.24377e+09    0.0584583   0.00106311    0.0239375
          230            1  1.24377e+10    0.0485067  0.000536656    0.0118695
          230            2  2.48753e+10    0.0459474  0.000427438   0.00930438
          230            3   3.7313e+10    0.0445238  0.000371783   0.00799188
          230            4  4.97507e+10    0.0435435  0.000335641   0.00713918
          240          0.1  1.19649e+09    0.0585121   0.00126918    0.0300586
          240            1  1.19649e+10    0.0486168  0.000666945    0.0156237
          240            2  2.39298e+10     0.046046  0.000538266    0.0124446
          240            3  3.58947e+10    0.0446104  0.000471946    0.0107952
          240            4  4.78596e+10    0.0436194  0.000428556   0.00971384
          250          0.1  1.15337e+09    0.0591696   0.00153006    0.0377844
          250            1  1.15337e+10    0.0492053  0.000833384    0.0205108
          250            2  2.30675e+10    0.0465904  0.000680613    0.0165801
          250            3  3.46012e+10    0.0451248  0.000601077    0.0145144
          250            4  4.61349e+10    0.0441105  0.000548695    0.0131487
          260          0.1  1.11389e+09    0.0610103   0.00187087    0.0475794
          260            1  1.11389e+10    0.0506791   0.00105134    0.0268909
          260            2  2.22777e+10    0.0479458  0.000867629     0.022038
          260            3  3.34166e+10     0.046409  0.000771153    0.0194568
          260            4  4.45555e+10    0.0453433  0.000707249    0.0177368
          270          0.1  1.07759e+09    0.0644471   0.00231857    0.0598662
          270            1  1.07759e+10    0.0533267    0.0013381    0.0351335
          270            2  2.15518e+10    0.0503685   0.00111434    0.0291642
          270            3  3.23276e+10    0.0487017  0.000995967    0.0259534
          270            4  4.31035e+10    0.0475442   0.00091718    0.0237979
          280          0.1   1.0441e+09    0.0681605    0.0028279    0.0737475
          280            1   1.0441e+10    0.0562093   0.00167149    0.0447984
          280            2   2.0882e+10    0.0530149   0.00140336    0.0376268
          280            3  3.13229e+10    0.0512114   0.00126061    0.0337292
          280            4  4.17639e+10    0.0499575   0.00116518    0.0310948
          290          0.1   1.0131e+09    0.0722285   0.00340615    0.0892467
          290            1   1.0131e+10    0.0593799   0.00205664    0.0559528
          290            2  2.02619e+10    0.0559312   0.00173938     0.047506
          290            3  3.03929e+10     0.053981   0.00156951    0.0428715
          290            4  4.05239e+10    0.0526235   0.00145553    0.0397193
          300          0.1  9.84308e+08    0.0764474    0.0040549      0.10637
          300            1  9.84308e+09    0.0626964   0.00249555    0.0686504
          300            2  1.96862e+10    0.0589909   0.00212449     0.058869
          300            3  2.95292e+10     0.056892   0.00192481    0.0534548
          300            4  3.93723e+10    0.0554296   0.00179037    0.0497512
          310          0.1  9.57496e+08    0.0807174   0.00474022     0.124263
          310            1  9.57496e+09    0.0660602   0.00296958    0.0823612
          310            2  1.91499e+10    0.0620984   0.00254344    0.0712735
          310            3  2.87249e+10    0.0598514   0.00231303    0.0650864
          310            4  3.82998e+10    0.0582844   0.00215743    0.0608314
          320          0.1  9.32456e+08    0.0854349   0.00552321      0.14388
          320            1  9.32456e+09    0.0697942   0.00351486    0.0977286
          320            2  1.86491e+10    0.0655537   0.00302674    0.0852864
          320            3  2.79737e+10    0.0631456   0.00276176    0.0782913
          320            4  3.72982e+10    0.0614649   0.00258233    0.0734571
          330          0.1  9.09011e+08    0.0906079   0.00638642     0.164578
          330            1  9.09011e+09    0.0739049   0.00412123     0.114359
          330            2  1.81802e+10    0.0693614   0.00356607     0.100583
          330            3  2.72703e+10    0.0667779   0.00326363     0.092783
          330            4  3.63604e+10    0.0649732   0.00305835     0.087368
          340          0.1  8.87007e+08    0.0958397   0.00730992     0.186127
          340            1  8.87007e+09     0.078058   0.00477853     0.132072
          340            2  1.77401e+10    0.0732112   0.00415327     0.117002
          340            3  2.66102e+10    0.0704526   0.00381153     0.108415
          340            4  3.54803e+10    0.0685245   0.00357907     0.102427
          350          0.1  8.66309e+08     0.100212    0.0082473     0.207934
          350            1  8.66309e+09    0.0816826   0.00545951     0.150412
          350            2  1.73262e+10     0.076609   0.00476542     0.134136
          350            3  2.59893e+10    0.0737164   0.00438484     0.124806
          350            4  3.46523e+10    0.0716926   0.00412541     0.118276
          360          0.1  8.46798e+08     0.105767   0.00929985     0.230758
          360            1  8.46798e+09    0.0861219   0.00622339     0.169962
          360            2   1.6936e+10    0.0807337   0.00545249     0.152517
          360            3  2.54039e+10    0.0776594   0.00502866     0.142459
          360            4  3.38719e+10    0.0755073   0.00473923     0.135393
          370          0.1   8.2837e+08     0.111416    0.0104277     0.254082
          370            1   8.2837e+09    0.0906945   0.00704738     0.190306
          370            2  1.65674e+10    0.0849961   0.00619544     0.171763
          370            3  2.48511e+10    0.0817414   0.00572592     0.161015
          370            4  3.31348e+10    0.0794615   0.00540477     0.153437
          380          0.1  8.10934e+08     0.116549    0.0115721     0.277392
          380            1  8.10934e+09    0.0949194   0.00789709     0.211025
          380            2  1.62187e+10     0.088955   0.00696534      0.19149
          380            3   2.4328e+10    0.0855445   0.00645058      0.18011
          380            4  3.24374e+10    0.0831538   0.00609793     0.172061
          390          0.1  7.94407e+08     0.122236    0.0128049     0.301014
          390            1  7.94407e+09    0.0995793   0.00881476     0.232373
          390            2  1.58881e+10    0.0933134   0.00779789     0.211927
          390            3  2.38322e+10    0.0897265    0.0072349     0.199961
          390            4  3.17763e+10    0.0872104   0.00684866     0.191471
          400          0.1  7.78716e+08     0.127691    0.0140964     0.324872
          400            1  7.78716e+09     0.104101    0.0097845      0.25422
          400            2  1.55743e+10    0.0975592   0.00868001     0.232943
          400            3  2.33615e+10    0.0938105   0.00806724     0.220435
          400            4  3.11487e+10    0.0911791   0.00764628     0.211535
          410          0.1  7.63798e+08     0.133572    0.0154546     0.348444
          410            1  7.63798e+09     0.108972    0.0108073     0.276177
          410            2   1.5276e+10      0.10213   0.00961169     0.254186
          410            3  2.29139e+10     0.098205   0.00894721     0.241204
          410            4  3.05519e+10    0.0954478    0.0084902     0.231941
          420          0.1  7.49592e+08     0.139067    0.0168431     0.372081
          420            1  7.49592e+09     0.113588     0.011865     0.298465
          420            2  1.49918e+10     0.106475    0.0105784     0.275839
          420            3  2.24878e+10     0.102389   0.00986201     0.262428
          420            4  2.99837e+10    0.0995172   0.00936871     0.252835
          430          0.1  7.36048e+08     0.145939    0.0183611     0.395502
          430            1  7.36048e+09     0.119126    0.0130149     0.320857
          430            2   1.4721e+10     0.111637    0.0116284     0.297697
          430            3  2.20814e+10     0.107334    0.0108552     0.283917
          430            4  2.94419e+10     0.104309    0.0103224     0.274035
          440          0.1  7.23117e+08     0.152412    0.0199216     0.418707
          440            1  7.23117e+09     0.124387    0.0142074     0.343288
          440            2  1.44623e+10     0.116562    0.0127201     0.319679
          440            3  2.16935e+10     0.112066    0.0118896     0.305582
          440            4  2.89247e+10     0.108904    0.0113166      0.29545
          450          0.1  7.10758e+08     0.156014    0.0214115     0.441366
          450            1  7.10758e+09     0.127919    0.0153747     0.365405
          450            2  1.42152e+10     0.120018    0.0137958     0.341435
          450            3  2.13227e+10     0.115466    0.0129125     0.327075
          450            4  2.84303e+10     0.112261    0.0123024     0.316732
          460          0.1  6.98931e+08     0.165736    0.0234006     0.464585
          460            1  6.98931e+09     0.135643     0.016856     0.388291
          460            2  1.39786e+10      0.12718    0.0151433     0.364016
          460            3  2.09679e+10     0.122305    0.0141847     0.349425
          460            4  2.79572e+10     0.118872    0.0135224     0.338893
          470          0.1  6.87601e+08     0.170895    0.0248539      0.48505
          470            1  6.87601e+09     0.139941    0.0180208     0.409039
          470            2   1.3752e+10      0.13124    0.0162245     0.384661
          470            3   2.0628e+10     0.126227    0.0152174     0.369962
          470            4   2.7504e+10     0.122696    0.0145207      0.35933
          480          0.1  6.76736e+08     0.174151    0.0263763     0.505813
          480            1  6.76736e+09     0.143233    0.0192493     0.430089
          480            2  1.35347e+10     0.134488    0.0173664     0.405624
          480            3  2.03021e+10     0.129438    0.0163087     0.390828
          480            4  2.70695e+10     0.125875    0.0155762     0.380106
          490          0.1  6.66308e+08     0.182907    0.0286716     0.528325
          490            1  6.66308e+09     0.150651    0.0209736     0.452749
          490            2  1.33262e+10      0.14148    0.0189389     0.428161
          490            3  1.99892e+10     0.136174    0.0177956     0.413248
          490            4  2.66523e+10     0.132428    0.0170037      0.40242
          500          0.1  6.56288e+08     0.192429    0.0307433     0.548582
          500            1  6.56288e+09     0.158138    0.0225639     0.473703
          500            2  1.31258e+10     0.148412    0.0203991     0.449163
          500            3  1.96886e+10      0.14279    0.0191819     0.434235
          500            4  2.62515e+10     0.138822    0.0183384     0.423377
          510          0.1  6.46653e+08     0.194385    0.0321077     0.567088
          510            1  6.46653e+09     0.160316    0.0237393      0.49317
          510            2  1.29331e+10     0.150621    0.0215104      0.46878
          510            3  1.93996e+10     0.145009    0.0202541     0.453902
