*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P
            K          atm        1/sec                         0            0
          200          0.1   1.4489e+09    0.0627917    0.0007039    0.0129038
          200            1   1.4489e+10    0.0513914  0.000305208   0.00540657
          200            2  2.89781e+10     0.048577  0.000231414   0.00400287
          200            3  4.34671e+10    0.0470345  0.000195393   0.00331948
          200            4  5.79562e+10    0.0459824  0.000172647   0.00289003
          210          0.1  1.38261e+09    0.0612676  0.000801882    0.0158196
          210            1  1.38261e+10    0.0503527  0.000367425    0.0070466
          210            2  2.76521e+10    0.0476213  0.000283591   0.00532623
          210            3  4.14782e+10    0.0461171  0.000242027   0.00447367
          210            4  5.53042e+10     0.045088  0.000215517   0.00393167
          220          0.1  1.32298e+09    0.0598308  0.000919937     0.019428
          220            1  1.32298e+10     0.049395  0.000443204   0.00914822
          220            2  2.64596e+10    0.0467475  0.000347677   0.00704624
          220            3  3.96893e+10    0.0452824  0.000299641   0.00598761
          220            4  5.29191e+10    0.0442769   0.00026872   0.00530746
          230          0.1  1.26909e+09    0.0589915   0.00107805    0.0241755
          230            1  1.26909e+10    0.0488725  0.000543353    0.0119796
          230            2  2.53818e+10    0.0462723  0.000432547   0.00938807
          230            3  3.80727e+10    0.0448266  0.000376112   0.00806334
          230            4  5.07636e+10    0.0438316  0.000339484   0.00720391
          240          0.1  1.22017e+09    0.0591677   0.00129122    0.0304263
          240            1  1.22017e+10     0.049077  0.000677379    0.0158056
          240            2  2.44034e+10    0.0464571  0.000546386    0.0125867
          240            3  3.66051e+10    0.0449949  0.000478915    0.0109183
          240            4  4.88068e+10    0.0439861    0.0004348   0.00982612
          250          0.1  1.17557e+09    0.0596885   0.00154815    0.0380691
          250            1  1.17557e+10    0.0495702  0.000841987    0.0206523
          250            2  2.35114e+10    0.0469165  0.000687298    0.0166907
          250            3  3.52671e+10    0.0454298   0.00060681     0.014611
          250            4  4.70228e+10    0.0444016  0.000553835    0.0132382
          260          0.1  1.13475e+09    0.0610362   0.00187054    0.0475272
          260            1  1.13475e+10     0.050699   0.00105028    0.0268397
          260            2  2.26949e+10    0.0479627  0.000866484      0.02199
          260            3  3.40424e+10    0.0464243  0.000769995    0.0194137
          260            4  4.53898e+10    0.0453581  0.000706119    0.0176998
          270          0.1  1.09724e+09    0.0640287   0.00230967    0.0596842
          270            1  1.09724e+10    0.0530626   0.00133225    0.0349925
          270            2  2.19447e+10     0.050138   0.00110921    0.0290388
          270            3  3.29171e+10    0.0484893  0.000991258    0.0258408
          270            4  4.38895e+10    0.0473446  0.000912792    0.0236976
          280          0.1  1.06265e+09    0.0684675   0.00283331    0.0737317
          280            1  1.06265e+10    0.0564075     0.001673    0.0447615
          280            2   2.1253e+10    0.0531869   0.00140416    0.0375896
          280            3  3.18795e+10    0.0513699   0.00126109    0.0336969
          280            4   4.2506e+10    0.0501076   0.00116553    0.0310705
          290          0.1  1.03065e+09    0.0724573   0.00340742     0.089149
          290            1  1.03065e+10    0.0595202   0.00205571    0.0558609
