*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P
            K          atm        1/sec                         0            0
          200          0.1  1.41748e+09    0.0725545   0.00078894     0.012263
          200            1  1.41748e+10    0.0596422  0.000339771   0.00508409
          200            2  2.83496e+10    0.0564364  0.000256859    0.0037467
          200            3  4.25244e+10    0.0546759  0.000216437   0.00309734
          200            4  5.66992e+10    0.0534738  0.000190941   0.00269025
          210          0.1  1.35343e+09     0.070937  0.000902077     0.015074
          210            1  1.35343e+10    0.0585277  0.000410638   0.00664784
          210            2  2.70687e+10    0.0554057  0.000316036    0.0050028
          210            3   4.0603e+10    0.0536829  0.000269187   0.00418957
          210            4  5.41373e+10     0.052503  0.000239336   0.00367374
          220          0.1  1.29583e+09    0.0694116   0.00103846    0.0185572
          220            1  1.29583e+10    0.0575042  0.000497148   0.00865618
          220            2  2.59166e+10    0.0544678  0.000388911   0.00663954
          220            3  3.88749e+10    0.0527842   0.00033454   0.00562619
          220            4  5.18332e+10    0.0516277  0.000299574   0.00497651
          230          0.1  1.24377e+09    0.0685706   0.00122083    0.0231443
          230            1  1.24377e+10    0.0569826  0.000611568    0.0113666
          230            2  2.48753e+10      0.05399  0.000485543   0.00887253
          230            3   3.7313e+10    0.0523232  0.000421416   0.00760028
          230            4  4.97507e+10    0.0511749  0.000379832   0.00677655
          240          0.1  1.19649e+09    0.0688983   0.00146648    0.0291908
          240            1  1.19649e+10    0.0573008  0.000764815     0.015036
          240            2  2.39298e+10    0.0542753  0.000615316     0.011929
          240            3  3.58947e+10    0.0525837  0.000538375    0.0103217
          240            4  4.78596e+10    0.0514156  0.000488109   0.00927147
          250          0.1  1.15337e+09    0.0696181   0.00176301     0.036597
          250            1  1.15337e+10    0.0579508  0.000953448    0.0196949
          250            2  2.30675e+10    0.0548767  0.000776341    0.0158603
          250            3  3.46012e+10    0.0531514  0.000684252    0.0138509
          250            4  4.61349e+10    0.0519573  0.000623687    0.0125267
          260          0.1  1.11389e+09     0.071288   0.00213534    0.0457783
          260            1  1.11389e+10     0.059333    0.0011925    0.0256557
          260            2  2.22777e+10    0.0561541  0.000981457    0.0209487
          260            3  3.34166e+10     0.054364   0.00087073    0.0184524
          260            4  4.45555e+10    0.0531224  0.000797478    0.0167944
          270          0.1  1.07759e+09    0.0746846   0.00264182    0.0576119
          270            1  1.07759e+10     0.062038   0.00151613    0.0335313
          270            2  2.15518e+10    0.0586475   0.00125942     0.027736
          270            3  3.23276e+10    0.0567324   0.00112373    0.0246277
          270            4  4.31035e+10    0.0554016   0.00103352    0.0225482
          280          0.1   1.0441e+09    0.0799261   0.00324668    0.0713043
          280            1   1.0441e+10    0.0659802   0.00190791    0.0429872
          280            2   2.0882e+10    0.0622378   0.00159784    0.0359881
          280            3  3.13229e+10    0.0601226   0.00143289    0.0321945
          280            4  4.17639e+10    0.0586519   0.00132277     0.029639
          290          0.1   1.0131e+09    0.0845557   0.00391108    0.0863709
          290            1   1.0131e+10    0.0696009   0.00234894    0.0537601
          290            2  2.02619e+10    0.0655697   0.00198192    0.0455027
          290            3  3.03929e+10    0.0632872   0.00178554    0.0409843
          290            4  4.05239e+10    0.0616985   0.00165392    0.0379216
          300          0.1  9.84308e+08    0.0892048   0.00463717     0.102767
          300            1  9.84308e+09    0.0732605   0.00284074    0.0658646
          300            2  1.96862e+10    0.0689453    0.0024132    0.0563124
          300            3  2.95292e+10    0.0664981   0.00218323    0.0510395
          300            4  3.93723e+10    0.0647932   0.00202857    0.0474448
          310          0.1  9.57496e+08      0.09457    0.0054807     0.120952
          310            1  9.57496e+09    0.0775091   0.00341625    0.0796375
          310            2  1.91499e+10    0.0728738   0.00291954     0.068723
          310            3  2.87249e+10     0.070241   0.00265116    0.0626491
          310            4  3.82998e+10     0.068405   0.00247014    0.0584866
          320          0.1  9.32456e+08     0.100416   0.00640197     0.140209
          320            1  9.32456e+09    0.0821207   0.00405346    0.0946469
          320            2  1.86491e+10    0.0771345   0.00348294    0.0823804
          320            3  2.79737e+10    0.0742991   0.00317344    0.0755026
          320            4  3.72982e+10    0.0723203   0.00296414     0.070766
          330          0.1  9.09011e+08     0.104897   0.00732188      0.15984
          330            1  9.09011e+09    0.0858051   0.00470843     0.110371
          330            2  1.81802e+10    0.0805805   0.00406707    0.0968223
          330            3  2.72703e+10    0.0776046   0.00371775    0.0891734
          330            4  3.63604e+10    0.0755257   0.00348089    0.0838824
          340          0.1  8.87007e+08     0.111014   0.00839752     0.181078
          340            1  8.87007e+09    0.0906976   0.00547115     0.127723
          340            2  1.77401e+10    0.0851196   0.00474728      0.11287
          340            3  2.66102e+10    0.0819388   0.00435173      0.10443
          340            4  3.54803e+10    0.0797151   0.00408295     0.098568
          350          0.1  8.66309e+08     0.117059   0.00953873     0.202957
          350            1  8.66309e+09    0.0955608   0.00629044     0.145996
          350            2  1.73262e+10    0.0896441   0.00548103     0.129897
          350            3  2.59893e+10    0.0862668    0.0050374     0.120695
          350            4  3.46523e+10    0.0839043   0.00473535     0.114278
          360          0.1  8.46798e+08     0.122346    0.0107312     0.225417
          360            1  8.46798e+09     0.100006   0.00715955     0.165118
          360            2   1.6936e+10    0.0938249     0.006263     0.147835
          360            3  2.54039e+10      0.09029   0.00577016     0.137901
          360            4  3.38719e+10    0.0878144   0.00543398     0.130949
          370          0.1   8.2837e+08     0.129067    0.0120287     0.248317
          370            1   8.2837e+09     0.105384    0.0081073      0.18502
          370            2  1.65674e+10    0.0988238   0.00711697     0.166634
          370            3  2.48511e+10    0.0950696   0.00657123     0.156009
          370            4  3.31348e+10    0.0924396   0.00619836     0.148548
          380          0.1  8.10934e+08     0.135648    0.0134141     0.271738
          380            1  8.10934e+09     0.110744   0.00912635     0.205696
          380            2  1.62187e+10      0.10383   0.00803745     0.186273
          380            3   2.4328e+10    0.0998694   0.00743602     0.174994
          380            4  3.24374e+10    0.0970934   0.00702448     0.167048
          390          0.1  7.94407e+08     0.141962    0.0148455     0.295152
          390            1  7.94407e+09     0.115988    0.0101914     0.226751
          390            2  1.58881e+10      0.10875   0.00900301     0.206396
          390            3  2.38322e+10       0.1046   0.00834517      0.19452
          390            4  3.17763e+10     0.101688   0.00789438     0.186128
