*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P
            K          atm        1/sec                         0            0
          200          0.1  1.41748e+09    0.0629184  0.000709174    0.0130016
          200            1  1.41748e+10    0.0514844  0.000307821   0.00545628
          200            2  2.83496e+10    0.0486625  0.000233503   0.00404258
          200            3  4.25244e+10    0.0471161  0.000197219   0.00335404
          200            4  5.66992e+10    0.0460614  0.000174303   0.00292122
          210          0.1  1.35343e+09    0.0613845  0.000807333    0.0159279
          210            1  1.35343e+10    0.0504402  0.000370285   0.00710521
          210            2  2.70687e+10    0.0477023  0.000285921   0.00537408
          210            3   4.0603e+10    0.0461946  0.000244088   0.00451588
          210            4  5.41373e+10    0.0451632  0.000217402   0.00397013
          220          0.1  1.29583e+09    0.0599384  0.000925618    0.0195482
          220            1  1.29583e+10    0.0494772  0.000446345   0.00921716
          220            2  2.59166e+10     0.046824  0.000350281   0.00710364
          220            3  3.88749e+10    0.0453559  0.000301968   0.00603886
          220            4  5.18332e+10    0.0443485  0.000270865   0.00535457
          230          0.1  1.24377e+09     0.059092   0.00108412    0.0243109
          230            1  1.24377e+10    0.0489508  0.000546868    0.0120615
          230            2  2.48753e+10    0.0463455  0.000435506   0.00945749
          230            3   3.7313e+10    0.0448972  0.000378782   0.00812602
          230            4  4.97507e+10    0.0439005  0.000341962     0.007262
          240          0.1  1.19649e+09    0.0592644   0.00129787    0.0305806
          240            1  1.19649e+10    0.0491535  0.000681392    0.0159037
          240            2  2.39298e+10     0.046529  0.000549811    0.0126712
          240            3  3.58947e+10    0.0450644  0.000482031    0.0109954
          240            4  4.78596e+10    0.0440541   0.00043771   0.00989815
          250          0.1  1.15337e+09    0.0597822   0.00155547    0.0382443
          250            1  1.15337e+10    0.0496454  0.000846567    0.0207688
          250            2  2.30675e+10    0.0469875  0.000691256    0.0167927
          250            3  3.46012e+10    0.0454987  0.000610439     0.014705
          250            4  4.61349e+10    0.0444691  0.000557243    0.0133265
          260          0.1  1.11389e+09    0.0611287    0.0018787    0.0477259
          260            1  1.11389e+10    0.0507743   0.00105555    0.0269775
          260            2  2.22777e+10    0.0480341  0.000871087    0.0221124
          260            3  3.34166e+10    0.0464938  0.000774243    0.0195275
          260            4  4.45555e+10    0.0454263  0.000710127    0.0178075
          270          0.1  1.07759e+09    0.0641237   0.00231903     0.059911
