pressure[atm]        = 0.1
temperature[K]       = 200
energy step[1/cm]    = 42
maximum energy[1/cm] = 4170

Bimolecular-to-bimolecular product energy distributions:
  E, kcal/mol       P0->P1
      11.9225  8.34035e-09
      11.8024  1.06711e-08
      11.6823  1.36478e-08
      11.5622  1.74482e-08
      11.4421  2.22978e-08
      11.3221   2.8484e-08
       11.202  3.63714e-08
      11.0819  4.64238e-08
      10.9618  5.92294e-08
      10.8417  7.55351e-08
      10.7217  9.62878e-08
      10.6016  1.22688e-07
      10.4815  1.56256e-07
      10.3614  1.98918e-07
      10.2413  2.53111e-07
      10.1212  3.21916e-07
      10.0012   4.0923e-07
      9.88107  5.19975e-07
      9.76099  6.60364e-07
      9.64091  8.38237e-07
      9.52083  1.06348e-06
      9.40074  1.34854e-06
      9.28066  1.70911e-06
      9.16058   2.1649e-06
       9.0405  2.74073e-06
      8.92041  3.46775e-06
      8.80033  4.38504e-06
      8.68025  5.54165e-06
      8.56017    6.999e-06
      8.44008    8.834e-06
         8.32  1.11429e-05
      8.19992  1.40458e-05
      8.07984   1.7693e-05
      7.95975  2.22717e-05
      7.83967  2.80153e-05
      7.71959  3.52144e-05
      7.59951  4.42303e-05
      7.47942  5.55122e-05
      7.35934  6.96173e-05
      7.23926  8.72364e-05
      7.11918  0.000109225
      6.99909  0.000136641
      6.87901  0.000170792
      6.75893  0.000213292
      6.63885  0.000266129
      6.51876  0.000331754
      6.39868  0.000413179
       6.2786  0.000514104
      6.15852  0.000639067
      6.03843  0.000793626
      5.91835  0.000984578
      5.79827   0.00122023
      5.67819   0.00151069
       5.5581   0.00186827
      5.43802   0.00230794
      5.31794   0.00284783
      5.19786   0.00350985
      5.07777   0.00432046
      4.95769    0.0053115
      4.83761   0.00652123
      4.71753   0.00799544
      4.59744   0.00978881
      4.47736    0.0119664
      4.35728    0.0146051
       4.2372    0.0177959
      4.11711    0.0216459
      3.99703      0.02628
      3.87695    0.0318439
      3.75687    0.0385054
      3.63678    0.0464572
       3.5167    0.0559182
      3.39662    0.0671357
      3.27654    0.0803863
      3.15645    0.0959771
      3.03637     0.114244
      2.91629     0.135547
      2.79621     0.160269
      2.67612     0.188802
      2.55604     0.221537
      2.43596     0.258845
      2.31588     0.301056
      2.19579     0.348423
      2.07571     0.401082
      1.95563     0.459003
      1.83555     0.521916
      1.71546     0.589232
      1.59538     0.659931
       1.4753     0.732433
      1.35522      0.80442
      1.23513     0.872613
      1.11505     0.932472
     0.994969      0.97777
     0.874887            1
     0.754804     0.987577
     0.634722     0.925092
     0.514639     0.794188
     0.394557     0.582021
     0.274474     0.311015
     0.154392    0.0817955
    0.0343093   0.00400498
   -0.0857732   0.00175701
    -0.205856   0.00100096
    -0.325938  0.000571348
    -0.446021   0.00032692
    -0.566103  0.000187632
    -0.686186  0.000108102
    -0.806268  6.25633e-05
    -0.926351  3.63874e-05
     -1.04643  2.12622e-05
     -1.16652  1.24622e-05
      -1.2866  7.30316e-06
     -1.40668  4.26032e-06
     -1.52676  2.46097e-06
     -1.64685  1.40237e-06
     -1.76693   7.8588e-07
     -1.88701  4.31873e-07
     -2.00709  2.32187e-07
     -2.12718  1.21661e-07
     -2.24726  6.19723e-08
     -2.36734  3.05622e-08
     -2.48742  1.45226e-08
     -2.60751  6.60313e-09
     -2.72759  2.84288e-09
     -2.84767   1.1476e-09
     -2.96775  4.26282e-10
     -3.08784  1.41897e-10
     -3.20792  4.02606e-11
       -3.328  8.66777e-12
     -3.44808  9.16165e-13
     -3.56817 -2.25449e-13
     -3.68825 -1.25572e-13
     -3.80833 -1.60026e-14

Well-to-bimolecular product energy distributions:
  E, kcal/mol       W0->P0       W0->P1
      11.9225 -4.92513e-13 -1.59604e-17
      11.8024  4.74059e-13  1.51972e-17
      11.6823  1.24646e-14   3.9527e-19
      11.5622 -9.15796e-13  -2.8726e-17
      11.4421 -2.36104e-14 -7.32518e-19
      11.3221  5.07585e-13  1.55753e-17
       11.202  4.73472e-13  1.43685e-17
      11.0819  1.12163e-12  3.36611e-17
      10.9618 -3.59007e-13 -1.06541e-17
      10.8417 -1.60237e-12 -4.70201e-17
      10.7217  4.24629e-14  1.23199e-18
      10.6016  5.54191e-13  1.58967e-17
      10.4815  3.61306e-15  1.02457e-19
      10.3614 -7.98243e-13 -2.23763e-17
      10.2413 -1.98702e-12 -5.50563e-17
      10.1212   3.8524e-12    1.055e-16
      10.0012 -2.23804e-12 -6.05713e-17
      9.88107 -3.48925e-13 -9.33184e-18
      9.76099  5.56558e-12  1.47074e-16
      9.64091 -6.22791e-12 -1.62597e-16
      9.52083 -3.07193e-12 -7.92277e-17
      9.40074  3.30473e-12   8.4188e-17
      9.28066  8.44545e-12  2.12489e-16
      9.16058   1.4814e-11  3.68077e-16
       9.0405 -9.70781e-12 -2.38176e-16
      8.92041  7.01425e-12  1.69912e-16
      8.80033  1.42339e-11   3.4041e-16
      8.68025   5.3112e-13  1.25394e-17
      8.56017 -2.49007e-11 -5.80336e-16
      8.44008  1.71739e-11  3.95098e-16
         8.32 -8.97453e-12 -2.03802e-16
      8.19992  4.08097e-11  9.14772e-16
      8.07984 -2.06558e-11 -4.57026e-16
      7.95975  1.95184e-11  4.26274e-16
      7.83967  9.72976e-12  2.09748e-16
      7.71959  1.73982e-11  3.70216e-16
      7.59951  7.51991e-11  1.57951e-15
      7.47942 -5.78001e-11 -1.19842e-15
      7.35934 -1.54997e-11  -3.1724e-16
      7.23926  1.13602e-11  2.29536e-16
      7.11918  1.43005e-11   2.8526e-16
      6.99909 -4.99117e-11 -9.82968e-16
      6.87901  6.22922e-11  1.21127e-15
      6.75893  8.82048e-11  1.69354e-15
      6.63885 -2.50541e-10 -4.74999e-15
      6.51876 -5.96946e-12 -1.11754e-16
      6.39868  7.27541e-11  1.34492e-15
       6.2786  2.35782e-10  4.30374e-15
      6.15852 -1.30435e-10 -2.35068e-15
      6.03843  1.68705e-12  3.00159e-17
      5.91835  2.57633e-10  4.52476e-15
      5.79827 -1.54621e-10  -2.6802e-15
      5.67819  7.80236e-10  1.33461e-14
       5.5581 -1.92965e-10 -3.25649e-15
      5.43802   3.7614e-10  6.26142e-15
      5.31794 -3.57427e-10 -5.86769e-15
      5.19786 -2.88826e-10 -4.67497e-15
      5.07777  -3.0937e-10 -4.93624e-15
      4.95769 -5.25563e-10 -8.26494e-15
      4.83761  1.07139e-10  1.66027e-15
      4.71753 -2.07467e-09 -3.16752e-14
