pressure[atm]        = 0.1
temperature[K]       = 200
energy step[1/cm]    = 42
maximum energy[1/cm] = 4170

Bimolecular-to-bimolecular product energy distributions:
  E, kcal/mol       P0->P1
      11.9225  8.34019e-09
      11.8024  1.06709e-08
      11.6823  1.36476e-08
      11.5622  1.74478e-08
      11.4421  2.22974e-08
      11.3221  2.84834e-08
       11.202  3.63708e-08
      11.0819  4.64229e-08
      10.9618  5.92283e-08
      10.8417  7.55337e-08
      10.7217   9.6286e-08
      10.6016  1.22686e-07
      10.4815  1.56253e-07
      10.3614  1.98914e-07
      10.2413  2.53106e-07
      10.1212   3.2191e-07
      10.0012  4.09223e-07
      9.88107  5.19966e-07
      9.76099  6.60352e-07
      9.64091  8.38222e-07
      9.52083  1.06346e-06
      9.40074  1.34852e-06
      9.28066  1.70908e-06
      9.16058  2.16486e-06
       9.0405  2.74068e-06
      8.92041  3.46768e-06
      8.80033  4.38496e-06
      8.68025  5.54155e-06
      8.56017  6.99887e-06
      8.44008  8.83384e-06
         8.32  1.11427e-05
      8.19992  1.40456e-05
      8.07984  1.76927e-05
      7.95975  2.22713e-05
      7.83967  2.80148e-05
      7.71959  3.52137e-05
      7.59951  4.42295e-05
      7.47942  5.55112e-05
      7.35934   6.9616e-05
      7.23926  8.72348e-05
      7.11918  0.000109223
      6.99909  0.000136639
      6.87901  0.000170789
      6.75893  0.000213288
      6.63885  0.000266124
      6.51876  0.000331748
      6.39868  0.000413171
       6.2786  0.000514094
      6.15852  0.000639055
      6.03843  0.000793611
      5.91835   0.00098456
      5.79827    0.0012202
      5.67819   0.00151066
       5.5581   0.00186824
      5.43802    0.0023079
      5.31794   0.00284777
      5.19786   0.00350978
      5.07777   0.00432038
      4.95769    0.0053114
      4.83761    0.0065211
      4.71753   0.00799529
      4.59744   0.00978863
      4.47736    0.0119661
      4.35728    0.0146048
       4.2372    0.0177956
      4.11711    0.0216455
      3.99703    0.0262795
      3.87695    0.0318433
      3.75687    0.0385047
      3.63678    0.0464563
       3.5167    0.0559171
      3.39662    0.0671344
      3.27654    0.0803849
      3.15645    0.0959754
      3.03637     0.114242
      2.91629     0.135545
      2.79621     0.160266
      2.67612     0.188798
      2.55604     0.221532
      2.43596      0.25884
      2.31588      0.30105
      2.19579     0.348416
      2.07571     0.401075
      1.95563     0.458995
      1.83555     0.521907
      1.71546     0.589221
      1.59538      0.65992
       1.4753     0.732421
      1.35522     0.804407
      1.23513     0.872601
      1.11505     0.932462
     0.994969     0.977763
     0.874887            1
     0.754804     0.987588
     0.634722     0.925118
     0.514639     0.794228
     0.394557     0.582059
     0.274474     0.311012
     0.154392    0.0817204
    0.0343093   0.00389198
   -0.0857732   0.00165397
    -0.205856  0.000920826
    -0.325938  0.000513745
    -0.446021  0.000287403
    -0.566103  0.000161334
    -0.686186  9.09648e-05
    -0.806268   5.1567e-05
    -0.926351   2.9419e-05
     -1.04643  1.68979e-05
     -1.16652  9.76369e-06
      -1.2866  5.65941e-06
     -1.40668  3.27607e-06
     -1.52676  1.88297e-06
     -1.64685  1.06976e-06
     -1.76693  5.98456e-07
     -1.88701  3.28578e-07
     -2.00709  1.76575e-07
     -2.12718  9.25076e-08
     -2.24726  4.71227e-08
     -2.36734  2.32419e-08
     -2.48742  1.10465e-08
     -2.60751  5.02405e-09
     -2.72759    2.164e-09
     -2.84767  8.74081e-10
     -2.96775  3.24974e-10
     -3.08784  1.08318e-10
     -3.20792  3.08031e-11
       -3.328  6.66842e-12
     -3.44808  7.24077e-13
     -3.56817 -1.63526e-13
     -3.68825 -9.38582e-14
     -3.80833 -1.20279e-14

Well-to-bimolecular product energy distributions:
  E, kcal/mol       W0->P0       W0->P1
      11.9225 -1.11423e-13 -2.72447e-18
      11.8024  1.88148e-12  4.55108e-17
      11.6823 -6.26645e-13 -1.49941e-17
      11.5622 -5.98893e-13 -1.41746e-17
      11.4421  2.29789e-12  5.37932e-17
      11.3221 -5.14845e-13 -1.19203e-17
       11.202  1.43746e-12  3.29151e-17
      11.0819  1.00713e-12   2.2806e-17
      10.9618  1.24671e-12  2.79166e-17
      10.8417  3.05497e-13  6.76411e-18
      10.7217 -8.07468e-13 -1.76769e-17
      10.6016  7.81189e-12  1.69078e-16
      10.4815 -1.67395e-12 -3.58173e-17
      10.3614   2.2366e-12  4.73068e-17
      10.2413 -9.72325e-13 -2.03282e-17
      10.1212  6.93584e-13  1.43319e-17
      10.0012 -4.81633e-12 -9.83556e-17
      9.88107  4.26359e-12  8.60386e-17
      9.76099   -5.212e-12 -1.03923e-16
      9.64091  9.05232e-13  1.78325e-17
      9.52083 -3.57107e-12  -6.9494e-17
      9.40074  3.18756e-12  6.12711e-17
      9.28066  8.98224e-12  1.70523e-16
      9.16058  1.95106e-13  3.65782e-18
       9.0405 -2.48233e-11 -4.59536e-16
      8.92041 -1.70281e-11 -3.11239e-16
      8.80033  2.04231e-11  3.68537e-16
      8.68025  1.47535e-11  2.62822e-16
      8.56017 -1.78248e-11 -3.13455e-16
      8.44008 -4.06152e-11 -7.05032e-16
         8.32  6.82405e-12  1.16929e-16
      8.19992 -3.78236e-11 -6.39728e-16
      8.07984  5.29177e-11   8.8345e-16
      7.95975 -4.08995e-11  -6.7398e-16
      7.83967  1.51638e-11  2.46652e-16
      7.71959  2.22015e-11  3.56463e-16
      7.59951  5.86254e-11  9.29137e-16
      7.47942  3.59913e-12  5.63069e-17
      7.35934  8.36062e-11  1.29118e-15
      7.23926 -3.58976e-11 -5.47286e-16
      7.11918  1.27959e-10  1.92594e-15
      6.99909 -3.46541e-11 -5.14961e-16
      6.87901 -1.93333e-10 -2.83659e-15
      6.75893  4.31419e-11  6.25008e-16
      6.63885  3.18225e-10   4.5523e-15
      6.51876 -6.40442e-13 -9.04675e-18
      6.39868  1.08048e-10  1.50709e-15
       6.2786 -7.74506e-11  -1.0667e-15
      6.15852 -5.53757e-11 -7.53013e-16
      6.03843 -1.81369e-10 -2.43484e-15
      5.91835  2.43419e-10  3.22575e-15
      5.79827   4.2416e-11  5.54769e-16
      5.67819  5.20535e-11  6.71833e-16
       5.5581 -3.88921e-10  -4.9524e-15
      5.43802 -2.18267e-10 -2.74154e-15
      5.31794  3.69117e-10  4.57222e-15
      5.19786  7.09839e-10  8.66934e-15
      5.07777  1.71709e-09  2.06726e-14
      4.95769 -4.79245e-11 -5.68663e-16
      4.83761 -1.26454e-10 -1.47859e-15
      4.71753 -7.92288e-10 -9.12716e-15
