pressure[atm]        = 0.1
temperature[K]       = 200
energy step[1/cm]    = 42
maximum energy[1/cm] = 4170

Bimolecular-to-bimolecular product energy distributions:
  E, kcal/mol       P0->P1
      11.9225  8.34055e-09
      11.8024  1.06713e-08
      11.6823  1.36482e-08
      11.5622  1.74486e-08
      11.4421  2.22984e-08
      11.3221  2.84847e-08
       11.202  3.63723e-08
      11.0819  4.64249e-08
      10.9618  5.92309e-08
      10.8417   7.5537e-08
      10.7217  9.62902e-08
      10.6016  1.22691e-07
      10.4815   1.5626e-07
      10.3614  1.98923e-07
      10.2413  2.53117e-07
      10.1212  3.21924e-07
      10.0012  4.09241e-07
      9.88107  5.19988e-07
      9.76099  6.60381e-07
      9.64091  8.38258e-07
      9.52083   1.0635e-06
      9.40074  1.34858e-06
      9.28066  1.70915e-06
      9.16058  2.16496e-06
       9.0405   2.7408e-06
      8.92041  3.46783e-06
      8.80033  4.38515e-06
      8.68025  5.54179e-06
      8.56017  6.99917e-06
      8.44008  8.83422e-06
         8.32  1.11431e-05
      8.19992  1.40462e-05
      8.07984  1.76934e-05
      7.95975  2.22723e-05
      7.83967   2.8016e-05
      7.71959  3.52152e-05
      7.59951  4.42314e-05
      7.47942  5.55136e-05
      7.35934   6.9619e-05
      7.23926  8.72386e-05
      7.11918  0.000109228
      6.99909  0.000136644
      6.87901  0.000170796
      6.75893  0.000213297
      6.63885  0.000266136
      6.51876  0.000331762
      6.39868  0.000413189
       6.2786  0.000514117
      6.15852  0.000639083
      6.03843  0.000793646
      5.91835  0.000984603
      5.79827   0.00122026
      5.67819   0.00151072
       5.5581   0.00186832
      5.43802     0.002308
      5.31794    0.0028479
      5.19786   0.00350994
      5.07777   0.00432057
      4.95769   0.00531163
      4.83761   0.00652139
      4.71753   0.00799564
      4.59744   0.00978906
      4.47736    0.0119667
      4.35728    0.0146054
       4.2372    0.0177964
      4.11711    0.0216464
      3.99703    0.0262807
      3.87695    0.0318447
      3.75687    0.0385064
      3.63678    0.0464584
       3.5167    0.0559196
      3.39662    0.0671374
      3.27654    0.0803883
      3.15645    0.0959795
      3.03637     0.114247
      2.91629     0.135551
      2.79621     0.160273
      2.67612     0.188807
      2.55604     0.221542
      2.43596     0.258851
      2.31588     0.301063
      2.19579     0.348431
      2.07571     0.401092
      1.95563     0.459014
      1.83555     0.521929
      1.71546     0.589246
      1.59538     0.659947
       1.4753      0.73245
      1.35522     0.804437
      1.23513     0.872631
      1.11505     0.932488
     0.994969     0.977781
     0.874887            1
     0.754804     0.987557
     0.634722     0.925041
     0.514639     0.794099
     0.394557     0.581924
     0.274474     0.311028
     0.154392    0.0820308
    0.0343093   0.00427316
   -0.0857732   0.00191285
    -0.205856   0.00109059
    -0.325938   0.00062309
    -0.446021  0.000356931
    -0.566103  0.000205138
    -0.686186  0.000118383
    -0.806268   6.8645e-05
    -0.926351  4.00086e-05
     -1.04643   2.3427e-05
     -1.16652  1.37555e-05
      -1.2866  8.07117e-06
     -1.40668  4.71151e-06
     -1.52676  2.72216e-06
     -1.64685  1.55108e-06
     -1.76693  8.69026e-07
     -1.88701  4.77438e-07
     -2.00709  2.56612e-07
     -2.12718  1.34421e-07
     -2.24726  6.84511e-08
     -2.36734  3.37457e-08
     -2.48742  1.60288e-08
     -2.60751  7.28418e-09
     -2.72759  3.13392e-09
     -2.84767  1.26385e-09
     -2.96775  4.68788e-10
     -3.08784  1.55685e-10
     -3.20792  4.39848e-11
       -3.328  9.37327e-12
     -3.44808  9.40166e-13
     -3.56817 -2.69831e-13
     -3.68825 -1.42983e-13
     -3.80833 -1.80396e-14

Well-to-bimolecular product energy distributions:
  E, kcal/mol       W0->P0       W0->P1
      11.9225 -4.25515e-15 -1.57446e-19
      11.8024  1.27351e-12  4.66149e-17
      11.6823 -2.90623e-13 -1.05229e-17
      11.5622  -2.3514e-13 -8.42161e-18
      11.4421  7.03059e-13  2.49056e-17
      11.3221  1.19903e-12  4.20097e-17
       11.202   9.8846e-13  3.42506e-17
      11.0819  1.48873e-13  5.10136e-18
      10.9618 -2.20198e-12 -7.46135e-17
      10.8417  2.12799e-13  7.12985e-18
      10.7217  1.14179e-13  3.78248e-18
      10.6016  1.03779e-12  3.39898e-17
      10.4815  2.34744e-12  7.60068e-17
      10.3614 -6.93017e-13 -2.21813e-17
      10.2413 -1.51548e-12 -4.79454e-17
      10.1212 -2.98424e-13 -9.33139e-18
      10.0012 -8.52594e-13 -2.63471e-17
      9.88107 -9.91772e-13 -3.02857e-17
      9.76099  3.89107e-13  1.17405e-17
      9.64091 -4.27204e-12 -1.27349e-16
      9.52083 -7.06752e-12 -2.08125e-16
      9.40074  3.54567e-12  1.03135e-16
      9.28066  6.76516e-12   1.9435e-16
      9.16058 -1.54845e-12 -4.39294e-17
       9.0405  8.69293e-12   2.4352e-16
      8.92041 -1.67131e-11 -4.62265e-16
      8.80033 -7.83667e-12 -2.13993e-16
      8.68025  1.07342e-11  2.89364e-16
      8.56017  4.27918e-11  1.13873e-15
      8.44008  1.11796e-11  2.93666e-16
         8.32   6.4658e-12  1.67653e-16
      8.19992  1.43572e-11  3.67462e-16
      8.07984 -1.47526e-11 -3.72698e-16
      7.95975  1.76112e-11  4.39163e-16
      7.83967  1.57183e-11  3.86895e-16
      7.71959  3.51694e-12  8.54489e-17
      7.59951  -1.9699e-11 -4.72439e-16
      7.47942  8.51886e-11  2.01676e-15
      7.35934 -1.28379e-10  -3.0002e-15
      7.23926 -1.50767e-10 -3.47828e-15
      7.11918  1.11887e-10  2.54836e-15
      6.99909  5.25969e-11  1.18274e-15
      6.87901  5.56535e-11  1.23564e-15
      6.75893 -1.01381e-10 -2.22256e-15
      6.63885  4.79151e-11  1.03724e-15
      6.51876 -8.35216e-11 -1.78533e-15
      6.39868  1.31502e-12  2.77565e-17
       6.2786 -2.77461e-12 -5.78267e-17
      6.15852 -1.50363e-10  -3.0941e-15
      6.03843  1.54036e-10  3.12924e-15
      5.91835  2.28235e-10  4.57686e-15
      5.79827  7.47148e-12  1.47876e-16
      5.67819 -6.07284e-10 -1.18607e-14
       5.5581  6.19083e-10  1.19292e-14
      5.43802  1.05804e-10  2.01102e-15
      5.31794 -6.71071e-10 -1.25788e-14
      5.19786  1.18976e-10  2.19885e-15
      5.07777 -2.44484e-10  -4.4541e-15
      4.95769   6.2713e-11  1.12606e-15
      4.83761 -3.38375e-10 -5.98714e-15
      4.71753  8.38927e-10  1.46246e-14
