*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P
            K          atm        1/sec                         0            0
          200          0.1  1.41748e+09    0.0623703  0.000686491    0.0125808
          200            1  1.41748e+10     0.051082  0.000296593   0.00524274
          200            2  2.83496e+10    0.0482924  0.000224532   0.00387218
          200            3  4.25244e+10    0.0467629  0.000189379   0.00320589
          200            4  5.66992e+10    0.0457196  0.000167196   0.00278778
          210          0.1  1.35343e+09    0.0608646  0.000783214    0.0154485
          210            1  1.35343e+10    0.0500508  0.000357639   0.00684603
          210            2  2.70687e+10     0.047342  0.000275622   0.00516274
          210            3   4.0603e+10    0.0458496  0.000234984   0.00432968
          210            4  5.41373e+10    0.0448284  0.000209078   0.00380079
          220          0.1  1.29583e+09     0.059446  0.000899742    0.0190002
          220            1  1.29583e+10    0.0491008  0.000432047   0.00890328
          220            2  2.59166e+10    0.0464737  0.000338433   0.00684262
          220            3  3.88749e+10    0.0450192  0.000291384    0.0058061
          220            4  5.18332e+10    0.0440209  0.000261114   0.00514101
          230          0.1  1.24377e+09    0.0586189   0.00105568    0.0236756
          230            1  1.24377e+10    0.0485821    0.0005304    0.0116776
          230            2  2.48753e+10    0.0460003  0.000421645   0.00913247
          230            3   3.7313e+10    0.0445643  0.000366282   0.00783295
          230            4  4.97507e+10    0.0435759  0.000330366   0.00699092
          240          0.1  1.19649e+09     0.058796   0.00126579    0.0298352
          240            1  1.19649e+10    0.0487829  0.000662044    0.0154305
          240            2  2.39298e+10    0.0461804    0.0005333    0.0122638
          240            3  3.58947e+10    0.0447273  0.000467015    0.0106242
          240            4  4.78596e+10    0.0437246  0.000423695   0.00955218
          250          0.1  1.15337e+09    0.0593156   0.00151915    0.0373739
          250            1  1.15337e+10    0.0492708  0.000823847    0.0201905
          250            2  2.30675e+10    0.0466335  0.000671626    0.0162869
          250            3  3.46012e+10    0.0451553  0.000592449    0.0142398
          250            4  4.61349e+10     0.044133   0.00054036    0.0128899
          260          0.1  1.11389e+09    0.0606551   0.00183709    0.0467111
          260            1  1.11389e+10    0.0503888   0.00102869    0.0262742
          260            2  2.22777e+10    0.0476682  0.000847623    0.0214883
          260            3  3.34166e+10     0.046138  0.000752596    0.0189484
          260            4  4.45555e+10    0.0450774  0.000689713    0.0172605
          270          0.1  1.07759e+09     0.063624   0.00226999    0.0587208
          270            1  1.07759e+10    0.0527295   0.00130599    0.0342981
          270            2  2.15518e+10    0.0498207   0.00108606    0.0284143
          270            3  3.23276e+10    0.0481802  0.000969784    0.0252567
          270            4  4.31035e+10    0.0470411  0.000892462    0.0231429
          280          0.1   1.0441e+09    0.0680199   0.00278635    0.0726134
          280            1   1.0441e+10    0.0560386   0.00164125    0.0439248
          280            2   2.0882e+10    0.0528353   0.00137597    0.0368274
          280            3  3.13229e+10    0.0510271   0.00123482    0.0329785
          280            4  4.17639e+10    0.0497709   0.00114057    0.0303844
          290          0.1   1.0131e+09    0.0719758   0.00335286    0.0878762
          290            1   1.0131e+10     0.059121   0.00201812    0.0548758
          290            2  2.02619e+10    0.0556693   0.00170449    0.0465131
          290            3  3.03929e+10    0.0537177   0.00153666    0.0419347
          290            4  4.05239e+10    0.0523605   0.00142416    0.0388299
          300          0.1  9.84308e+08    0.0759339   0.00397058     0.104472
          300            1  9.84308e+09    0.0622246    0.0024374    0.0671693
          300            2  1.96862e+10    0.0585293   0.00207253    0.0575064
          300            3  2.95292e+10    0.0564367   0.00187627    0.0521699
          300            4  3.93723e+10      0.05498   0.00174426    0.0485304
          310          0.1  9.57496e+08     0.080532   0.00468861     0.122857
          310            1  9.57496e+09    0.0658503   0.00292811     0.081138
          310            2  1.91499e+10    0.0618783   0.00250462      0.07011
          310            3  2.87249e+10    0.0596258    0.0022758    0.0639704
          310            4  3.82998e+10    0.0580564   0.00212145     0.059761
          320          0.1  9.32456e+08    0.0855632   0.00547229     0.142301
          320            1  9.32456e+09    0.0697994   0.00347091    0.0963418
          320            2  1.86491e+10    0.0655224   0.00298489    0.0839618
          320            3  2.79737e+10    0.0630942   0.00272126    0.0770178
          320            4  3.72982e+10    0.0614013   0.00254297    0.0722337
          330          0.1  9.09011e+08    0.0893943   0.00625308     0.162115
          330            1  9.09011e+09    0.0729333   0.00402772      0.11226
          330            2  1.81802e+10    0.0684498   0.00348188    0.0985987
          330            3  2.72703e+10    0.0659004   0.00318461    0.0908839
          330            4  3.63604e+10    0.0641213   0.00298305    0.0855455
          340          0.1  8.87007e+08    0.0946433   0.00716655     0.183525
          340            1  8.87007e+09    0.0771134   0.00467616     0.129805
          340            2  1.77401e+10    0.0723236   0.00406053     0.114844
          340            3  2.66102e+10    0.0695971   0.00372419      0.10634
          340            4  3.54803e+10    0.0676931   0.00349564     0.100432
          350          0.1  8.66309e+08    0.0998542   0.00813503     0.205562
