pressure[atm]        = 0.1
temperature[K]       = 200
energy step[1/cm]    = 42
maximum energy[1/cm] = 4170

Bimolecular-to-bimolecular product energy distributions:
  E, kcal/mol       P0->P1
      11.9225  8.35148e-09
      11.8024   1.0683e-08
      11.6823  1.36601e-08
      11.5622    1.746e-08
      11.4421   2.2308e-08
      11.3221  2.84907e-08
       11.202  3.63721e-08
      11.0819  4.64144e-08
      10.9618  5.92044e-08
      10.8417  7.54866e-08
      10.7217  9.62047e-08
      10.6016  1.22555e-07
      10.4815  1.56052e-07
      10.3614  1.98615e-07
      10.2413  2.52669e-07
      10.1212  3.21283e-07
      10.0012  4.08334e-07
      9.88107   5.1872e-07
      9.76099  6.58623e-07
      9.64091  8.35839e-07
      9.52083   1.0602e-06
      9.40074  1.34408e-06
      9.28066  1.70306e-06
      9.16058  2.15676e-06
       9.0405   2.7298e-06
      8.92041  3.45312e-06
      8.80033  4.36555e-06
      8.68025  5.51576e-06
      8.56017  6.96473e-06
      8.44008  8.78876e-06
         8.32  1.10833e-05
      8.19992  1.39676e-05
      8.07984  1.75906e-05
      7.95975  2.21379e-05
      7.83967  2.78408e-05
      7.71959  3.49875e-05
      7.59951  4.39359e-05
      7.47942  5.51308e-05
      7.35934  6.91244e-05
      7.23926  8.66006e-05
      7.11918  0.000108406
      6.99909  0.000135589
      6.87901  0.000169443
      6.75893  0.000211565
      6.63885  0.000263922
      6.51876  0.000328938
      6.39868  0.000409592
       6.2786  0.000509541
      6.15852  0.000633273
      6.03843  0.000786278
      5.91835  0.000975273
      5.79827   0.00120846
      5.67819   0.00149582
       5.5581   0.00184953
      5.43802   0.00228433
      5.31794   0.00281813
      5.19786   0.00347255
      5.07777   0.00427368
      4.95769   0.00525293
      4.83761     0.006448
      4.71753   0.00790405
      4.59744   0.00967494
      4.47736    0.0118247
      4.35728    0.0144293
       4.2372    0.0175783
      4.11711    0.0213769
      3.99703    0.0259486
      3.87695    0.0314364
      3.75687    0.0380059
      3.63678    0.0458469
       3.5167    0.0551752
      3.39662    0.0662346
      3.27654    0.0792981
      3.15645    0.0946688
      3.03637     0.112678
      2.91629     0.133683
      2.79621     0.158062
      2.67612     0.186204
      2.55604     0.218497
      2.43596     0.255316
      2.31588      0.29699
      2.19579      0.34378
      2.07571     0.395836
      1.95563     0.453146
      1.83555     0.515472
      1.71546     0.582267
      1.59538     0.652575
       1.4753     0.724898
      1.35522      0.79703
      1.23513     0.865842
      1.11505     0.926981
     0.994969     0.974452
     0.874887            1
     0.754804     0.992233
     0.634722      0.93563
     0.514639     0.810794
     0.394557     0.601855
     0.274474     0.326638
     0.154392    0.0871899
    0.0343093   0.00449202
   -0.0857732   0.00200179
    -0.205856    0.0011414
    -0.325938  0.000652188
    -0.446021  0.000373648
    -0.566103   0.00021478
    -0.686186   0.00012397
    -0.806268  7.19004e-05
    -0.926351  4.19158e-05
     -1.04643  2.45494e-05
     -1.16652  1.44174e-05
      -1.2866  8.46069e-06
     -1.40668  4.93925e-06
     -1.52676   2.8538e-06
     -1.64685  1.62608e-06
     -1.76693  9.11027e-07
     -1.88701  5.00501e-07
     -2.00709  2.69001e-07
     -2.12718  1.40906e-07
     -2.24726  7.17516e-08
     -2.36734  3.53716e-08
     -2.48742  1.68004e-08
     -2.60751  7.63441e-09
     -2.72759  3.28436e-09
     -2.84767  1.32438e-09
     -2.96775  4.91161e-10
     -3.08784  1.63073e-10
     -3.20792  4.60507e-11
       -3.328  9.80246e-12
     -3.44808  9.77334e-13
     -3.56817 -2.85213e-13
     -3.68825 -1.50366e-13
     -3.80833  -1.8951e-14

Well-to-bimolecular product energy distributions:
  E, kcal/mol       W0->P0       W0->P1
      11.9225  7.64881e-13  2.82152e-17
      11.8024  2.79754e-13  1.02087e-17
      11.6823 -3.48797e-13 -1.25907e-17
      11.5622  3.83219e-13  1.36832e-17
      11.4421  6.90182e-13  2.43748e-17
      11.3221  8.10666e-13  2.83161e-17
       11.202   1.0481e-12  3.62062e-17
      11.0819 -5.86285e-13 -2.00286e-17
      10.9618 -2.09312e-12 -7.07083e-17
      10.8417  5.80505e-13  1.93905e-17
      10.7217  2.17157e-13   7.1719e-18
      10.6016   1.8914e-13  6.17581e-18
      10.4815 -3.84543e-12 -1.24129e-16
      10.3614  1.29162e-12  4.12144e-17
      10.2413  7.79859e-13  2.45971e-17
      10.1212 -2.62748e-13 -8.19074e-18
      10.0012 -8.36649e-13 -2.57754e-17
      9.88107  4.59853e-12  1.39996e-16
      9.76099  2.05831e-12  6.19153e-17
      9.64091  4.55355e-12  1.35326e-16
      9.52083  2.82328e-13  8.28864e-18
      9.40074  6.08056e-13  1.76328e-17
      9.28066  1.90548e-11  5.45736e-16
      9.16058  4.18132e-13  1.18262e-17
       9.0405 -3.36755e-12 -9.40488e-17
      8.92041  5.25591e-13  1.44929e-17
      8.80033 -4.71371e-12 -1.28322e-16
      8.68025 -1.64004e-11 -4.40758e-16
      8.56017 -4.44468e-11 -1.17915e-15
      8.44008 -1.23445e-11 -3.23276e-16
         8.32 -2.12327e-11 -5.48865e-16
      8.19992 -3.38608e-11 -8.63992e-16
      8.07984  4.19395e-11  1.05629e-15
      7.95975  3.06753e-11  7.62601e-16
      7.83967 -2.55344e-11 -6.26591e-16
      7.71959  6.29043e-11  1.52368e-15
      7.59951  1.74561e-11  4.17369e-16
      7.47942  2.74802e-11  6.48582e-16
      7.35934 -4.03853e-11 -9.40917e-16
      7.23926  8.40487e-11  1.93312e-15
      7.11918   3.4241e-11  7.77495e-16
      6.99909  5.43817e-12  1.21914e-16
      6.87901 -1.66511e-10 -3.68565e-15
      6.75893 -9.60799e-12  -2.0999e-16
      6.63885 -1.63838e-10 -3.53582e-15
      6.51876  2.97871e-10  6.34776e-15
      6.39868 -2.48667e-10 -5.23265e-15
       6.2786 -1.54015e-10 -3.20009e-15
      6.15852  1.30514e-10  2.67744e-15
      6.03843  4.53332e-11  9.18128e-16
      5.91835 -2.53417e-10 -5.06632e-15
      5.79827 -3.65154e-10 -7.20507e-15
      5.67819 -1.01391e-10 -1.97419e-15
       5.5581  5.01326e-10  9.63063e-15
      5.43802 -1.47175e-10 -2.78881e-15
      5.31794 -2.54337e-10 -4.75282e-15
      5.19786 -1.41949e-10  -2.6154e-15
      5.07777  5.94593e-10  1.07994e-14
      4.95769 -5.67508e-10  -1.0159e-14
      4.83761 -1.26087e-09 -2.22414e-14
      4.71753 -1.17133e-09 -2.03569e-14
