========================================
ch2o+oh_B1_Frequencies_1_0.1.out
0.1 atm
T,P0->P1
200.0,1.78938e-11
210.0,1.71817e-11
220.0,1.65589e-11
230.0,1.60129e-11
240.0,1.55328e-11
250.0,1.51101e-11
260.0,1.47384e-11
270.0,1.44117e-11
280.0,1.41249e-11
290.0,1.38735e-11
300.0,1.3653e-11
310.0,1.34602e-11
320.0,1.32929e-11
330.0,1.31487e-11
340.0,1.30252e-11
350.0,1.29203e-11
360.0,1.2832e-11
370.0,1.2759e-11
380.0,1.27001e-11
390.0,1.26543e-11
400.0,1.26207e-11
410.0,1.25984e-11
420.0,1.25864e-11
430.0,1.25841e-11
440.0,1.25911e-11
450.0,1.26064e-11
460.0,1.26296e-11
470.0,1.26599e-11
480.0,1.26968e-11
490.0,1.27401e-11
500.0,1.27893e-11
510.0,1.28445e-11
520.0,1.29051e-11
530.0,1.29712e-11
540.0,1.30426e-11
550.0,1.31189e-11
560.0,1.31997e-11
570.0,1.32848e-11
580.0,1.33738e-11
590.0,1.34667e-11
600.0,1.35631e-11
610.0,1.36631e-11
620.0,1.37665e-11
630.0,1.38733e-11
640.0,1.39834e-11
650.0,1.40973e-11
660.0,1.42143e-11
670.0,1.4334e-11
680.0,1.44566e-11
690.0,1.45818e-11
700.0,1.47095e-11
800.0,1.61161e-11
900.0,1.77169e-11
1000.0,1.94671e-11
1100.0,2.13325e-11
1200.0,2.32872e-11
1300.0,2.53081e-11
1400.0,2.73761e-11
1500.0,2.94749e-11
1600.0,3.15906e-11
1700.0,3.37113e-11
1800.0,3.5827e-11
1900.0,3.79291e-11
2000.0,4.00103e-11
2100.0,4.20649e-11
2200.0,4.40878e-11
2300.0,4.60751e-11
2400.0,4.80238e-11
2500.0,4.99315e-11
2600.0,5.17963e-11
2700.0,5.36169e-11
2800.0,5.53927e-11
2900.0,5.7123e-11
3000.0,5.88079e-11
========================================
ch2o+oh_B1_Frequencies_1_0.1.out
1 atm
T,P0->P1
200.0,1.79711e-11
210.0,1.72489e-11
220.0,1.66176e-11
230.0,1.60644e-11
240.0,1.55782e-11
250.0,1.51503e-11
260.0,1.47742e-11
270.0,1.44437e-11
280.0,1.41535e-11
290.0,1.38992e-11
300.0,1.3676e-11
310.0,1.3481e-11
320.0,1.33118e-11
330.0,1.31659e-11
340.0,1.30408e-11
350.0,1.29345e-11
360.0,1.2845e-11
370.0,1.27708e-11
380.0,1.27117e-11
390.0,1.2665e-11
400.0,1.26306e-11
410.0,1.26075e-11
420.0,1.25948e-11
430.0,1.25919e-11
440.0,1.25982e-11
450.0,1.26131e-11
460.0,1.26357e-11
470.0,1.26656e-11
480.0,1.27022e-11
490.0,1.27451e-11
500.0,1.2794e-11
510.0,1.28489e-11
520.0,1.29093e-11
530.0,1.2975e-11
540.0,1.30462e-11
550.0,1.31221e-11
560.0,1.32028e-11
570.0,1.32876e-11
580.0,1.33765e-11
590.0,1.34692e-11
600.0,1.35655e-11
610.0,1.36654e-11
620.0,1.37687e-11
630.0,1.38754e-11
640.0,1.39854e-11
650.0,1.40991e-11
660.0,1.42159e-11
670.0,1.43356e-11
680.0,1.44581e-11
690.0,1.45832e-11
700.0,1.47109e-11
800.0,1.61169e-11
900.0,1.77173e-11
1000.0,1.94673e-11
1100.0,2.13327e-11
1200.0,2.32874e-11
1300.0,2.53082e-11
1400.0,2.73761e-11
1500.0,2.94749e-11
1600.0,3.15907e-11
1700.0,3.37113e-11
1800.0,3.5827e-11
1900.0,3.79291e-11
2000.0,4.00103e-11
2100.0,4.20649e-11
2200.0,4.40878e-11
2300.0,4.60751e-11
2400.0,4.80238e-11
2500.0,4.99315e-11
2600.0,5.17963e-11
2700.0,5.36169e-11
2800.0,5.53927e-11
2900.0,5.7123e-11
3000.0,5.88079e-11
========================================
ch2o+oh_B1_Frequencies_1_0.1.out
2 atm
T,P0->P1
200.0,1.8043e-11
210.0,1.73116e-11
220.0,1.66726e-11
230.0,1.61128e-11
240.0,1.5621e-11
250.0,1.51884e-11
260.0,1.48081e-11
270.0,1.4474e-11
280.0,1.41807e-11
290.0,1.39235e-11
300.0,1.3698e-11
310.0,1.35009e-11
320.0,1.33298e-11
330.0,1.31822e-11
340.0,1.30556e-11
350.0,1.29479e-11
360.0,1.28572e-11
370.0,1.27821e-11
380.0,1.27213e-11
390.0,1.26761e-11
400.0,1.26408e-11
410.0,1.26169e-11
420.0,1.26035e-11
430.0,1.26e-11
440.0,1.26057e-11
450.0,1.26199e-11
460.0,1.26421e-11
470.0,1.26715e-11
480.0,1.27076e-11
490.0,1.27502e-11
500.0,1.27988e-11
510.0,1.28534e-11
520.0,1.29135e-11
530.0,1.29789e-11
540.0,1.30498e-11
550.0,1.31255e-11
560.0,1.32059e-11
570.0,1.32905e-11
580.0,1.33792e-11
590.0,1.34718e-11
600.0,1.35679e-11
610.0,1.36677e-11
620.0,1.37709e-11
630.0,1.38775e-11
640.0,1.39874e-11
650.0,1.41009e-11
660.0,1.42175e-11
670.0,1.43371e-11
680.0,1.44595e-11
690.0,1.45846e-11
700.0,1.47122e-11
800.0,1.61176e-11
900.0,1.77178e-11
1000.0,1.94676e-11
1100.0,2.13329e-11
1200.0,2.32875e-11
1300.0,2.53083e-11
1400.0,2.73762e-11
1500.0,2.9475e-11
1600.0,3.15907e-11
1700.0,3.37113e-11
1800.0,3.5827e-11
1900.0,3.79291e-11
2000.0,4.00104e-11
2100.0,4.20649e-11
2200.0,4.40878e-11
2300.0,4.60751e-11
2400.0,4.80238e-11
2500.0,4.99315e-11
2600.0,5.17963e-11
2700.0,5.36169e-11
2800.0,5.53927e-11
2900.0,5.7123e-11
3000.0,5.88079e-11
========================================
ch2o+oh_B1_Frequencies_1_0.1.out
3 atm
T,P0->P1
200.0,1.81017e-11
210.0,1.73632e-11
220.0,1.67181e-11
230.0,1.61531e-11
240.0,1.56568e-11
250.0,1.52204e-11
260.0,1.48367e-11
270.0,1.44996e-11
280.0,1.42037e-11
290.0,1.39443e-11
300.0,1.37167e-11
310.0,1.35178e-11
320.0,1.33452e-11
330.0,1.31962e-11
340.0,1.30683e-11
350.0,1.29595e-11
360.0,1.28678e-11
370.0,1.27917e-11
380.0,1.27302e-11
390.0,1.2682e-11
400.0,1.26503e-11
410.0,1.26258e-11
420.0,1.26117e-11
430.0,1.26075e-11
440.0,1.26126e-11
450.0,1.26263e-11
460.0,1.26479e-11
470.0,1.26769e-11
480.0,1.27127e-11
490.0,1.27549e-11
500.0,1.28032e-11
510.0,1.28575e-11
520.0,1.29174e-11
530.0,1.29826e-11
540.0,1.30532e-11
550.0,1.31286e-11
560.0,1.32088e-11
570.0,1.32932e-11
580.0,1.33817e-11
590.0,1.34741e-11
600.0,1.35702e-11
610.0,1.36698e-11
620.0,1.37729e-11
630.0,1.38794e-11
640.0,1.39892e-11
650.0,1.41025e-11
660.0,1.42191e-11
670.0,1.43385e-11
680.0,1.44608e-11
690.0,1.45858e-11
700.0,1.47133e-11
800.0,1.61183e-11
900.0,1.77181e-11
1000.0,1.94678e-11
1100.0,2.1333e-11
1200.0,2.32876e-11
1300.0,2.53084e-11
1400.0,2.73762e-11
1500.0,2.9475e-11
1600.0,3.15907e-11
1700.0,3.37113e-11
1800.0,3.5827e-11
1900.0,3.79291e-11
2000.0,4.00104e-11
2100.0,4.20649e-11
2200.0,4.40878e-11
2300.0,4.60751e-11
2400.0,4.80238e-11
2500.0,4.99315e-11
2600.0,5.17963e-11
2700.0,5.36169e-11
2800.0,5.53927e-11
2900.0,5.7123e-11
3000.0,5.88079e-11
========================================
ch2o+oh_B1_Frequencies_1_0.1.out
4 atm
T,P0->P1
200.0,1.81492e-11
210.0,1.74055e-11
220.0,1.67558e-11
230.0,1.61867e-11
240.0,1.56869e-11
250.0,1.52473e-11
260.0,1.4861e-11
270.0,1.45215e-11
280.0,1.42234e-11
290.0,1.39621e-11
300.0,1.37328e-11
310.0,1.35324e-11
320.0,1.33584e-11
330.0,1.32082e-11
340.0,1.30793e-11
350.0,1.29695e-11
360.0,1.28769e-11
370.0,1.28001e-11
380.0,1.27378e-11
390.0,1.2689e-11
400.0,1.26593e-11
410.0,1.2634e-11
420.0,1.26193e-11
430.0,1.26145e-11
440.0,1.26191e-11
450.0,1.26322e-11
460.0,1.26534e-11
470.0,1.2682e-11
480.0,1.27174e-11
490.0,1.27593e-11
500.0,1.28074e-11
510.0,1.28614e-11
520.0,1.2921e-11
530.0,1.29859e-11
540.0,1.30563e-11
550.0,1.31315e-11
560.0,1.32114e-11
570.0,1.32957e-11
580.0,1.3384e-11
590.0,1.34763e-11
600.0,1.35722e-11
610.0,1.36717e-11
620.0,1.37747e-11
630.0,1.38812e-11
640.0,1.39909e-11
650.0,1.4104e-11
660.0,1.42205e-11
670.0,1.43398e-11
680.0,1.44621e-11
690.0,1.45869e-11
700.0,1.47144e-11
800.0,1.61189e-11
900.0,1.77185e-11
1000.0,1.9468e-11
1100.0,2.13332e-11
1200.0,2.32877e-11
1300.0,2.53084e-11
1400.0,2.73763e-11
1500.0,2.9475e-11
1600.0,3.15907e-11
1700.0,3.37113e-11
1800.0,3.5827e-11
1900.0,3.79291e-11
2000.0,4.00104e-11
2100.0,4.20649e-11
2200.0,4.40878e-11
2300.0,4.60751e-11
2400.0,4.80238e-11
2500.0,4.99315e-11
2600.0,5.17963e-11
2700.0,5.36169e-11
2800.0,5.53927e-11
2900.0,5.7123e-11
3000.0,5.88079e-11
========================================
ch2o+oh_W0_Frequencies_1_0.1.out
0.1 atm
T,P0->P1
200.0,2.0845e-11
210.0,2.00958e-11
220.0,1.94419e-11
230.0,1.88703e-11
240.0,1.83699e-11
250.0,1.79318e-11
260.0,1.75492e-11
270.0,1.72159e-11
280.0,1.69266e-11
290.0,1.66763e-11
300.0,1.64604e-11
310.0,1.62757e-11
320.0,1.61196e-11
330.0,1.59895e-11
340.0,1.58829e-11
350.0,1.57976e-11
360.0,1.57314e-11
370.0,1.56828e-11
380.0,1.56508e-11
390.0,1.5634e-11
400.0,1.56315e-11
410.0,1.56423e-11
420.0,1.56654e-11
430.0,1.57e-11
440.0,1.57456e-11
450.0,1.58013e-11
460.0,1.58665e-11
470.0,1.59404e-11
480.0,1.60225e-11
490.0,1.61125e-11
500.0,1.62098e-11
510.0,1.63144e-11
520.0,1.64259e-11
530.0,1.6544e-11
540.0,1.66687e-11
550.0,1.67994e-11
560.0,1.69359e-11
570.0,1.70778e-11
580.0,1.72248e-11
590.0,1.73766e-11
600.0,1.75331e-11
610.0,1.7694e-11
620.0,1.78594e-11
630.0,1.80291e-11
640.0,1.8203e-11
650.0,1.83813e-11
660.0,1.85636e-11
670.0,1.87496e-11
680.0,1.89392e-11
690.0,1.91321e-11
700.0,1.93283e-11
800.0,2.14522e-11
900.0,2.38131e-11
1000.0,2.63435e-11
1100.0,2.89896e-11
1200.0,3.17089e-11
1300.0,3.44643e-11
1400.0,3.72262e-11
1500.0,3.99705e-11
1600.0,4.26778e-11
1700.0,4.53329e-11
1800.0,4.79246e-11
1900.0,5.0444e-11
2000.0,5.28854e-11
2100.0,5.52446e-11
2200.0,5.75196e-11
2300.0,5.97096e-11
2400.0,6.18147e-11
2500.0,6.38361e-11
2600.0,6.57756e-11
2700.0,6.76352e-11
2800.0,6.94176e-11
2900.0,7.11256e-11
3000.0,7.27621e-11
========================================
ch2o+oh_W0_Frequencies_1_0.1.out
1 atm
T,P0->P1
200.0,2.08922e-11
210.0,2.01369e-11
220.0,1.94779e-11
230.0,1.8902e-11
240.0,1.83978e-11
250.0,1.79566e-11
260.0,1.75713e-11
270.0,1.72357e-11
280.0,1.69442e-11
290.0,1.66922e-11
300.0,1.64748e-11
310.0,1.62886e-11
320.0,1.61313e-11
330.0,1.60002e-11
340.0,1.58926e-11
350.0,1.58064e-11
360.0,1.57395e-11
370.0,1.56903e-11
380.0,1.56576e-11
390.0,1.56406e-11
400.0,1.56376e-11
410.0,1.5648e-11
420.0,1.56706e-11
430.0,1.57048e-11
440.0,1.57501e-11
450.0,1.58054e-11
460.0,1.58703e-11
470.0,1.5944e-11
480.0,1.60259e-11
490.0,1.61156e-11
500.0,1.62127e-11
510.0,1.63171e-11
520.0,1.64284e-11
530.0,1.65464e-11
540.0,1.66709e-11
550.0,1.68015e-11
560.0,1.69378e-11
570.0,1.70796e-11
580.0,1.72265e-11
590.0,1.73782e-11
600.0,1.75346e-11
610.0,1.76955e-11
620.0,1.78608e-11
630.0,1.80304e-11
640.0,1.82042e-11
650.0,1.83824e-11
660.0,1.85647e-11
670.0,1.87506e-11
680.0,1.89401e-11
690.0,1.9133e-11
700.0,1.93291e-11
800.0,2.14527e-11
900.0,2.38134e-11
1000.0,2.63437e-11
1100.0,2.89898e-11
1200.0,3.17089e-11
1300.0,3.44643e-11
1400.0,3.72262e-11
1500.0,3.99705e-11
1600.0,4.26779e-11
1700.0,4.53329e-11
1800.0,4.79246e-11
1900.0,5.04441e-11
2000.0,5.28854e-11
2100.0,5.52446e-11
2200.0,5.75197e-11
2300.0,5.97096e-11
2400.0,6.18147e-11
2500.0,6.38362e-11
2600.0,6.57756e-11
2700.0,6.76352e-11
2800.0,6.94176e-11
2900.0,7.11256e-11
3000.0,7.27621e-11
========================================
ch2o+oh_W0_Frequencies_1_0.1.out
2 atm
T,P0->P1
200.0,2.09397e-11
210.0,2.01783e-11
