*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P
            K          atm        1/sec                         0            0
          200            1  1.41748e+10    0.0514844  0.000307821   0.00545628
          210            1  1.35343e+10    0.0504402  0.000370285   0.00710521
          220            1  1.29583e+10    0.0494772  0.000446345   0.00921716
          230            1  1.24377e+10    0.0489508  0.000546868    0.0120615
          240            1  1.19649e+10    0.0491535  0.000681392    0.0159037
          250            1  1.15337e+10    0.0496454  0.000846567    0.0207688
          260            1  1.11389e+10    0.0507743   0.00105555    0.0269775
          270            1  1.07759e+10    0.0531408   0.00133845    0.0351562
          280            1   1.0441e+10    0.0564914   0.00168025    0.0449524
          290            1   1.0131e+10    0.0596083   0.00206405    0.0560788
          300            1  9.84308e+09    0.0627457   0.00249065     0.068551
          310            1  9.57496e+09    0.0664098   0.00298973    0.0827063
          320            1  9.32456e+09    0.0704014   0.00354144    0.0980931
          330            1  9.09011e+09    0.0735637   0.00410672     0.114183
          340            1  8.87007e+09    0.0777863   0.00476507     0.131902
          350            1  8.66309e+09    0.0819939   0.00547123     0.150523
          360            1  8.46798e+09    0.0858867   0.00621934     0.169969
          370            1   8.2837e+09    0.0904897   0.00703413      0.19019
          380            1  8.10934e+09    0.0951351   0.00790982     0.211155
          390            1  7.94407e+09    0.0997085   0.00882407     0.232464
          400            1  7.78716e+09      0.10429   0.00979386     0.254266
          410            1  7.63798e+09     0.109443    0.0108367     0.276438
          420            1  7.49592e+09     0.113901    0.0118771     0.298487
          430            1  7.36048e+09     0.119169    0.0130299     0.320959
          440            1  7.23117e+09     0.123218    0.0141652     0.343091
          450            1  7.10758e+09     0.130347    0.0155268     0.365897
          460            1  6.98931e+09     0.134347    0.0166625     0.387137
          470            1  6.87601e+09     0.138079    0.0179158     0.408987
          480            1  6.76736e+09     0.146137    0.0196301      0.43228
          490            1  6.66308e+09     0.151591    0.0209459     0.452762
          500            1  6.56288e+09     0.154298    0.0221474     0.472706
          510            1  6.46653e+09     0.159537    0.0237288     0.493563
          520            1  6.37379e+09     0.170589    0.0257847     0.514511
          530            1  6.28447e+09     0.173027    0.0271342     0.533419
          540            1  6.19836e+09     0.176254    0.0285547     0.551916
          550            1  6.11529e+09     0.184486    0.0303833     0.570257
          560            1  6.03509e+09      0.19164    0.0323021     0.588513
          570            1  5.95761e+09     0.197319    0.0341401     0.606004
          580            1  5.88272e+09     0.201878     0.035939     0.622926
          590            1  5.81026e+09     0.204421     0.037674     0.639512
          600            1  5.74013e+09     0.214286     0.039785     0.654875
          610            1  5.67221e+09      0.21964    0.0417304      0.67013
          620            1  5.60638e+09     0.226126    0.0438295     0.684832
          630            1  5.54255e+09     0.231042    0.0457799     0.698888
          640            1  5.48063e+09     0.234502    0.0477284     0.712619
          650            1  5.42052e+09     0.238751    0.0497922      0.72589
          660            1  5.36214e+09     0.252363    0.0523483     0.737624
          670            1  5.30541e+09     0.257085    0.0545495      0.74983
          680            1  5.25026e+09     0.261845    0.0566549     0.761284
          690            1  5.19663e+09     0.267356    0.0589318     0.772417
          700            1  5.14444e+09     0.271809    0.0612084     0.783208
          800            1  4.69001e+09     0.331075     0.086063     0.866435
          900            1  4.32949e+09     0.397568     0.114866     0.918052
         1000            1  4.03466e+09     0.445953     0.144402     0.950138
         1100            1  3.78774e+09     0.449082      0.16821     0.969971
         1200            1    3.577e+09     0.496959     0.199153     0.981391
         1300            1  3.39436e+09     0.557792     0.235937     0.988306
         1400            1  3.23409e+09     0.447735     0.227996     0.993185
         1500            1  3.09198e+09     0.554864     0.283182     0.995478
         1600            1  2.96489e+09     0.421421     0.253411     0.997348
         1700            1  2.85036e+09     0.338421     0.225107     0.998387
         1800            1   2.7465e+09     0.652302     0.382267     0.998791
         1900            1  2.65177e+09     0.505981     0.326354      0.99928
         2000            1  2.56495e+09     0.285059     0.199643     0.999625
         2100            1  2.48501e+09     0.733221     0.473355     0.999582
         2200            1  2.41112e+09     0.612925     0.433195     0.999713
         2300            1  2.34258e+09     0.439448     0.336663     0.999809
         2400            1  2.27878e+09      0.49528     0.356123     0.999895
         2500            1  2.21922e+09     0.312477     0.237784     0.999938
         2600            1  2.16347e+09     0.968598      0.61277     0.999928
         2700            1  2.11114e+09     0.921232     0.550551     0.999953
         2800            1  2.06191e+09     0.893394      0.49922     0.999969
         2900            1   2.0155e+09     0.838298     0.432304     0.999979
         3000            1  1.97166e+09     0.635147     0.303266     0.999986
