========================================
ch2o+oh_W0_Energy_1_0.0.out
1 atm
T,P0->P1
200.0,2.09156e-11
210.0,2.01573e-11
220.0,1.94957e-11
230.0,1.89177e-11
240.0,1.84117e-11
250.0,1.79689e-11
260.0,1.75823e-11
270.0,1.72455e-11
280.0,1.69531e-11
290.0,1.67001e-11
300.0,1.64819e-11
310.0,1.62951e-11
320.0,1.61372e-11
330.0,1.60056e-11
340.0,1.58975e-11
350.0,1.58109e-11
360.0,1.57435e-11
370.0,1.5694e-11
380.0,1.56616e-11
390.0,1.5644e-11
400.0,1.56408e-11
410.0,1.56509e-11
420.0,1.56733e-11
430.0,1.57073e-11
440.0,1.57524e-11
450.0,1.58076e-11
460.0,1.58723e-11
470.0,1.59458e-11
480.0,1.60276e-11
490.0,1.61172e-11
500.0,1.62142e-11
510.0,1.63186e-11
520.0,1.64298e-11
530.0,1.65476e-11
540.0,1.66721e-11
550.0,1.68026e-11
560.0,1.69388e-11
570.0,1.70805e-11
580.0,1.72274e-11
590.0,1.7379e-11
600.0,1.75353e-11
610.0,1.76962e-11
620.0,1.78615e-11
630.0,1.80311e-11
640.0,1.82048e-11
650.0,1.8383e-11
660.0,1.85652e-11
670.0,1.87511e-11
680.0,1.89406e-11
690.0,1.91334e-11
700.0,1.93296e-11
800.0,2.1453e-11
900.0,2.38135e-11
1000.0,2.63438e-11
1100.0,2.89898e-11
1200.0,3.1709e-11
1300.0,3.44643e-11
1400.0,3.72263e-11
1500.0,3.99705e-11
1600.0,4.26779e-11
1700.0,4.53329e-11
1800.0,4.79246e-11
1900.0,5.04441e-11
2000.0,5.28854e-11
2100.0,5.52446e-11
2200.0,5.75197e-11
2300.0,5.97096e-11
2400.0,6.18147e-11
2500.0,6.38362e-11
2600.0,6.57756e-11
2700.0,6.76352e-11
2800.0,6.94176e-11
2900.0,7.11256e-11
3000.0,7.27621e-11
