pressure[atm]        = 1
temperature[K]       = 200
energy step[1/cm]    = 42
maximum energy[1/cm] = 4170

Bimolecular-to-bimolecular product energy distributions:
  E, kcal/mol       P0->P1
      11.9225  8.36188e-09
      11.8024  1.06986e-08
      11.6823  1.36831e-08
      11.5622  1.74932e-08
      11.4421  2.23554e-08
      11.3221  2.85575e-08
       11.202  3.64653e-08
      11.0819  4.65436e-08
      10.9618  5.93823e-08
      10.8417  7.57301e-08
      10.7217  9.65363e-08
      10.6016  1.23004e-07
      10.4815  1.56659e-07
      10.3614  1.99432e-07
      10.2413  2.53764e-07
      10.1212  3.22747e-07
      10.0012  4.10287e-07
      9.88107  5.21317e-07
      9.76099  6.62069e-07
      9.64091  8.40401e-07
      9.52083  1.06622e-06
      9.40074  1.35202e-06
      9.28066  1.71352e-06
      9.16058  2.17049e-06
       9.0405  2.74781e-06
      8.92041   3.4767e-06
      8.80033  4.39636e-06
      8.68025  5.55595e-06
      8.56017  7.01707e-06
      8.44008  8.85681e-06
         8.32  1.11716e-05
      8.19992  1.40821e-05
      8.07984  1.77387e-05
      7.95975  2.23292e-05
      7.83967  2.80876e-05
      7.71959  3.53053e-05
      7.59951  4.43445e-05
      7.47942  5.56555e-05
      7.35934   6.9797e-05
      7.23926  8.74616e-05
      7.11918  0.000109507
      6.99909  0.000136994
      6.87901  0.000171233
      6.75893  0.000213842
      6.63885  0.000266816
      6.51876   0.00033261
      6.39868  0.000414246
       6.2786  0.000515431
      6.15852  0.000640716
      6.03843  0.000795674
      5.91835   0.00098712
      5.79827   0.00122338
      5.67819   0.00151459
       5.5581    0.0018731
      5.43802    0.0023139
      5.31794   0.00285518
      5.19786   0.00351891
      5.07777   0.00433161
      4.95769   0.00532521
      4.83761   0.00653806
      4.71753   0.00801608
      4.59744   0.00981409
      4.47736    0.0119973
      4.35728    0.0146428
       4.2372    0.0178419
      4.11711    0.0217017
      3.99703    0.0263479
      3.87695    0.0319261
      3.75687    0.0386048
      3.63678    0.0465771
       3.5167    0.0560625
      3.39662    0.0673089
      3.27654    0.0805937
      3.15645    0.0962247
      3.03637     0.114538
      2.91629     0.135897
      2.79621     0.160682
      2.67612     0.189288
      2.55604     0.222106
      2.43596      0.25951
      2.31588     0.301828
      2.19579     0.349315
      2.07571     0.402106
      1.95563     0.460169
      1.83555     0.523232
      1.71546     0.590701
      1.59538     0.661549
       1.4753     0.734177
      1.35522     0.806241
      1.23513     0.874416
      1.11505     0.934076
     0.994969     0.978852
     0.874887            1
     0.754804     0.985606
     0.634722     0.920016
     0.514639     0.785576
     0.394557     0.573285
     0.274474      0.31329
     0.154392     0.103506
    0.0343093    0.0280026
   -0.0857732    0.0164351
    -0.205856    0.0099709
    -0.325938   0.00611335
    -0.446021   0.00378747
    -0.566103   0.00236656
    -0.686186   0.00148551
    -0.806268  0.000931247
    -0.926351  0.000579538
     -1.04643  0.000356458
     -1.16652  0.000216163
      -1.2866  0.000129114
     -1.40668  7.59253e-05
     -1.52676  4.39017e-05
     -1.64685  2.49473e-05
     -1.76693  1.39156e-05
     -1.88701  7.60487e-06
     -2.00709  4.06335e-06
     -2.12718  2.11427e-06
     -2.24726  1.06824e-06
     -2.36734  5.21627e-07
     -2.48742   2.4479e-07
     -2.60751  1.09486e-07
     -2.72759  4.60789e-08
     -2.84767  1.80017e-08
     -2.96775  6.35578e-09
     -3.08784  1.93882e-09
     -3.20792  4.58252e-10
       -3.328  5.15038e-11
     -3.44808 -1.93375e-11
     -3.56817 -1.40991e-11
     -3.68825  -4.2711e-12
     -3.80833  -4.5519e-13

Well-to-bimolecular product energy distributions:
  E, kcal/mol       W0->P0       W0->P1
      11.9225  2.87114e-16  4.03371e-19
      11.8024  6.29887e-16  8.75422e-19
      11.6823  -7.0286e-16  -9.6629e-19
      11.5622  1.71964e-15   2.3385e-18
      11.4421  3.68651e-15  4.95853e-18
      11.3221 -8.13052e-17 -1.08161e-19
       11.202   1.7512e-15  2.30397e-18
      11.0819 -1.52038e-15 -1.97813e-18
      10.9618 -1.52882e-15 -1.96695e-18
      10.8417  4.35127e-15  5.53553e-18
      10.7217 -3.51788e-15  -4.4249e-18
      10.6016  9.85703e-15  1.22579e-17
      10.4815 -1.01592e-15 -1.24896e-18
      10.3614 -1.99054e-16 -2.41906e-19
      10.2413 -2.61387e-15 -3.13988e-18
      10.1212 -8.48778e-17 -1.00772e-19
      10.0012 -1.79486e-15 -2.10598e-18
      9.88107  1.66703e-14  1.93286e-17
      9.76099 -3.22832e-15  -3.6985e-18
      9.64091 -9.15447e-15 -1.03616e-17
      9.52083  2.73237e-14  3.05512e-17
      9.40074 -1.32597e-15 -1.46444e-18
      9.28066  1.52792e-14  1.66663e-17
      9.16058 -1.17225e-14 -1.26273e-17
       9.0405 -2.34563e-14 -2.49493e-17
      8.92041  7.80705e-16  8.19887e-19
      8.80033 -4.35093e-14  -4.5111e-17
      8.68025 -3.43936e-14 -3.52033e-17
      8.56017 -2.48771e-14 -2.51356e-17
      8.44008  3.14627e-14  3.13803e-17
         8.32  5.93254e-14  5.84065e-17
      8.19992 -3.34564e-14 -3.25126e-17
      8.07984 -5.25901e-14 -5.04458e-17
      7.95975  4.58518e-14  4.34136e-17
      7.83967  9.79904e-14  9.15802e-17
      7.71959  5.95104e-14  5.48992e-17
      7.59951 -3.22549e-14 -2.93718e-17
      7.47942  5.42538e-14   4.8768e-17
      7.35934 -1.24498e-14 -1.10471e-17
      7.23926   8.0528e-14  7.05401e-17
      7.11918  7.15308e-14  6.18594e-17
      6.99909 -5.10777e-14 -4.36105e-17
      6.87901  1.01621e-13  8.56673e-17
      6.75893  3.95128e-14  3.28901e-17
      6.63885  1.08389e-12  8.90883e-16
      6.51876   1.2986e-13  1.05397e-16
      6.39868  8.71771e-13  6.98661e-16
       6.2786  3.90744e-13  3.09208e-16
      6.15852  1.48144e-12  1.15747e-15
      6.03843 -7.01927e-13 -5.41426e-16
      5.91835  3.80456e-13  2.89683e-16
      5.79827  6.25862e-13  4.70329e-16
      5.67819 -1.29311e-12 -9.58931e-16
       5.5581 -1.10109e-12 -8.05598e-16
      5.43802 -3.63659e-13 -2.62446e-16
      5.31794  2.65325e-12  1.88834e-15
      5.19786  1.32727e-12  9.31373e-16
      5.07777 -2.12939e-12 -1.47298e-15
      4.95769 -3.59497e-12 -2.45094e-15
      4.83761 -4.19678e-12 -2.81949e-15
      4.71753  2.27915e-12  1.50857e-15
