*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P
            K          atm        1/sec                         0            0
          200            1  1.41748e+10    0.0483035  0.000294874   0.00562336
          210            1  1.35343e+10    0.0476615  0.000355931   0.00728484
          220            1  1.29583e+10     0.047075  0.000430655   0.00940783
          230            1  1.24377e+10    0.0468883   0.00052977    0.0122629
          240            1  1.19649e+10    0.0473935  0.000662892    0.0161141
          250            1  1.15337e+10    0.0481768  0.000827211    0.0209808
          260            1  1.11389e+10    0.0495842   0.00103609    0.0271816
          270            1  1.07759e+10    0.0522262   0.00131986    0.0353404
          280            1   1.0441e+10    0.0558514   0.00166465    0.0450979
          290            1   1.0131e+10    0.0592762   0.00205445     0.056163
          300            1  9.84308e+09    0.0627457   0.00249065     0.068551
          310            1  9.57496e+09    0.0667686   0.00300365    0.0825989
          320            1  9.32456e+09     0.071149   0.00357437    0.0978563
          330            1  9.09011e+09    0.0747198   0.00416392     0.113797
          340            1  8.87007e+09    0.0793915    0.0048533     0.131346
          350            1  8.66309e+09    0.0840762   0.00559745     0.149783
          360            1  8.46798e+09    0.0884578   0.00639089     0.169031
          370            1   8.2837e+09    0.0936146   0.00725962     0.189042
          380            1  8.10934e+09    0.0988342   0.00819828      0.20979
          390            1  7.94407e+09     0.104001   0.00918439      0.23088
          400            1  7.78716e+09      0.10922    0.0102361     0.252455
          410            1  7.63798e+09     0.115027    0.0113719     0.274409
          420            1  7.49592e+09     0.120182    0.0125146     0.296234
          430            1  7.36048e+09     0.126171    0.0137831     0.318494
          440            1  7.23117e+09     0.130956    0.0150428     0.340413
          450            1  7.10758e+09     0.138871    0.0165487     0.363045
          460            1  6.98931e+09     0.143666    0.0178279     0.384086
          470            1  6.87601e+09     0.148167    0.0192405      0.40575
          480            1  6.76736e+09     0.157043      0.02115     0.428922
          490            1  6.66308e+09     0.163536     0.022652     0.449223
          500            1  6.56288e+09     0.166969    0.0240383     0.469025
          510            1  6.46653e+09     0.172949    0.0258376     0.489792
          520            1  6.37379e+09     0.185417    0.0281642     0.510623
          530            1  6.28447e+09     0.188671     0.029742     0.529422
          540            1  6.19836e+09     0.192587    0.0314007     0.547856
          550            1  6.11529e+09      0.20214    0.0335191     0.566108
          560            1  6.03509e+09     0.210239    0.0357371     0.584346
          570            1  5.95761e+09     0.216903    0.0378812     0.601806
          580            1  5.88272e+09     0.222366    0.0399928     0.618709
          590            1  5.81026e+09     0.225089    0.0420259     0.635371
          600            1  5.74013e+09     0.237106    0.0445352       0.6506
          610            1  5.67221e+09     0.243317    0.0468369      0.66588
          620            1  5.60638e+09     0.250635    0.0493111     0.680639
          630            1  5.54255e+09     0.256329    0.0516336     0.694747
          640            1  5.48063e+09     0.260013    0.0539408     0.708598
          650            1  5.42052e+09     0.264708    0.0563953     0.721967
          660            1  5.36214e+09     0.281978     0.059532     0.733505
          670            1  5.30541e+09     0.287063    0.0621515     0.745836
          680            1  5.25026e+09      0.29277    0.0647022      0.75735
          690            1  5.19663e+09     0.298918    0.0674346     0.768585
          700            1  5.14444e+09     0.303516    0.0701519     0.779515
          800            1  4.69001e+09     0.371637     0.100449     0.863589
          900            1  4.32949e+09     0.448012     0.136183     0.915919
         1000            1  4.03466e+09     0.497876     0.172408     0.948721
         1100            1  3.78774e+09      0.48152     0.197787      0.96925
         1200            1    3.577e+09     0.529891     0.235376     0.980881
         1300            1  3.39436e+09     0.599219     0.282354     0.987933
         1400            1  3.23409e+09     0.440631     0.253126     0.993073
         1500            1  3.09198e+09     0.558472     0.328864     0.995404
         1600            1  2.96489e+09      0.39459      0.27069      0.99738
         1700            1  2.85036e+09     0.303462     0.226355     0.998389
         1800            1   2.7465e+09     0.700098     0.446037     0.998817
         1900            1  2.65177e+09     0.528088     0.351361     0.999336
         2000            1  2.56495e+09      0.28524     0.189864     0.999675
         2100            1  2.48501e+09     0.757743     0.560697     0.999553
         2200            1  2.41112e+09     0.628806     0.488565     0.999693
         2300            1  2.34258e+09     0.439073     0.350958     0.999801
         2400            1  2.27878e+09     0.475006     0.385833     0.999887
         2500            1  2.21922e+09      0.28814     0.243257     0.999932
         2600            1  2.16347e+09      1.21515     0.725352     0.999932
         2700            1  2.11114e+09      1.15929     0.632544     0.999956
         2800            1  2.06191e+09      1.12448     0.560833     0.999971
         2900            1   2.0155e+09      1.04721      0.47196      0.99998
         3000            1  1.97166e+09     0.769754     0.313725     0.999987
