pressure[atm]        = 1
temperature[K]       = 200
energy step[1/cm]    = 42
maximum energy[1/cm] = 4170

Bimolecular-to-bimolecular product energy distributions:
  E, kcal/mol       P0->P1
      11.9225  8.35981e-09
      11.8024   1.0696e-08
      11.6823  1.36797e-08
      11.5622  1.74889e-08
      11.4421  2.23498e-08
      11.3221  2.85504e-08
       11.202  3.64563e-08
      11.0819  4.65321e-08
      10.9618  5.93676e-08
      10.8417  7.57113e-08
      10.7217  9.65124e-08
      10.6016  1.22974e-07
      10.4815  1.56621e-07
      10.3614  1.99382e-07
      10.2413  2.53701e-07
      10.1212  3.22667e-07
      10.0012  4.10185e-07
      9.88107  5.21188e-07
      9.76099  6.61905e-07
      9.64091  8.40193e-07
      9.52083  1.06596e-06
      9.40074  1.35169e-06
      9.28066  1.71309e-06
      9.16058  2.16995e-06
       9.0405  2.74713e-06
      8.92041  3.47584e-06
      8.80033  4.39527e-06
      8.68025  5.55458e-06
      8.56017  7.01533e-06
      8.44008  8.85461e-06
         8.32  1.11689e-05
      8.19992  1.40786e-05
      8.07984  1.77343e-05
      7.95975  2.23237e-05
      7.83967  2.80807e-05
      7.71959  3.52965e-05
      7.59951  4.43335e-05
      7.47942  5.56417e-05
      7.35934  6.97797e-05
      7.23926  8.74399e-05
      7.11918   0.00010948
      6.99909   0.00013696
      6.87901  0.000171191
      6.75893  0.000213789
      6.63885   0.00026675
      6.51876  0.000332528
      6.39868  0.000414143
       6.2786  0.000515303
      6.15852  0.000640558
      6.03843  0.000795477
      5.91835  0.000986876
      5.79827   0.00122307
      5.67819   0.00151421
       5.5581   0.00187263
      5.43802   0.00231333
      5.31794   0.00285447
      5.19786   0.00351804
      5.07777   0.00433054
      4.95769   0.00532389
      4.83761   0.00653644
      4.71753    0.0080141
      4.59744   0.00981166
      4.47736    0.0119943
      4.35728    0.0146392
       4.2372    0.0178374
      4.11711    0.0216964
      3.99703    0.0263413
      3.87695    0.0319182
      3.75687    0.0385953
      3.63678    0.0465656
       3.5167    0.0560486
      3.39662    0.0672922
      3.27654    0.0805738
      3.15645    0.0962009
      3.03637      0.11451
      2.91629     0.135863
      2.79621     0.160642
      2.67612     0.189241
      2.55604     0.222052
      2.43596     0.259446
      2.31588     0.301754
      2.19579     0.349229
      2.07571     0.402008
      1.95563     0.460057
      1.83555     0.523107
      1.71546     0.590562
      1.59538     0.661396
       1.4753     0.734013
      1.35522     0.806072
      1.23513     0.874251
      1.11505     0.933933
     0.994969     0.978759
     0.874887            1
     0.754804     0.985757
     0.634722     0.920374
     0.514639     0.786122
     0.394557     0.573771
     0.274474     0.313147
     0.154392     0.102391
    0.0343093    0.0265758
   -0.0857732    0.0152543
    -0.205856   0.00907116
    -0.325938    0.0054575
    -0.446021   0.00332298
    -0.566103   0.00204497
    -0.686186   0.00126763
    -0.806268  0.000787026
    -0.926351  0.000486425
     -1.04643  0.000297817
     -1.16652  0.000180084
      -1.2866  0.000107382
     -1.40668  6.30866e-05
     -1.52676  3.64611e-05
     -1.64685  2.07155e-05
     -1.76693  1.15551e-05
     -1.88701  6.31554e-06
     -2.00709  3.37505e-06
     -2.12718  1.75658e-06
     -2.24726  8.87808e-07
     -2.36734  4.33698e-07
     -2.48742  2.03631e-07
     -2.60751   9.1137e-08
     -2.72759  3.83925e-08
     -2.84767  1.50189e-08
     -2.96775  5.31409e-09
     -3.08784  1.62733e-09
     -3.20792  3.88136e-10
       -3.328  4.58033e-11
     -3.44808 -1.50037e-11
     -3.56817 -1.14088e-11
     -3.68825 -3.48606e-12
     -3.80833 -3.72849e-13

Well-to-bimolecular product energy distributions:
  E, kcal/mol       W0->P0       W0->P1
      11.9225  1.80031e-15  2.07066e-18
      11.8024  -5.4948e-16 -6.25197e-19
      11.6823  9.16169e-16  1.03116e-18
      11.5622  1.80873e-15  2.01365e-18
      11.4421  1.88927e-16  2.08038e-19
      11.3221  1.81524e-16  1.97695e-19
       11.202  2.41724e-15  2.60357e-18
      11.0819  1.61745e-15  1.72284e-18
      10.9618 -4.99842e-16 -5.26477e-19
      10.8417 -2.72057e-16 -2.83344e-19
      10.7217  6.84464e-16  7.04827e-19
      10.6016  3.13741e-15  3.19413e-18
      10.4815 -4.80653e-15 -4.83762e-18
      10.3614 -1.77231e-15  -1.7633e-18
      10.2413  9.04587e-15  8.89588e-18
      10.1212  3.85717e-15  3.74907e-18
      10.0012  3.08179e-14   2.9603e-17
      9.88107  7.80587e-15  7.40951e-18
      9.76099 -4.79389e-15 -4.49621e-18
      9.64091  3.50288e-16  3.24585e-19
      9.52083 -2.68401e-15 -2.45688e-18
      9.40074 -8.46993e-15 -7.65822e-18
      9.28066 -1.68456e-14 -1.50431e-17
      9.16058   3.8827e-14  3.42401e-17
       9.0405 -6.18443e-15 -5.38529e-18
      8.92041  3.19907e-14  2.75043e-17
      8.80033  2.75453e-14  2.33807e-17
      8.68025  1.90318e-14  1.59476e-17
      8.56017  3.93534e-14  3.25524e-17
      8.44008 -3.00521e-14 -2.45384e-17
         8.32  1.19326e-13  9.61758e-17
      8.19992  5.32361e-14  4.23535e-17
      8.07984 -8.20844e-14 -6.44603e-17
      7.95975  5.18692e-14  4.02057e-17
      7.83967 -2.27227e-13 -1.73855e-16
      7.71959  -1.1766e-13 -8.88611e-17
      7.59951  6.17151e-14  4.60083e-17
      7.47942  5.78513e-14  4.25724e-17
      7.35934  8.06341e-14  5.85756e-17
      7.23926  1.44923e-13  1.03929e-16
      7.11918 -4.10193e-13  -2.9041e-16
      6.99909 -8.73516e-14 -6.10578e-17
      6.87901  1.38949e-14  9.58957e-18
      6.75893  1.72498e-13  1.17549e-16
      6.63885  3.17195e-14  2.13439e-17
      6.51876  7.58908e-14  5.04258e-17
      6.39868 -7.37609e-14  -4.8395e-17
       6.2786 -1.75031e-13 -1.13393e-16
      6.15852 -1.75895e-13 -1.12509e-16
      6.03843 -1.15039e-12 -7.26445e-16
      5.91835  9.61751e-13  5.99502e-16
      5.79827  4.30369e-13  2.64773e-16
      5.67819  1.34577e-12  8.17017e-16
       5.5581 -2.35737e-12 -1.41199e-15
      5.43802 -6.25999e-13 -3.69854e-16
      5.31794  3.40934e-14  1.98648e-17
      5.19786  1.00459e-12  5.77119e-16
      5.07777 -2.12848e-12 -1.20537e-15
      4.95769   -2.515e-13 -1.40374e-16
      4.83761 -4.23809e-12 -2.33095e-15
      4.71753  4.45053e-12  2.41165e-15
      4.59744  7.05409e-13  3.76547e-16
