*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P
            K          atm        1/sec                         0            0
          200            1  1.54466e+10    0.0511215  0.000297684   0.00526347
          210            1  1.47486e+10     0.050089  0.000358869   0.00687123
          220            1  1.41209e+10    0.0491377  0.000433439   0.00893383
          230            1  1.35536e+10    0.0486183  0.000532005     0.011715
          240            1  1.30384e+10    0.0488192  0.000663931    0.0154766
          250            1  1.25685e+10    0.0493076  0.000826065    0.0202469
          260            1  1.21383e+10    0.0504267   0.00103131    0.0263429
          270            1  1.17427e+10    0.0527699   0.00130916     0.034382
          280            1  1.13777e+10    0.0560831   0.00164507    0.0440252
          290            1  1.10399e+10    0.0591689   0.00202261    0.0549934
          300            1  1.07262e+10    0.0622758   0.00244261    0.0673044
          310            1   1.0434e+10    0.0659053   0.00293414    0.0812915
          320            1  1.01612e+10    0.0698585   0.00347781    0.0965132
          330            1  9.90568e+09    0.0729952   0.00403546     0.112448
          340            1  9.66589e+09    0.0771794   0.00468486      0.13001
          350            1  9.44034e+09    0.0813499   0.00538179     0.148483
          360            1  9.22773e+09    0.0852132   0.00612052     0.167789
          370            1  9.02692e+09    0.0897755   0.00692522     0.187882
          380            1  8.83691e+09     0.094382   0.00779031     0.208728
          390            1  8.65681e+09    0.0989194   0.00869388     0.229931
          400            1  8.48583e+09     0.103466    0.0096526     0.251636
          410            1  8.32326e+09     0.108576    0.0106836     0.273725
          420            1  8.16846e+09     0.113002    0.0117129     0.295704
          430            1  8.02086e+09      0.11823     0.012853     0.318115
          440            1  7.87996e+09     0.122262    0.0139768       0.3402
          450            1  7.74527e+09     0.129324     0.015323     0.362966
          460            1  7.61639e+09       0.1333    0.0164484     0.384186
          470            1  7.49293e+09     0.137022    0.0176899     0.406018
          480            1  7.37453e+09     0.145014    0.0193846      0.42929
          490            1  7.26089e+09      0.15042    0.0206885     0.449782
          500            1   7.1517e+09     0.153126     0.021881      0.46974
          510            1  7.04671e+09     0.158342    0.0234471      0.49061
          520            1  6.94565e+09     0.169282    0.0254791     0.511577
          530            1  6.84831e+09     0.171735    0.0268187     0.530518
          540            1  6.75448e+09     0.174961    0.0282286     0.549053
          550            1  6.66395e+09     0.183117    0.0300394     0.567437
          560            1  6.57656e+09      0.19022    0.0319397     0.585737
          570            1  6.49213e+09     0.195872    0.0337614     0.603275
          580            1  6.41052e+09     0.200424    0.0355454     0.620247
          590            1  6.33156e+09     0.202992    0.0372678     0.636884
          600            1  6.25514e+09     0.212756    0.0393585     0.652308
          610            1  6.18112e+09     0.218086    0.0412881     0.667622
          620            1  6.10939e+09     0.224537     0.043369     0.682383
          630            1  6.03983e+09     0.229437    0.0453047     0.696501
          640            1  5.97235e+09      0.23291    0.0472396     0.710294
          650            1  5.90685e+09     0.237159     0.049288     0.723627
          660            1  5.84323e+09     0.250619    0.0518179     0.735432
          670            1  5.78141e+09      0.25534    0.0540025     0.747701
          680            1  5.72132e+09     0.260093    0.0560931     0.759218
          690            1  5.66287e+09     0.265588     0.058353     0.770415
          700            1    5.606e+09     0.270044    0.0606136     0.781267
          800            1   5.1108e+09     0.329113    0.0852925     0.865075
          900            1  4.71793e+09     0.395351     0.113901      0.91714
         1000            1  4.39665e+09     0.443781     0.143286      0.94954
         1100            1  4.12758e+09     0.447331     0.167049     0.969588
         1200            1  3.89793e+09     0.495153     0.197889      0.98115
         1300            1   3.6989e+09     0.555907     0.234508     0.988146
         1400            1  3.52425e+09     0.446902     0.226948     0.993088
         1500            1   3.3694e+09     0.553885     0.281668     0.995404
         1600            1   3.2309e+09     0.421025      0.25237     0.997302
         1700            1   3.1061e+09     0.337903     0.224486     0.998367
         1800            1  2.99291e+09     0.652121      0.38042     0.998766
         1900            1  2.88969e+09     0.505932     0.325116     0.999263
         2000            1  2.79508e+09     0.285024     0.199257     0.999617
         2100            1  2.70797e+09     0.722989     0.469269     0.999572
         2200            1  2.62745e+09     0.607205     0.429304     0.999708
         2300            1  2.55276e+09     0.436374      0.33348     0.999806
         2400            1  2.48323e+09     0.482959      0.35395     0.999889
         2500            1  2.41833e+09     0.304153     0.236564     0.999933
         2600            1  2.35757e+09     0.967623     0.607488     0.999928
         2700            1  2.30055e+09     0.920875     0.546903     0.999953
         2800            1  2.24691e+09     0.893253     0.496825     0.999969
         2900            1  2.19634e+09     0.838243     0.430777     0.999979
         3000            1  2.14856e+09     0.635128     0.302302     0.999986
