========================================
ch2o+oh_B1_Frequencies_1_0.1.out
1 atm
T,P0->P1
200.0,1.79711e-11
210.0,1.72489e-11
220.0,1.66176e-11
230.0,1.60644e-11
240.0,1.55782e-11
250.0,1.51503e-11
260.0,1.47742e-11
270.0,1.44437e-11
280.0,1.41535e-11
290.0,1.38992e-11
300.0,1.3676e-11
310.0,1.3481e-11
320.0,1.33118e-11
330.0,1.31659e-11
340.0,1.30408e-11
350.0,1.29345e-11
360.0,1.2845e-11
370.0,1.27708e-11
380.0,1.27117e-11
390.0,1.2665e-11
400.0,1.26306e-11
410.0,1.26075e-11
420.0,1.25948e-11
430.0,1.25919e-11
440.0,1.25982e-11
450.0,1.26131e-11
460.0,1.26357e-11
470.0,1.26656e-11
480.0,1.27022e-11
490.0,1.27451e-11
500.0,1.2794e-11
510.0,1.28489e-11
520.0,1.29093e-11
530.0,1.2975e-11
540.0,1.30462e-11
550.0,1.31221e-11
560.0,1.32028e-11
570.0,1.32876e-11
580.0,1.33765e-11
590.0,1.34692e-11
600.0,1.35655e-11
610.0,1.36654e-11
620.0,1.37687e-11
630.0,1.38754e-11
640.0,1.39854e-11
650.0,1.40991e-11
660.0,1.42159e-11
670.0,1.43356e-11
680.0,1.44581e-11
690.0,1.45832e-11
700.0,1.47109e-11
800.0,1.61169e-11
900.0,1.77173e-11
1000.0,1.94673e-11
1100.0,2.13327e-11
1200.0,2.32874e-11
1300.0,2.53082e-11
1400.0,2.73761e-11
1500.0,2.94749e-11
1600.0,3.15907e-11
1700.0,3.37113e-11
1800.0,3.5827e-11
1900.0,3.79291e-11
2000.0,4.00103e-11
2100.0,4.20649e-11
2200.0,4.40878e-11
2300.0,4.60751e-11
2400.0,4.80238e-11
2500.0,4.99315e-11
2600.0,5.17963e-11
2700.0,5.36169e-11
2800.0,5.53927e-11
2900.0,5.7123e-11
3000.0,5.88079e-11
========================================
ch2o+oh_W0_Frequencies_1_0.1.out
1 atm
T,P0->P1
200.0,2.08922e-11
210.0,2.01369e-11
220.0,1.94779e-11
230.0,1.8902e-11
240.0,1.83978e-11
250.0,1.79566e-11
260.0,1.75713e-11
270.0,1.72357e-11
280.0,1.69442e-11
290.0,1.66922e-11
300.0,1.64748e-11
310.0,1.62886e-11
320.0,1.61313e-11
330.0,1.60002e-11
340.0,1.58926e-11
350.0,1.58064e-11
360.0,1.57395e-11
370.0,1.56903e-11
380.0,1.56576e-11
390.0,1.56406e-11
400.0,1.56376e-11
410.0,1.5648e-11
420.0,1.56706e-11
430.0,1.57048e-11
440.0,1.57501e-11
450.0,1.58054e-11
460.0,1.58703e-11
470.0,1.5944e-11
480.0,1.60259e-11
490.0,1.61156e-11
500.0,1.62127e-11
510.0,1.63171e-11
520.0,1.64284e-11
530.0,1.65464e-11
540.0,1.66709e-11
550.0,1.68015e-11
560.0,1.69378e-11
570.0,1.70796e-11
580.0,1.72265e-11
590.0,1.73782e-11
600.0,1.75346e-11
610.0,1.76955e-11
620.0,1.78608e-11
630.0,1.80304e-11
640.0,1.82042e-11
650.0,1.83824e-11
660.0,1.85647e-11
670.0,1.87506e-11
680.0,1.89401e-11
690.0,1.9133e-11
700.0,1.93291e-11
800.0,2.14527e-11
900.0,2.38134e-11
1000.0,2.63437e-11
1100.0,2.89898e-11
1200.0,3.17089e-11
1300.0,3.44643e-11
1400.0,3.72262e-11
1500.0,3.99705e-11
1600.0,4.26779e-11
1700.0,4.53329e-11
1800.0,4.79246e-11
1900.0,5.04441e-11
2000.0,5.28854e-11
2100.0,5.52446e-11
2200.0,5.75197e-11
2300.0,5.97096e-11
2400.0,6.18147e-11
