Rate Units: cm^3/sec

 T, K        R->P8        P8->R
  200  5.93545e-18  1.25412e-27
  210  9.46894e-18  5.55992e-27
  220  1.47915e-17  2.19945e-26
  230  2.26341e-17  7.86192e-26
  240   3.3946e-17  2.56647e-25
  250  4.99318e-17  7.72174e-25
  260  7.20882e-17  2.15835e-24
  270   1.0224e-16  5.64392e-24
  280  1.42572e-16  1.38919e-23
  290  1.95659e-16  3.23609e-23
  300  2.64496e-16  7.16897e-23
  310  3.52512e-16  1.51683e-22
  320  4.63595e-16  3.07699e-22
  330    6.021e-16  6.00513e-22
  340  7.72862e-16  1.13101e-21
  350  9.81195e-16   2.0614e-21
  360  1.23289e-15  3.64501e-21
  370  1.53423e-15  6.26699e-21
  380  1.89196e-15  1.04986e-20
  390  2.31327e-15  1.71682e-20
  400  2.80582e-15  2.74517e-20
  410   3.3777e-15  4.29866e-20
  420   4.0374e-15  6.60126e-20
  430  4.79383e-15  9.95416e-20
  440  5.65627e-15  1.47563e-19
  450  6.63434e-15  2.15283e-19
  460  7.73804e-15   3.0941e-19
  470  8.97766e-15  4.38472e-19
  480  1.03638e-14  6.13193e-19
  490  1.19073e-14  8.46909e-19
  500  1.36194e-14  1.15603e-18
  510  1.55114e-14  1.56057e-18
  520  1.75949e-14   2.0847e-18
  530  1.98818e-14  2.75738e-18
  540   2.2384e-14  3.61304e-18
  550  2.51137e-14  4.69229e-18
  560  2.80832e-14  6.04271e-18
  570   3.1305e-14  7.71966e-18
  580  3.47917e-14  9.78718e-18
  590  3.85561e-14  1.23189e-17
  600  4.26109e-14   1.5399e-17
  610  4.69691e-14  1.91232e-17
  620  5.16436e-14  2.35999e-17
  630  5.66475e-14   2.8951e-17
  640   6.1994e-14  3.53135e-17
  650  6.76963e-14  4.28402e-17
  660  7.37676e-14  5.17009e-17
  670  8.02211e-14   6.2084e-17
  680  8.70703e-14  7.41971e-17
  690  9.43283e-14   8.8269e-17
  700  1.02009e-13   1.0455e-16
  800  2.04977e-13  4.62296e-16
  900  3.64814e-13  1.52888e-15
 1000  5.94524e-13  4.11262e-15
 1100  9.06558e-13   9.4956e-15
 1200  1.31266e-12  1.95111e-14
 1300  1.82378e-12  3.65894e-14
 1400  2.45005e-12  6.37733e-14
 1500  3.20073e-12   1.0471e-13
 1600  4.08431e-12  1.63623e-13
 1700   5.1085e-12  2.45272e-13
 1800   6.2803e-12  3.54906e-13
 1900  7.60605e-12  4.98209e-13
 2000   9.0915e-12  6.81245e-13
 2100  1.07419e-11  9.10412e-13
 2200  1.25618e-11  1.19239e-12
 2300  1.45557e-11  1.53407e-12
 2400  1.67273e-11  1.94258e-12
 2500  1.90803e-11  2.42515e-12
 2600  2.16177e-11  2.98915e-12
 2700  2.43426e-11  3.64206e-12
 2800  2.72576e-11  4.39138e-12
 2900  3.03651e-11  5.24468e-12
 3000  3.36673e-11  6.20952e-12
 3100  3.71663e-11  7.29348e-12
 3200  4.08639e-11  8.50411e-12
 3300  4.47619e-11  9.84896e-12
 3400  4.88619e-11  1.13355e-11
 3500  5.31652e-11  1.29712e-11
 3600  5.76733e-11  1.47634e-11
 3700  6.23874e-11  1.67194e-11
 3800  6.73086e-11  1.88466e-11
 3900   7.2438e-11  2.11521e-11
