Pressure (atm),Temperature (K),W1_Energy_1_W1->R,W1_Energy_1_P3->W1,W1_Energy_1_R->P2,W1_Energy_1_R->P4,W1_Energy_1_P3->R,W1_Energy_1_W1->P3,W1_Energy_1_W1->P2,W1_Energy_1_W1->P1,W1_Energy_1_W1->P6,W1_Energy_1_W1->P5,W1_Energy_1_W1->P4,W1_Energy_1_P5->P6,W1_Energy_1_P5->P3,W1_Energy_1_P6->P3,W1_Energy_1_P3->P4,W1_Energy_1_P3->P5,W1_Energy_1_P3->P6,W1_Energy_1_P3->P1,W1_Energy_1_P3->P2,W1_Energy_1_P1->P2,W1_Energy_1_P1->P3,W1_Energy_1_P1->P6,W1_Energy_1_P1->P4,W1_Energy_1_P1->P5,W1_Energy_1_P4->P3,W1_Energy_1_R->P3,W1_Energy_1_R->P1,W1_Energy_1_R->P6,W1_Energy_1_P4->P6,W1_Energy_1_P4->P5,W1_Energy_1_R->P5,W1_Energy_1_P2->P3,W1_Energy_1_P2->P5,W1_Energy_1_P2->P4,W1_Energy_1_P2->P6
0.1,300.0,1.6476740829112488,-0.0003381972882110564,0.0512945427659267,0.05476253548053664,0.057434412702976056,1.676976918562582,1.6740228143125204,1.6492416205145168,1.0983580522716743,1.4923900755515276,1.6772340133711003,0.00011173619748033597,-6.231838004359719e-05,2.6814072192817497e-06,0.09649297249309588,-6.81774416570003e-05,-3.621062583176587e-05,0.06412949981483475,0.08794639348545713,0.05949829449532403,0.06416758612583556,-2.273660122136928e-05,0.06222858191632723,0.0009138861247869333,0.09647555962819963,0.05743776677750272,0.047561929326013316,1.7578956821087893e-06,7.834216165785674e-07,0.0016718613868678131,0.005257429902129532,0.08792515610811773,0.0029275296986497187,0.0850299550911167,3.7123953355933514e-05
0.1,310.0,1.5926499929213889,-0.00010287890982955595,0.049128994212661786,0.05263912854026752,0.055367127553481346,1.6233771048022145,1.6199828365104658,1.5947308335120518,1.0714075586108707,1.4385196605881383,1.6237046818878291,0.0001270168546030696,-0.0001939263733811959,-1.1765049068400617e-05,0.09497425029707054,-0.00020015264167343093,7.989352542601929e-06,0.06258583651740358,0.08618064422527781,0.05782651228029988,0.06258642945099538,-3.2839706865747246e-05,0.060589954565633514,0.000702982251171222,0.09499395007244686,0.05538364057837943,0.04578627245508808,-2.8389311697701765e-06,-4.385409584020859e-06,0.0014784271265533685,0.004869654596702903,0.08619255597435523,0.002684139984607299,0.08311868130116418,2.1020618573156678e-05
0.1,320.0,1.5400475125356206,-0.00039345736426906706,0.04702820536821642,0.05056600142542375,0.053356026992173934,1.5721694689074674,1.5683125515036114,1.5425560531630855,1.0249397410075936,1.387248602340658,1.5726038269160423,0.00011936659442609942,-0.00029443640109223383,-1.0924773168708367e-05,0.09351304066993803,-0.0002978664290678476,3.482826102372401e-06,0.0612109779413175,0.08438566372143756,0.056238666073561254,0.06120758822541559,-3.556190223116864e-05,0.05910759713768198,0.0005263783699586158,0.09353794073514322,0.0533778057199548,0.04411963690119089,-2.372969661250126e-06,9.50185332391232e-06,0.0013190065239594344,0.004534251041912512,0.08439949223701972,0.002455852273304177,0.0810541025284655,1.6904500489975397e-05
0.1,330.0,1.4906713588218485,-0.0006435683439119201,0.045016071506244884,0.048567935286156584,0.05141583513484306,1.5241354200293353,1.519809966604614,1.493609408036413,0.9835047562210976,1.3393097100989173,1.5246612997031694,0.00010800746299180475,-0.00037673094391202274,-6.788367613751737e-06,0.09197159404631645,-0.0003778554817122555,-8.58869569302135e-06,0.0598415782297805,0.08257640210856608,0.054687944767744634,0.059842494026930364,-3.427111642094043e-05,0.057647815266923245,0.0003764570828504457,0.09199207336118875,0.051438430405882765,0.042522702701425226,-1.0507633461514349e-06,2.268168934074178e-05,0.0011802467443480947,0.00423058952090548,0.08258352499181155,0.0022523078711313605,0.07899289330963544,1.5604450444137812e-05
0.1,340.0,1.4444020444529613,-0.0007762127176762682,0.043094214721984235,0.04664849776244482,0.049548121845912216,1.4791499438757414,1.4743535823814433,1.447784473268805,0.9501814921876539,1.2945259214259495,1.479773172511228,9.903149471573627e-05,-0.0004459996794334986,-3.4486790208421386e-06,0.09034947236396997,-0.0004460009543831106,-1.5954987867546855e-05,0.058462792020088146,0.08076354409121587,0.053171059811580955,0.05846796216246221,-3.114817889671468e-05,0.05619610590768996,0.000247500873798255,0.09036376518281732,0.049569356922450916,0.040984069294701886,-1.9503997057138693e-07,3.011993619014959e-05,0.0010562203644666579,0.003949859941270557,0.08076411945450902,0.0020727863463531958,0.07696634603065218,1.4214606273533626e-05
0.1,350.0,1.400890180887748,-0.0008471545159645174,0.04125774200557296,0.04480481136386969,0.04775018262791363,1.436863823966787,1.4315943932519282,1.4047231534776976,0.9222749311552803,1.2525109676183033,1.4376139718299104,9.335865757831612e-05,-0.0005044360936165216,-1.7653382784389066e-06,0.08867671905679886,-0.0005042031689235426,-1.7279683095996365e-05,0.05709675031018058,0.07895327700024334,0.05169396059214195,0.05710428124604132,-2.7506762965938106e-05,0.05476758119964101,0.0001354144853082244,0.08868533958082792,0.047769249181014835,0.039501769839126795,1.8890424448661426e-08,3.217118943962411e-05,0.0009442676864275529,0.003688481277287408,0.07894996460961047,0.0019135625182464665,0.07496881850174271,1.2275538698569227e-05
0.1,360.0,1.359796891797597,-0.0009202359691883975,0.03950097421678978,0.04303295406996905,0.04601853145034539,1.3969395914899192,1.3911952280982172,1.3640755608793018,0.8967965822772295,1.2129058602003713,1.397855220307369,9.021452063309683e-05,-0.0005532052375091074,-1.4551986572071495e-06,0.08698009213026499,-0.0005531525123379354,-1.4526834998171066e-05,0.055764838037856784,0.0771492317088103,0.05026128525602477,0.05577311283757645,-2.4070558950549462e-05,0.05337709471104449,3.730110286688883e-05,0.08698393254573265,0.04603536559779674,0.03807603146839089,-2.1232699412391107e-07,3.064322435002339e-05,0.0008430636179500533,0.0034449657794660095,0.07714463722641894,0.0017707474054867586,0.07299012982005645,1.0101536103614034e-05
0.1,370.0,1.320854298917266,-0.0010347500486176592,0.0378191016950519,0.04132954843380184,0.044350049285496254,1.3591106573413803,1.3528906835333765,1.3255662294907815,0.8718858501884017,1.1754336690764653,1.3602255198153377,8.853805305347673e-05,-0.0005931987267091643,-1.971578083475041e-06,0.08527640085597676,-0.0005933629200791775,-9.998062233634312e-06,0.05447879989670593,0.07535410198127039,0.04887449060456115,0.05448689820585359,-2.1184002537952855e-05,0.05203235589864874,-4.8913191325629084e-05,0.0852762380025019,0.044364934053925026,0.03670681194614848,-6.392787574497767e-07,2.730406768114313e-05,0.0007517607583836307,0.003218502954129886,0.07534996933059229,0.0016411818006208862,0.07102486422466647,8.108884081135808e-06
0.1,380.0,1.28386282966694,-0.001205275799161872,0.036208344729149376,0.03969194908606534,0.0427421907770516,1.3231784193847023,1.3164841084135421,1.2889919668171377,0.8468007703477913,1.1398920873277114,1.3245132147448304,8.746767796583155e-05,-0.0006252763424621264,-2.830717454486286e-06,0.0835743143135333,-0.0006254724471887445,-5.3953829440783895e-06,0.05324167792788379,0.07357051407165648,0.047532609675573184,0.05324923959561266,-1.8961235426540998e-05,0.05073472236650229,-0.0001247603942848117,0.08357078166213737,0.042755521451645837,0.035393234775296,-1.0703293059133563e-06,2.3441829821740658e-05,0.0006696404705565402,0.003008378425870604,0.07356767076018848,0.00152255252693691,0.06907308786691552,6.592434267071382e-06
0.1,390.0,1.2486722607007845,-0.0014300224146808521,0.034665679128507626,0.03811802088359586,0.04119287042491317,1.2889934507564973,1.2818284361745473,1.254201861627943,0.8215362030190165,1.1061312269395347,1.2905528167969593,8.644280149816888e-05,-0.0006503085870419814,-3.699027866897701e-06,0.08187768589354481,-0.0006502641911448508,-1.6948147131874153e-06,0.05205106059157204,0.0718013154466654,0.04623341108659566,0.052058043590230266,-1.738616769610743e-05,0.049481710587918594,-0.00019142333930916966,0.08187134885381482,0.041205028639568035,0.034133685961798756,-1.3929344771382627e-06,1.983992704619111e-05,0.000595993877618969,0.0028137812420657997,0.07179988815574659,0.0014132456561025482,0.0671385503050555,5.688768378706157e-06
