========================================
ch3ar_W1_Energy_1_52.46385.out
0.1 atm
T,W1->R
300.0,1.64335e-51
310.0,2.21986e-49
320.0,2.20452e-47
330.0,1.65404e-45
340.0,9.61314e-44
350.0,4.42421e-42
360.0,1.64306e-40
370.0,5.01165e-39
380.0,1.27537e-37
390.0,2.74403e-36
400.0,5.05659e-35
410.0,8.07228e-34
420.0,1.1274e-32
430.0,1.39081e-31
440.0,1.52828e-30
450.0,1.50719e-29
460.0,1.34342e-28
470.0,1.08947e-27
480.0,8.08448e-27
490.0,5.51952e-26
500.0,3.48533e-25
510.0,2.04377e-24
520.0,1.11793e-23
530.0,5.72715e-23
540.0,2.75811e-22
550.0,1.25219e-21
560.0,5.38171e-21
570.0,2.193e-20
580.0,8.50444e-20
590.0,3.14604e-19
600.0,1.11262e-18
610.0,3.769e-18
620.0,1.22663e-17
630.0,3.83777e-17
640.0,1.15741e-16
650.0,3.37109e-16
660.0,9.48899e-16
670.0,2.58682e-15
680.0,6.84068e-15
690.0,1.75587e-14
700.0,4.38214e-14
800.0,1.1048e-10
900.0,4.45565e-08
1000.0,4.98915e-06
1100.0,0.000220286
1200.0,0.00484737
1300.0,0.0625371
1400.0,0.531115
1500.0,3.23357
1600.0,15.025
1700.0,55.9777
1800.0,173.684
1900.0,462.049
2000.0,1081.69
2100.0,2265.16
2200.0,4312.18
2300.0,7611.09
2400.0,12506.2
2500.0,19512.3
2600.0,28843.7
2700.0,40669.4
2800.0,55890.7
2900.0,73963.4
3000.0,94876.3
========================================
ch3ar_W1_Energy_1_52.46385.out
0.5 atm
T,W1->R
300.0,2.31368e-51
310.0,3.19376e-49
320.0,3.24004e-47
330.0,2.48315e-45
340.0,1.47374e-43
350.0,6.92316e-42
360.0,2.62393e-40
370.0,8.16484e-39
380.0,2.11866e-37
390.0,4.64701e-36
400.0,8.72616e-35
410.0,1.41889e-33
420.0,2.01778e-32
430.0,2.53357e-31
440.0,2.83237e-30
450.0,2.84084e-29
460.0,2.57441e-28
470.0,2.12167e-27
480.0,1.59941e-26
490.0,1.10892e-25
500.0,7.10783e-25
510.0,4.22971e-24
520.0,2.34715e-23
530.0,1.2195e-22
540.0,5.95349e-22
550.0,2.73978e-21
560.0,1.19284e-20
570.0,4.92416e-20
580.0,1.93358e-19
590.0,7.24103e-19
600.0,2.59139e-18
610.0,8.88273e-18
620.0,2.92371e-17
630.0,9.25097e-17
640.0,2.82071e-16
650.0,8.30326e-16
660.0,2.36194e-15
670.0,6.50529e-15
680.0,1.73753e-14
690.0,4.50423e-14
700.0,1.13503e-13
800.0,3.11835e-10
900.0,1.34993e-07
1000.0,1.60352e-05
1100.0,0.000744519
1200.0,0.0171056
1300.0,0.229105
1400.0,2.01094
1500.0,12.6006
1600.0,60.0979
1700.0,229.224
1800.0,726.285
1900.0,1969.81
2000.0,4688.28
2100.0,9977.44
2200.0,19301.3
2300.0,34471.4
2400.0,57376.0
2500.0,90159.2
2600.0,134503.0
2700.0,191878.0
2800.0,264413.0
2900.0,352305.0
3000.0,456154.0
========================================
ch3ar_W1_Energy_1_52.46385.out
1 atm
T,W1->R
300.0,2.50055e-51
310.0,3.47524e-49
320.0,3.54994e-47
330.0,2.73982e-45
340.0,1.63765e-43
