========================================
ch3ar_B4_SymmetryFactor_1_0.1.out
0.1 atm
T,W1->R
300.0,1.28346e-51
310.0,1.74824e-49
320.0,1.7498e-47
330.0,1.32258e-45
340.0,7.74021e-44
350.0,3.58564e-42
360.0,1.3399e-40
370.0,4.11099e-39
380.0,1.052e-37
390.0,2.27541e-36
400.0,4.21412e-35
410.0,6.75959e-34
420.0,9.48373e-33
430.0,1.17505e-31
440.0,1.29656e-30
450.0,1.28375e-29
460.0,1.14861e-28
470.0,9.3488e-28
480.0,6.96159e-27
490.0,4.76883e-26
500.0,3.021e-25
510.0,1.77697e-24
520.0,9.74887e-24
530.0,5.00867e-23
540.0,2.41876e-22
550.0,1.10105e-21
560.0,4.74428e-21
570.0,1.93806e-20
580.0,7.53376e-20
590.0,2.79341e-19
600.0,9.9012e-19
610.0,3.3613e-18
620.0,1.09623e-17
630.0,3.43676e-17
640.0,1.03851e-16
650.0,3.03056e-16
660.0,8.54625e-16
670.0,2.334e-15
680.0,6.18288e-15
690.0,1.58972e-14
700.0,3.974e-14
800.0,1.01623e-10
900.0,4.14412e-08
1000.0,4.68171e-06
1100.0,0.000208224
1200.0,0.0046099
1300.0,0.0597813
1400.0,0.509969
1500.0,3.11682
1600.0,14.5317
1700.0,54.3029
1800.0,168.94
1900.0,450.512
2000.0,1056.95
2100.0,2217.69
2200.0,4229.37
2300.0,7476.55
2400.0,12302.6
2500.0,19217.7
2600.0,28439.8
2700.0,40142.2
2800.0,55209.4
2900.0,73117.0
3000.0,93862.5
========================================
ch3ar_B4_SymmetryFactor_1_0.1.out
0.2 atm
T,W1->R
300.0,1.53368e-51
310.0,2.11029e-49
320.0,2.13313e-47
330.0,1.62812e-45
340.0,9.61985e-44
350.0,4.49801e-42
360.0,1.6963e-40
370.0,5.25115e-39
380.0,1.35546e-37
390.0,2.95687e-36
400.0,5.52182e-35
410.0,8.9289e-34
420.0,1.26264e-32
430.0,1.57648e-31
440.0,1.75253e-30
450.0,1.74788e-29
460.0,1.57505e-28
470.0,1.29085e-27
480.0,9.67715e-27
490.0,6.67261e-26
500.0,4.25393e-25
510.0,2.5178e-24
520.0,1.38973e-23
530.0,7.18258e-23
540.0,3.48841e-22
550.0,1.59704e-21
560.0,6.91864e-21
570.0,2.84168e-20
580.0,1.11039e-19
590.0,4.13823e-19
600.0,1.47399e-18
610.0,5.02862e-18
620.0,1.64766e-17
630.0,5.18956e-17
640.0,1.57528e-16
650.0,4.61702e-16
660.0,1.30766e-15
670.0,3.58628e-15
680.0,9.53917e-15
690.0,2.46263e-14
700.0,6.18047e-14
800.0,1.63663e-10
900.0,6.86714e-08
1000.0,7.94307e-06
1100.0,0.000360416
1200.0,0.00811675
1300.0,0.106824
1400.0,0.923141
1500.0,5.70566
1600.0,26.8747
1700.0,101.352
1800.0,317.88
1900.0,854.08
2000.0,2016.16
2100.0,4257.01
2200.0,8171.33
2300.0,14507.1
2400.0,23993.9
2500.0,37558.7
2600.0,55774.3
2700.0,79133.1
2800.0,108845.0
2900.0,144534.0
3000.0,186362.0
========================================
ch3ar_B4_SymmetryFactor_1_0.1.out
0.3 atm
T,W1->R
300.0,1.66314e-51
310.0,2.30082e-49
320.0,2.33815e-47
330.0,1.79411e-45
340.0,1.06565e-43
350.0,5.00851e-42
360.0,1.89851e-40
370.0,5.90677e-39
380.0,1.5322e-37
390.0,3.35873e-36
400.0,6.30222e-35
410.0,1.02384e-33
420.0,1.45445e-32
430.0,1.82411e-31
440.0,2.03669e-30
450.0,2.04002e-29
460.0,1.84605e-28
470.0,1.51915e-27
480.0,1.14344e-26
490.0,7.91521e-26
500.0,5.06535e-25
510.0,3.0093e-24
520.0,1.66711e-23
530.0,8.64715e-23
540.0,4.21433e-22
550.0,1.93605e-21
560.0,8.41496e-21
570.0,3.4677e-20
580.0,1.35933e-19
590.0,5.08183e-19
600.0,1.81558e-18
