========================================
ch3ar_W1_Energy_1_0.0.out
0.1 atm
T,W1->R
300.0,1.28346e-51
310.0,1.74824e-49
320.0,1.7498e-47
330.0,1.32258e-45
340.0,7.74021e-44
350.0,3.58564e-42
360.0,1.3399e-40
370.0,4.11099e-39
380.0,1.052e-37
390.0,2.27541e-36
400.0,4.21412e-35
410.0,6.75959e-34
420.0,9.48373e-33
430.0,1.17505e-31
440.0,1.29656e-30
450.0,1.28375e-29
460.0,1.14861e-28
470.0,9.3488e-28
480.0,6.96159e-27
490.0,4.76883e-26
500.0,3.021e-25
510.0,1.77697e-24
520.0,9.74887e-24
530.0,5.00867e-23
540.0,2.41876e-22
550.0,1.10105e-21
560.0,4.74428e-21
570.0,1.93806e-20
580.0,7.53376e-20
590.0,2.79341e-19
600.0,9.9012e-19
610.0,3.3613e-18
620.0,1.09623e-17
630.0,3.43676e-17
640.0,1.03851e-16
650.0,3.03056e-16
660.0,8.54625e-16
670.0,2.334e-15
680.0,6.18288e-15
690.0,1.58972e-14
700.0,3.974e-14
800.0,1.01623e-10
900.0,4.14412e-08
1000.0,4.68171e-06
1100.0,0.000208224
1200.0,0.0046099
1300.0,0.0597813
1400.0,0.509969
1500.0,3.11682
1600.0,14.5317
1700.0,54.3029
1800.0,168.94
1900.0,450.512
2000.0,1056.95
2100.0,2217.69
2200.0,4229.37
2300.0,7476.55
2400.0,12302.6
2500.0,19217.7
2600.0,28439.8
2700.0,40142.2
2800.0,55209.4
2900.0,73117.0
3000.0,93862.5
========================================
ch3ar_W1_Energy_1_0.0.out
0.3 atm
T,W1->R
300.0,1.66314e-51
310.0,2.30082e-49
320.0,2.33815e-47
330.0,1.79411e-45
340.0,1.06565e-43
350.0,5.00851e-42
360.0,1.89851e-40
370.0,5.90677e-39
380.0,1.5322e-37
390.0,3.35873e-36
400.0,6.30222e-35
410.0,1.02384e-33
420.0,1.45445e-32
430.0,1.82411e-31
440.0,2.03669e-30
450.0,2.04002e-29
460.0,1.84605e-28
470.0,1.51915e-27
480.0,1.14344e-26
490.0,7.91521e-26
500.0,5.06535e-25
510.0,3.0093e-24
520.0,1.66711e-23
530.0,8.64715e-23
540.0,4.21433e-22
550.0,1.93605e-21
560.0,8.41496e-21
570.0,3.4677e-20
580.0,1.35933e-19
590.0,5.08183e-19
600.0,1.81558e-18
610.0,6.21267e-18
620.0,2.04149e-17
630.0,6.44851e-17
640.0,1.96291e-16
650.0,5.76877e-16
660.0,1.63826e-15
670.0,4.50475e-15
680.0,1.20128e-14
690.0,3.10906e-14
700.0,7.82206e-14
800.0,2.11736e-10
900.0,9.04672e-08
1000.0,1.06237e-05
1100.0,0.000488304
1200.0,0.0111192
1300.0,0.147752
1400.0,1.28769
1500.0,8.01795
1600.0,38.02
1700.0,144.252
1800.0,454.878
1900.0,1228.25
2000.0,2911.94
2100.0,6173.91
2200.0,11899.2
2300.0,21190.9
2400.0,35163.9
2500.0,55152.3
2600.0,82095.8
2700.0,116812.0
2800.0,160817.0
2900.0,213922.0
3000.0,276443.0
========================================
ch3ar_W1_Energy_1_0.0.out
0.5 atm
T,W1->R
300.0,1.80267e-51
310.0,2.50905e-49
320.0,2.56528e-47
330.0,1.98045e-45
340.0,1.18352e-43
350.0,5.59611e-42
360.0,2.13407e-40
370.0,6.67939e-39
380.0,1.74282e-37
390.0,3.84281e-36
400.0,7.2522e-35
410.0,1.18485e-33
420.0,1.69263e-32
430.0,2.13454e-31
440.0,2.39618e-30
450.0,2.4129e-29
460.0,2.19492e-28
470.0,1.81551e-27
480.0,1.37339e-26
490.0,9.5541e-26
500.0,6.14366e-25
510.0,3.6673e-24
520.0,2.04113e-23
530.0,1.06355e-22
540.0,5.20656e-22
550.0,2.40245e-21
560.0,1.04867e-20
570.0,4.3398e-20
580.0,1.70822e-19
590.0,6.41197e-19
600.0,2.29986e-18
610.0,7.90059e-18
620.0,2.60593e-17
