    E, kcal/mol    D, mol/kcal          W1->R         W1->P1         W1->P2         W1->P3         W1->P4         W1->P5         W1->P6         W1->P7
              0    4.14764e+12              0              0        37018.2         463758        10566.8              0              0              0
      0.0142955    4.15365e+12              0              0        37539.5         467981        10682.4              0              0              0
      0.0285909    4.15967e+12              0              0        38066.4         472234        10799.1              0              0              0
      0.0428864     4.1657e+12              0              0        38598.8         476516        10916.9              0              0              0
      0.0571818    4.17174e+12              0              0        39136.9         480828        11035.7              0              0              0
      0.0714773    4.17778e+12              0              0        39680.8         485171        11155.6              0              0              0
      0.0857727    4.18383e+12              0              0        40230.5         489543        11276.5              0              0              0
       0.100068    4.18989e+12    3.96223e-15              0          40786         493945        11398.6              0              0              0
       0.114364    4.19596e+12     0.00528846              0        41347.5         498379        11521.7              0              0              0
       0.128659    4.20204e+12       0.194535              0          41915         502842        11645.9              0              0              0
       0.142955    4.20812e+12        1.60675              0        42488.6         507337        11771.2              0              0              0
        0.15725    4.21421e+12        7.19006              0        43068.4         511862        11897.6              0              0              0
       0.171545    4.22031e+12        22.9899              0        43654.3         516419        12025.2              0              0              0
       0.185841    4.22642e+12        59.4235              0        44246.6         521006        12153.8              0              0              0
       0.200136    4.23254e+12        132.619              0        44845.1         525625        12283.6              0              0              0
       0.214432    4.23866e+12        265.806              0        45450.1         530276        12414.5              0              0              0
       0.228727     4.2448e+12        490.746              0        46061.6         534959        12546.6              0              0              0
       0.243023    4.25094e+12        849.467              0        46679.6         539673        12679.8              0              0              0
       0.257318    4.25709e+12        1483.75              0        47304.2         544420        12814.1              0              0              0
       0.271614    4.26324e+12        2453.56              0        47935.4         549198        12949.6              0              0              0
       0.285909    4.26941e+12        3858.11              0        48573.4         554009        13086.3              0              0              0
       0.300205    4.27558e+12        5794.29              0        49218.1         558853        13224.2              0              0              0
         0.3145    4.28176e+12         8345.8              0        49869.6         563730        13363.2              0              0              0
       0.328795    4.28795e+12        11572.5              0        50528.1         568639        13503.5              0              0              0
       0.343091    4.29415e+12        15501.1              0        51193.4         573582        13644.9              0              0              0
       0.357386    4.30036e+12        20119.6              0        51865.8         578558        13787.5              0              0              0
       0.371682    4.30657e+12        25374.3              0        52545.2         583567        13931.4              0              0              0
       0.385977     4.3128e+12        31171.6              0        53231.8         588610        14076.5              0              0              0
       0.400273    4.31903e+12        37402.1              0        53925.4         593687        14222.8              0              0              0
       0.414568    4.32527e+12        44019.3              0        54626.3         598798        14370.3              0              0              0
       0.428864    4.33151e+12        51012.8              0        55334.5         603943        14519.1              0              0              0
       0.443159    4.33777e+12          58393              0        56049.9         609123        14669.1              0              0              0
       0.457455    4.34403e+12        66189.7              0        56772.7         614338        14820.4              0              0              0
        0.47175     4.3503e+12        74450.5              0        57502.9         619587        14972.9              0              0              0
       0.486045    4.35659e+12        83239.9              0        58240.6         624871        15126.7              0              0              0
       0.500341    4.36287e+12        92638.1              0        58985.7         630190        15281.8              0              0              0
       0.514636    4.36917e+12         102741              0        59738.4         635545        15438.2              0              0              0
       0.528932    4.37548e+12         113660              0        60498.7         640935        15595.9              0              0              0
       0.543227    4.38179e+12         125505              0        61266.6         646361        15754.9              0              0              0
       0.557523    4.38811e+12         138323              0        62042.3         651824        15915.2              0              0              0
       0.571818    4.39444e+12         152139              0        62825.6         657322        16076.8              0              0              0
       0.586114    4.40078e+12         166977              0        63616.7         662857        16239.8              0              0              0
       0.600409    4.40713e+12         182853              0        64415.7         668428          16404              0              0              0
       0.614705    4.41348e+12         199782    2.69737e-07        65222.5         674036        16569.7              0              0              0
          0.629    4.41985e+12         217770     0.00147231        66037.3         679681        16736.6              0              0              0
       0.643296    4.42622e+12         236821      0.0595892          66860         685363          16905              0              0              0
       0.657591     4.4326e+12         256932       0.650834        67690.7         691083        17074.7              0              0              0
       0.671886    4.43899e+12         278094        3.81839        68529.5         696840        17245.8              0              0              0
       0.686182    4.44538e+12         300301        15.5631        69376.4         702635        17418.2              0              0              0
       0.700477    4.45179e+12         323580         49.914        70231.5         708469        17592.1              0              0              0
       0.714773     4.4582e+12         347966        135.091        71094.7         714340        17767.4              0              0              0
       0.729068    4.46463e+12         373498        322.147        71966.2         720250        17944.1              0              0              0
       0.743364    4.47106e+12         400217        696.482        72846.1         726198        18122.2              0              0              0
       0.757659     4.4775e+12         428167        1457.85        73734.3         732186        18301.7              0              0              0
       0.771955    4.48394e+12         457392        3029.34        74630.9         738212        18482.7              0              0              0
        0.78625     4.4904e+12         487942        5836.69        75535.9         744278        18665.1              0              0              0
       0.800546    4.49687e+12         519866        10479.6        76449.5         750383        18848.9              0              0              0
       0.814841    4.50334e+12         553220          17629        77371.7         756528        19034.3              0              0              0
       0.829136    4.50982e+12         588052        27932.7        78302.5         762713        19221.1              0              0              0
       0.843432    4.51631e+12         624398        41896.8          79242         768938        19409.4              0              0              0
       0.857727    4.52281e+12         662283        59765.2        80190.3         775203        19599.2              0              0              0
       0.872023    4.52932e+12         701735        81424.5        81147.4         781509        19790.4              0              0              0
       0.886318    4.53583e+12         742779         106359        82113.4         787856        19983.2              0              0              0
       0.900614    4.54236e+12         785438         133672        83088.3         794244        20177.6              0              0              0
       0.914909    4.54889e+12         829738         162512        84072.2         800673        20373.4              0              0              0
       0.929205    4.55543e+12         875700         192488        85065.2         807143        20570.8              0              0              0
