Wells (G - ground energy, D - dissociation limit, kcal/mol):
      Name        G        D
        W1    -90.3     -4.4

Bimolecular Products (G - ground energy, kcal/mol):
      Name        G
         R      0.0
        P1      0.6
        P2    -13.1
        P3    -17.7
        P4    -69.8
        P5      4.3
        P6     13.5
        P7     48.0

Well-to-Bimolecular Barriers (H/G - barrier height/well depth, kcal/mol)
      Name        H     Well        G  Product
        B1      0.1       W1    -90.3        R
        B2      0.6       W1    -90.3       P1
        B3     -1.5       W1    -90.3       P2
        B4     -4.4       W1    -90.3       P3
        B5     -0.2       W1    -90.3       P4
        B6      4.3       W1    -90.3       P5
        B7     13.5       W1    -90.3       P6
        B8     48.0       W1    -90.3       P7

________________________________________________________________________________________

Unimolecular Rate Units: 1/sec;  Bimolecular Rate Units: cm^3/sec

______________________________________________________________________________________

Species-Species Rate Tables:

Temperature = 300 K

High Pressure Rate Coefficients:

From\To            W1            R           P1           P2           P3           P4           P5           P6           P7
W1                ***  1.83946e-51  1.11172e-51  2.30854e-52  3.34047e-50  3.13464e-44  3.87293e-55  2.95124e-62  4.83794e-87
R         7.90995e-11          ***          ***          ***          ***          ***          ***          ***          ***
P1        1.44505e-10          ***          ***          ***          ***          ***          ***          ***          ***
P2        3.05168e-20          ***          ***          ***          ***          ***          ***          ***          ***
P3        1.88554e-21          ***          ***          ***          ***          ***          ***          ***          ***
P4        4.00226e-53          ***          ***          ***          ***          ***          ***          ***          ***
P5         2.8706e-10          ***          ***          ***          ***          ***          ***          ***          ***
P6        1.76774e-10          ***          ***          ***          ***          ***          ***          ***          ***
P7        1.62951e-09          ***          ***          ***          ***          ***          ***          ***          ***

Temperature = 300 K    Pressure = 0.1 atm

From\To            W1            R           P1           P2           P3           P4           P5           P6           P7
W1        5.10446e-50  1.08691e-51  7.44495e-52  2.20007e-52  3.32915e-50  1.57017e-50  1.32213e-56   1.2707e-70  2.39093e-98
R         4.67387e-11  5.82571e-11  9.39217e-12  2.45432e-13  1.81605e-12  5.15447e-14  1.32655e-14  1.10615e-21   1.3778e-46
P1        9.67713e-11  2.83902e-11  1.28978e-10  4.13683e-13  3.30551e-12   9.0756e-14   7.0937e-15  2.61243e-22  4.22007e-47
P2        2.90829e-20  7.54484e-22  4.20712e-22  3.04973e-20  2.33436e-22   5.5436e-24  2.30747e-25  1.96947e-32   8.0247e-57
P3        1.87915e-21  2.38382e-24  1.43543e-24  9.96769e-26  1.88312e-21  4.50678e-26  4.22408e-28  2.05629e-35  5.05485e-60
P4        2.00477e-59  1.53045e-63  8.91474e-64  5.35437e-65  1.01943e-63  2.00512e-59  3.59064e-67   2.5653e-74  1.01923e-98
