Pressure (atm),Temperature (K),colrel_FactorOne_W1->R,colrel_FactorOne_R->P4,colrel_FactorOne_W1->P3,colrel_FactorOne_W1->P2,colrel_FactorOne_W1->P1,colrel_FactorOne_W1->P7,colrel_FactorOne_W1->P6,colrel_FactorOne_W1->P5,colrel_FactorOne_W1->P4,colrel_FactorOne_P5->P6,colrel_FactorOne_P5->P7,colrel_FactorOne_P6->P7,colrel_FactorOne_P3->P4,colrel_FactorOne_P3->P5,colrel_FactorOne_P3->P6,colrel_FactorOne_P3->P7,colrel_FactorOne_P1->P2,colrel_FactorOne_P1->P3,colrel_FactorOne_P1->P6,colrel_FactorOne_P1->P7,colrel_FactorOne_P1->P4,colrel_FactorOne_P1->P5,colrel_FactorOne_R->P6,colrel_FactorOne_R->P2,colrel_FactorOne_R->P3,colrel_FactorOne_R->P1,colrel_FactorOne_P4->P7,colrel_FactorOne_P4->P6,colrel_FactorOne_P4->P5,colrel_FactorOne_R->P5,colrel_FactorOne_P2->P3,colrel_FactorOne_P2->P5,colrel_FactorOne_P2->P4,colrel_FactorOne_P2->P7,colrel_FactorOne_P2->P6
0.1,290.0,0.35813554315818147,-0.801480184982258,0.001570608432190761,0.033667904744785135,0.33534336034276824,0.009899867076327475,14.894241536477509,2.6103380983398123,7.401150054640214e-05,-0.0017185252942520058,-2.443277687298767e-06,-2.0438292512727632e-05,-1.286956978351525,-0.03688997709317129,0.0012479557653200962,-1.2078050234297712e-06,-0.845477876885518,-0.9246624127050073,0.001873080817560958,2.888159450749603e-06,-0.8919397416891767,-0.0588298835649706,0.001070279995848974,-0.7459263872255603,-0.8441376178985232,-0.6711870133442355,4.171255290674245e-06,0.0005641655151190549,-0.059754103987578924,-0.10656550324178209,-1.1996566338962729,-0.07632489463534112,-1.163219794339764,-1.573546777400896e-06,0.0004079529233695507
0.1,300.0,0.37761226471650206,-0.7729982707738072,0.004324974673675609,0.04260687305192405,0.3504895018274865,0.01995696140617949,14.933307073028173,2.5889490438753113,0.00011590052960253491,-0.001684388561018555,7.1415733316530915e-06,-5.833458271554678e-06,-1.2663132499403253,-0.03461761271336993,0.0012148427719444895,-1.0835596937893715e-06,-0.8221726088661345,-0.9053547584898255,0.0018373409072583852,2.034436451905631e-07,-0.8694270244584423,-0.05543876145538304,0.0010220600166242007,-0.7176318180004563,-0.8162559294057544,-0.6494720191109695,1.1132907073694928e-06,0.0005311755141248741,-0.05666188079784822,-0.10102072292487062,-1.1740339510964735,-0.07242231593791895,-1.1357415201734316,-1.163619300218829e-06,0.0003918584975761163
0.1,310.0,0.3961712776188751,-0.7464352626223916,0.004943538929096278,0.04859712136537043,0.3620213594930435,0.026542851184477703,14.909482618097126,2.588560933137239,0.0001643109211678093,-0.0016553616909281447,4.634169050653644e-06,-1.1027481203434874e-06,-1.252034857491647,-0.032568263847323614,0.0011779316963646384,-4.4560264298680235e-07,-0.802542330311519,-0.8871579905939947,0.001791016095602425,-1.1039507960563405e-07,-0.8505122480087091,-0.05230388530012355,0.000980993848056779,-0.690918820535095,-0.7905964138170181,-0.6294942607084372,-3.055698780481764e-06,0.0005009420490535856,-0.05376493314254626,-0.09581432334330757,-1.1538487213220339,-0.06876845595421363,-1.112282791391165,-4.8511085113877235e-06,0.00036387813901795724
0.1,320.0,0.41431650404483467,-0.7209136088543052,0.005253835763682159,0.05426478982961396,0.37249288587139834,0.034250373359009455,14.821522519642416,2.593565904960183,0.0003654310878329528,-0.001626949574783348,-1.7643275044247733e-06,-9.070109328510673e-07,-1.2384188872930892,-0.030676311757547602,0.0011394531961545014,1.4757974737749681e-07,-0.784189488623088,-0.869650934479845,0.0017411566730671827,4.682759796081172e-07,-0.8328730242470598,-0.049369722723660824,0.0009437741075002554,-0.6652458178813107,-0.7660100237047521,-0.6104394374162211,-6.7220137730781024e-06,0.0004730418360116135,-0.05103332349025092,-0.09090525176480838,-1.134558440540609,-0.06532201917368942,-1.0893475156152306,-8.903046337489336e-06,0.0003328806689405359
0.1,330.0,0.43220221878986576,-0.6961047821644089,0.005950773693723004,0.06059155871435497,0.38289679562308226,0.044916670920407346,14.68100112004007,2.5977203765214867,0.0006658479048342939,-0.0015975756394034611,-8.223723128308358e-06,-2.432205755840587e-06,-1.2232744030737814,-0.028905908309370835,0.0011007611737059355,5.010195603729281e-07,-0.7661390281557877,-0.8525896597640718,0.0016911592086770117,1.203845804081498e-06,-0.8155343595130287,-0.04660531929702418,0.0009087809382210988,-0.6404102039063371,-0.7420511328090051,-0.5919724892047051,-9.370432999956105e-06,0.0004470610754492468,-0.04844893195633589,-0.08626691847598979,-1.1144469756745932,-0.06205854567520638,-1.0657025789545898,-1.1851824378981329e-05,0.00030287099443300947
0.1,340.0,0.4498378160574969,-0.6719264315121596,0.007214357882363171,0.06780348452573033,0.3935018743515235,0.058968456347659105,14.50250046436722,2.5992081235015463,0.0010012214752463632,-0.0015669688940927867,-1.3204244269626222e-05,-4.2787643504448e-06,-1.2060809227555942,-0.027237424462676265,0.001062648472051861,5.899805713786762e-07,-0.7480964299145145,-0.8358477851498693,0.0016424994119550642,1.7683667239399573e-06,-0.7981803854564833,-0.04399265206942796,0.0008752747655383184,-0.6163574293627743,-0.7185985249082402,-0.5739844070162824,-1.0987012402027938e-05,0.0004226435417749948,-0.04599982129479845,-0.08188019799912678,-1.09312049469317,-0.058962465749746354,-1.041141123854519,-1.3338028434561953e-05,0.00027536578834982787
0.1,350.0,0.46718447042732775,-0.6483926714505165,0.009015642146585746,0.0758159084258747,0.40427481627042156,0.07615847916340103,14.299443222034988,2.598118856070371,0.0013540475929015882,-0.0015353677607633604,-1.6313913709158696e-05,-5.823149145613554e-06,-1.187037972930074,-0.025659881517954064,0.0010255534582239482,4.6010877014493776e-07,-0.7300645718213277,-0.8193717109508313,0.0015956803613583364,2.050369599287731e-06,-0.7807928818949725,-0.041520347501089815,0.0008429579000229377,-0.5930882586034509,-0.6956644910617211,-0.556462968856065,-1.1755158887565158e-05,0.00039950442111528177,-0.0436772676652268,-0.07772982199989502,-1.070740961656229,-0.05602285102351955,-1.0158646496086114,-1.3497810168262033e-05,0.00025067449273042536
0.1,360.0,0.4841975238748702,-0.6255437510138744,0.011261252132827795,0.08444672570383156,0.4150840856537881,0.09596104071286908,14.082665052283621,2.595207382696163,0.001757365572114806,-0.0015031467612840173,-1.769087627605116e-05,-6.8530618063344825e-06,-1.1665917913979913,-0.024166761541619276,0.0009896943359120956,1.7786411278128344e-07,-0.7121527226135658,-0.8031494519269299,0.0015507438330553268,2.046899624484514e-06,-0.7634671790494099,-0.039180339107228915,0.0008117402671595016,-0.5706162863792794,-0.6733027760843407,-0.5394292450828182,-1.190785502027889e-05,0.00037742767796229937,-0.04147421657667397,-0.07380255815064043,-1.0476506984594458,-0.05323116826750595,-0.9901885514507708,-1.2648182497336758e-05,0.00022857622882695
0.1,370.0,0.5008424560256721,-0.6034160008056562,0.013856043455629415,0.09351098119443886,0.4257913821056315,0.1177773358897622,13.860241131716453,2.591321514753928,0.002280028001157951,-0.001470657397502665,-1.7678399607685666e-05,-7.3614305477402055e-06,-1.1452140369276684,-0.022753725319255277,0.0009551558008814213,-1.923730193677726e-07,-0.6944870014680986,-0.7871901459854223,0.0015075392860585631,1.8036475121919563e-06,-0.7463232396959928,-0.03696612975808735,0.0007816175574159455,-0.5489505549605925,-0.6515675497380279,-0.5229084669263446,-1.1661642314539993e-05,0.0003562564946260588,-0.03938449648566803,-0.07008631945443622,-1.0242010386777012,-0.05058011435084709,-0.9644134627329117,-1.113366549320602e-05,0.0002086654909906755
0.1,380.0,0.5170986693058269,-0.5820314896737091,0.016725675461185193,0.10285652304311853,0.4362868335510639,0.14103573177894613,13.637823750710607,2.5871702904481015,0.0030089911472496534,-0.0014381735860776311,-1.6661606581427474e-05,-7.432358034589035e-06,-1.1233104642549339,-0.021417402418410274,0.0009219444036385099,-5.973928288462965e-07,-0.6771731577596662,-0.7715113043489469,0.0014658595896515484,1.3827555893350296e-06,-0.7294667933533773,-0.03487192213295802,0.0007526106671331167,-0.5280901862066667,-0.630497927022691,-0.5069183755356038,-1.119218606022336e-05,0.0003358817240838528,-0.03740243086761799,-0.06656974952712559,-1.000684645865834,-0.04806303012128044,-0.938778832078909,-9.258724228223972e-06,0.00019051850810197573
