========================================
ch4o_W1_Energy_1_0.0.out
0.1 atm
T,W1->R
300.0,1.29937e-51
310.0,1.77752e-49
320.0,1.78675e-47
330.0,1.35679e-45
340.0,7.9776e-44
350.0,3.713e-42
360.0,1.39424e-40
370.0,4.29892e-39
380.0,1.10541e-37
390.0,2.4031e-36
400.0,4.47299e-35
410.0,7.21061e-34
420.0,1.01684e-32
430.0,1.26598e-31
440.0,1.40405e-30
450.0,1.39711e-29
460.0,1.2561e-28
470.0,1.02761e-27
480.0,7.68957e-27
490.0,5.29248e-26
500.0,3.36862e-25
510.0,1.99079e-24
520.0,1.09726e-23
530.0,5.66492e-23
540.0,2.74832e-22
550.0,1.25682e-21
560.0,5.43802e-21
570.0,2.23247e-20
580.0,8.71751e-20
590.0,3.24578e-19
600.0,1.15533e-18
610.0,3.93963e-18
620.0,1.29015e-17
630.0,4.06165e-17
640.0,1.23272e-16
650.0,3.61058e-16
660.0,1.02248e-15
670.0,2.80372e-15
680.0,7.4546e-15
690.0,1.92434e-14
700.0,4.82944e-14
800.0,1.2797e-10
900.0,5.38606e-08
1000.0,6.25619e-06
1100.0,0.00028535
1200.0,0.0064638
1300.0,0.0855936
1400.0,0.744283
1500.0,4.62901
1600.0,21.9636
1700.0,83.416
1800.0,263.365
1900.0,713.098
2000.0,1696.25
2100.0,3607.13
2200.0,6992.29
2300.0,12506.4
2400.0,20888.9
2500.0,32941.9
2600.0,49257.5
2700.0,70686.4
2800.0,97652.5
2900.0,130773.0
3000.0,170002.0
========================================
ch4o_W1_Energy_1_0.0.out
0.3 atm
T,W1->R
300.0,1.67657e-51
310.0,2.32603e-49
320.0,2.37068e-47
330.0,1.82501e-45
340.0,1.08761e-43
350.0,5.12929e-42
360.0,1.95131e-40
370.0,6.09377e-39
380.0,1.58659e-37
390.0,3.49174e-36
400.0,6.57785e-35
410.0,1.07287e-33
420.0,1.53046e-32
430.0,1.92709e-31
440.0,2.16081e-30
450.0,2.17341e-29
460.0,1.97483e-28
470.0,1.6322e-27
480.0,1.23372e-26
490.0,8.57571e-26
500.0,5.51084e-25
510.0,3.28771e-24
520.0,1.82893e-23
530.0,9.52712e-23
540.0,4.66262e-22
550.0,2.15091e-21
560.0,9.38526e-21
570.0,3.88457e-20
580.0,1.52908e-19
590.0,5.73869e-19
600.0,2.05848e-18
610.0,7.07246e-18
620.0,2.33312e-17
630.0,7.39883e-17
640.0,2.26142e-16
650.0,6.66975e-16
660.0,1.90166e-15
670.0,5.24928e-15
680.0,1.40483e-14
690.0,3.64974e-14
700.0,9.21722e-14
800.0,2.58355e-10
900.0,1.13929e-07
1000.0,1.37647e-05
1100.0,0.00064921
1200.0,0.0151375
1300.0,0.205554
1400.0,1.82761
1500.0,11.5932
1600.0,55.9698
1700.0,215.961
1800.0,691.908
1900.0,1897.81
2000.0,4566.33
2100.0,9821.39
2200.0,19220.7
2300.0,34676.7
2400.0,58365.1
2500.0,92599.5
2600.0,139445.0
2700.0,201158.0
2800.0,279298.0
2900.0,375404.0
3000.0,490721.0
========================================
ch4o_W1_Energy_1_0.0.out
0.5 atm
T,W1->R
300.0,1.81393e-51
310.0,2.53042e-49
320.0,2.59317e-47
330.0,2.00728e-45
340.0,1.20282e-43
350.0,5.70359e-42
360.0,2.18162e-40
370.0,6.84982e-39
380.0,1.79297e-37
390.0,3.96688e-36
400.0,7.51214e-35
410.0,1.2316e-33
420.0,1.76587e-32
430.0,2.23475e-31
440.0,2.51821e-30
450.0,2.54531e-29
460.0,2.32394e-28
470.0,1.92981e-27
480.0,1.4655e-26
490.0,1.02338e-25
500.0,6.60593e-25
510.0,3.95858e-24
520.0,2.21179e-23
530.0,1.15707e-22
540.0,5.68653e-22
550.0,2.6342e-21
560.0,1.15408e-20
570.0,4.79575e-20
580.0,1.89514e-19
590.0,7.14004e-19
600.0,2.57085e-18
610.0,8.86569e-18
620.0,2.93527e-17
630.0,9.342e-17
640.0,2.86534e-16
650.0,8.4802e-16
660.0,2.42605e-15
670.0,6.71914e-15
680.0,1.80408e-14
690.0,4.70213e-14
700.0,1.19126e-13
800.0,3.43624e-10
900.0,1.55251e-07
1000.0,1.915e-05
1100.0,0.000919478
1200.0,0.0217751
1300.0,0.299751
1400.0,2.69758
1500.0,17.2977
1600.0,84.3191
1700.0,328.212
1800.0,1060.03
1900.0,2928.67
2000.0,7093.08
2100.0,15351.2
2200.0,30207.3
2300.0,54771.5
2400.0,92600.5
2500.0,147479.0
2600.0,222935.0
2700.0,322606.0
2800.0,449228.0
2900.0,605264.0
3000.0,793206.0
========================================
ch4o_W1_Energy_1_0.0.out
0.7 atm
T,W1->R
300.0,1.8888e-51
310.0,2.64317e-49
320.0,2.71732e-47
330.0,2.11016e-45
340.0,1.26857e-43
350.0,6.03487e-42
360.0,2.31588e-40
370.0,7.29507e-39
380.0,1.91572e-37
390.0,4.25221e-36
400.0,8.0785e-35
410.0,1.32869e-33
420.0,1.91115e-32
430.0,2.42627e-31
440.0,2.74255e-30
450.0,2.78067e-29
460.0,2.54664e-28
470.0,2.12113e-27
480.0,1.61561e-26
490.0,1.13155e-25
500.0,7.32542e-25
510.0,4.4024e-24
520.0,2.46678e-23
530.0,1.29406e-22
540.0,6.37731e-22
550.0,2.96228e-21
560.0,1.30128e-20
570.0,5.4217e-20
580.0,2.14806e-19
590.0,8.11368e-19
600.0,2.92878e-18
610.0,1.01251e-17
620.0,3.36036e-17
630.0,1.07208e-16
640.0,3.29598e-16
650.0,9.77738e-16
660.0,2.80356e-15
670.0,7.78215e-15
680.0,2.09412e-14
690.0,5.47001e-14
700.0,1.38877e-13
800.0,4.08538e-10
900.0,1.87703e-07
1000.0,2.349e-05
1100.0,0.00114209
1200.0,0.0273452
1300.0,0.380087
1400.0,3.45009
1500.0,22.2942
1600.0,109.428
1700.0,428.632
1800.0,1392.34
1900.0,3866.93
2000.0,9410.07
2100.0,20456.7
2200.0,40414.1
2300.0,73545.6
2400.0,124749.0
2500.0,199247.0
2600.0,302017.0
2700.0,438058.0
2800.0,611291.0
2900.0,825119.0
3000.0,1083240.0
========================================
ch4o_W1_Energy_1_0.0.out
0.9 atm
T,W1->R
300.0,1.93677e-51
310.0,2.71598e-49
320.0,2.79813e-47
330.0,2.17763e-45
340.0,1.31201e-43
350.0,6.25542e-42
360.0,2.4059e-40
370.0,7.59576e-39
380.0,1.99919e-37
390.0,4.44755e-36
400.0,8.46881e-35
410.0,1.39603e-33
420.0,2.01256e-32
430.0,2.56077e-31
440.0,2.90104e-30
450.0,2.9479e-29
460.0,2.70578e-28
470.0,2.25859e-27
480.0,1.72405e-26
490.0,1.2101e-25
500.0,7.85058e-25
510.0,4.72797e-24
520.0,2.65474e-23
530.0,1.39552e-22
540.0,6.89129e-22
550.0,3.20748e-21
560.0,1.41179e-20
570.0,5.89362e-20
580.0,2.33954e-19
590.0,8.85381e-19
600.0,3.20195e-18
610.0,1.10901e-17
620.0,3.6873e-17
630.0,1.17851e-16
640.0,3.62962e-16
650.0,1.0786e-15
660.0,3.09809e-15
670.0,8.61434e-15
680.0,2.32194e-14
690.0,6.07511e-14
700.0,1.54491e-13
800.0,4.61322e-10
900.0,2.14709e-07
1000.0,2.71719e-05
1100.0,0.00133404
1200.0,0.032216
1300.0,0.451193
1400.0,4.12327
1500.0,26.8062
1600.0,132.293
1700.0,520.771
1800.0,1699.33
1900.0,4739.09
2000.0,11576.1
2100.0,25254.2
2200.0,50050.3
2300.0,91346.2
2400.0,155348.0
2500.0,248693.0
2600.0,377786.0
2700.0,548981.0
2800.0,767382.0
2900.0,1037340.0
3000.0,1363750.0
========================================
ch4o_W1_Energy_1_0.0.out
1 atm
T,W1->R
300.0,1.95493e-51
310.0,2.74368e-49
320.0,2.82901e-47
330.0,2.20354e-45
340.0,1.32878e-43
350.0,6.34088e-42
360.0,2.44094e-40
370.0,7.7133e-39
380.0,2.03195e-37
390.0,4.52455e-36
400.0,8.62327e-35
410.0,1.42279e-33
420.0,2.053e-32
430.0,2.61462e-31
440.0,2.96472e-30
450.0,3.01534e-29
460.0,2.77018e-28
470.0,2.31441e-27
480.0,1.76824e-26
490.0,1.24221e-25
500.0,8.06592e-25
510.0,4.86188e-24
520.0,2.73228e-23
530.0,1.4375e-22
540.0,7.10457e-22
550.0,3.30952e-21
560.0,1.4579e-20
570.0,6.09106e-20
580.0,2.41986e-19
590.0,9.16507e-19
600.0,3.31712e-18
610.0,1.14979e-17
620.0,3.8258e-17
630.0,1.22371e-16
640.0,3.77161e-16
650.0,1.12161e-15
660.0,3.22399e-15
670.0,8.97082e-15
680.0,2.41972e-14
690.0,6.33538e-14
700.0,1.6122e-13
800.0,4.84477e-10
900.0,2.26729e-07
1000.0,2.88307e-05
1100.0,0.00142142
1200.0,0.0344527
1300.0,0.484097
1400.0,4.43687
1500.0,28.9205
1600.0,143.065
1700.0,564.385
1800.0,1845.27
1900.0,5155.32
