========================================
ch4o_colrel_FactorOne_0.1.out
0.1 atm
T,W1->R
300.0,1.34688e-51
310.0,1.84581e-49
320.0,1.85861e-47
330.0,1.4138e-45
340.0,8.32681e-44
350.0,3.88186e-42
360.0,1.46002e-40
370.0,4.50884e-39
380.0,1.16115e-37
390.0,2.52812e-36
400.0,4.71264e-35
410.0,7.60775e-34
420.0,1.07435e-32
430.0,1.33944e-31
440.0,1.48749e-30
450.0,1.48208e-29
460.0,1.33422e-28
470.0,1.09286e-27
480.0,8.18784e-27
490.0,5.64222e-26
500.0,3.59534e-25
510.0,2.12723e-24
520.0,1.17378e-23
530.0,6.06646e-23
540.0,2.94625e-22
550.0,1.34878e-21
560.0,5.84177e-21
570.0,2.40061e-20
580.0,9.38323e-20
590.0,3.497e-19
600.0,1.24592e-18
610.0,4.25245e-18
620.0,1.39382e-17
630.0,4.39195e-17
640.0,1.33412e-16
650.0,3.91083e-16
660.0,1.10843e-15
670.0,3.04191e-15
680.0,8.09429e-15
690.0,2.09113e-14
700.0,5.2521e-14
800.0,1.40143e-10
900.0,5.93349e-08
1000.0,6.92764e-06
1100.0,0.000317405
1200.0,0.00721914
1300.0,0.0959471
1400.0,0.837145
1500.0,5.22305
1600.0,24.8547
1700.0,94.6611
1800.0,299.696
1900.0,813.572
2000.0,1939.96
2100.0,4135.89
2200.0,8035.83
2300.0,14404.5
2400.0,24110.2
2500.0,38092.6
2600.0,57076.3
2700.0,82050.1
2800.0,113539.0
2900.0,152170.0
3000.0,198294.0
========================================
ch4o_colrel_FactorOne_0.1.out
0.3 atm
T,W1->R
300.0,1.71342e-51
310.0,2.38066e-49
320.0,2.42993e-47
330.0,1.87338e-45
340.0,1.11809e-43
350.0,5.28068e-42
360.0,2.01184e-40
370.0,6.29186e-39
380.0,1.64049e-37
390.0,3.61547e-36
400.0,6.82047e-35
410.0,1.11397e-33
420.0,1.59125e-32
430.0,2.00634e-31
440.0,2.25262e-30
450.0,2.26872e-29
460.0,2.06409e-28
470.0,1.7081e-27
480.0,1.29271e-26
490.0,8.9968e-26
500.0,5.78831e-25
510.0,3.45737e-24
520.0,1.92557e-23
530.0,1.00419e-22
540.0,4.92007e-22
550.0,2.27222e-21
560.0,9.92528e-21
570.0,4.11248e-20
580.0,1.6205e-19
590.0,6.08806e-19
600.0,2.18603e-18
610.0,7.51825e-18
620.0,2.48257e-17
630.0,7.8805e-17
640.0,2.41093e-16
650.0,7.1173e-16
660.0,2.03114e-15
670.0,5.61179e-15
680.0,1.50316e-14
690.0,3.90867e-14
700.0,9.8797e-14
800.0,2.79118e-10
900.0,1.23928e-07
1000.0,1.50623e-05
1100.0,0.000714159
1200.0,0.0167309
1300.0,0.228168
1400.0,2.03666
1500.0,12.9666
1600.0,62.8131
1700.0,243.146
1800.0,781.418
1900.0,2149.61
2000.0,5186.62
2100.0,11186.4
2200.0,21948.8
2300.0,39696.8
2400.0,66972.2
2500.0,106485.0
2600.0,160701.0
2700.0,232269.0
2800.0,323082.0
2900.0,434724.0
3000.0,569536.0
========================================
ch4o_colrel_FactorOne_0.1.out
0.5 atm
T,W1->R
300.0,1.8438e-51
310.0,2.57535e-49
320.0,2.64257e-47
330.0,2.04818e-45
340.0,1.22893e-43
350.0,5.83498e-42
360.0,2.23482e-40
370.0,7.02608e-39
380.0,1.8415e-37
390.0,4.07959e-36
400.0,7.73566e-35
410.0,1.26987e-33
420.0,1.82309e-32
430.0,2.31013e-31
440.0,2.60641e-30
450.0,2.63777e-29
460.0,2.41136e-28
470.0,2.00484e-27
480.0,1.52433e-26
490.0,1.06574e-25
500.0,6.88746e-25
510.0,4.13214e-24
520.0,2.31145e-23
530.0,1.21056e-22
540.0,5.95615e-22
550.0,2.76219e-21
560.0,1.21146e-20
570.0,5.03966e-20
580.0,1.99365e-19
590.0,7.51902e-19
600.0,2.71011e-18
610.0,9.35554e-18
620.0,3.10052e-17
630.0,9.87778e-17
640.0,3.03264e-16
650.0,8.98386e-16
660.0,2.57259e-15
670.0,7.13167e-15
680.0,1.91659e-14
690.0,4.99993e-14
700.0,1.26784e-13
800.0,3.68745e-10
900.0,1.67806e-07
1000.0,2.08303e-05
1100.0,0.0010058
1200.0,0.0239403
1300.0,0.331075
1400.0,2.99204
1500.0,19.2611
1600.0,94.2317
1700.0,368.056
1800.0,1192.62
1900.0,3305.27
2000.0,8028.89
2100.0,17427.0
2200.0,34386.0
2300.0,62511.4
2400.0,105949.0
2500.0,169126.0
2600.0,256232.0
2700.0,371542.0
2800.0,518359.0
2900.0,699253.0
3000.0,918426.0
========================================
ch4o_colrel_FactorOne_0.1.out
0.7 atm
T,W1->R
300.0,1.91404e-51
310.0,2.68148e-49
320.0,2.75983e-47
330.0,2.14566e-45
340.0,1.29143e-43
350.0,6.15092e-42
360.0,2.36325e-40
370.0,7.45332e-39
380.0,1.95964e-37
390.0,4.355e-36
400.0,8.2839e-35
410.0,1.36412e-33
420.0,1.96451e-32
430.0,2.49705e-31
440.0,2.82593e-30
450.0,2.86866e-29
460.0,2.63038e-28
470.0,2.19344e-27
480.0,1.67267e-26
