========================================
ch4oabs_B1_Energy_1_34.9759.out
--
T,R->P7
200.0,6.63562e-56
210.0,6.68791e-54
220.0,4.41806e-52
230.0,2.02129e-50
240.0,6.7056e-49
250.0,1.6766e-47
260.0,3.26441e-46
270.0,5.08941e-45
280.0,6.50719e-44
290.0,6.96518e-43
300.0,6.35389e-42
310.0,5.01734e-41
320.0,3.47654e-40
330.0,2.13922e-39
340.0,1.18136e-38
350.0,5.91004e-38
360.0,2.70076e-37
370.0,1.13576e-36
380.0,4.42458e-36
390.0,1.60628e-35
400.0,5.46339e-35
410.0,1.74939e-34
420.0,5.29652e-34
430.0,1.52227e-33
440.0,4.16824e-33
450.0,1.09092e-32
460.0,2.73724e-32
470.0,6.6023e-32
480.0,1.53471e-31
490.0,3.44594e-31
500.0,7.48949e-31
510.0,1.57872e-30
520.0,3.23329e-30
530.0,6.44455e-30
540.0,1.25202e-29
550.0,2.37422e-29
560.0,4.4004e-29
570.0,7.98099e-29
580.0,1.41811e-28
590.0,2.47122e-28
600.0,4.22758e-28
610.0,7.10644e-28
620.0,1.17481e-27
630.0,1.91156e-27
640.0,3.06368e-27
650.0,4.83995e-27
660.0,7.54173e-27
670.0,1.15986e-26
680.0,1.76156e-26
690.0,2.64356e-26
700.0,3.92201e-26
800.0,1.18795e-24
900.0,1.71451e-23
1000.0,1.47647e-22
1100.0,8.74463e-22
1200.0,3.91324e-21
1300.0,1.41165e-20
1400.0,4.29835e-20
1500.0,1.14252e-19
1600.0,2.71859e-19
1700.0,5.90306e-19
1800.0,1.18727e-18
1900.0,2.23806e-18
2000.0,3.99157e-18
2100.0,6.78707e-18
2200.0,1.10715e-17
2300.0,1.74169e-17
2400.0,2.65371e-17
2500.0,3.93041e-17
2600.0,5.67636e-17
2700.0,8.0149e-17
2800.0,1.10895e-16
2900.0,1.50649e-16
3000.0,2.01282e-16
