Rate Units: cm^3/sec

 T, K        R->P7        P7->R
  200  8.53404e-56  6.39773e-16
  210  8.49886e-54   1.0475e-15
  220  5.55356e-52  1.64126e-15
  230  2.51565e-50  2.47467e-15
  240  8.26987e-49  3.60747e-15
  250  2.05044e-47  5.10456e-15
  260  3.96152e-46   7.0348e-15
  270  6.13212e-45  9.46982e-15
  280  7.78836e-44  1.24828e-14
  290  8.28501e-43  1.61474e-14
  300  7.51431e-42  2.05367e-14
  310  5.90164e-41  2.57221e-14
  320  4.06858e-40   3.1773e-14
  330  2.49162e-39  3.87557e-14
  340  1.36981e-38  4.67332e-14
  350  6.82389e-38  5.57648e-14
  360  3.10594e-37  6.59054e-14
  370  1.30123e-36  7.72062e-14
  380  5.05108e-36  8.97138e-14
  390  1.82751e-35   1.0347e-13
  400  6.19582e-35  1.18514e-13
  410  1.97784e-34  1.34879e-13
  420   5.9707e-34  1.52595e-13
  430  1.71126e-33  1.71688e-13
  440  4.67329e-33   1.9218e-13
  450     1.22e-32   2.1409e-13
  460  3.05368e-32  2.37433e-13
  470  7.34843e-32  2.62222e-13
  480  1.70435e-31  2.88465e-13
  490  3.81864e-31   3.1617e-13
  500   8.2825e-31   3.4534e-13
  510  1.74244e-30  3.75978e-13
  520  3.56183e-30  4.08082e-13
  530  7.08643e-30   4.4165e-13
  540  1.37431e-29  4.76678e-13
  550   2.6017e-29  5.13161e-13
  560  4.81414e-29   5.5109e-13
  570  8.71763e-29  5.90458e-13
  580  1.54664e-28  6.31254e-13
  590  2.69124e-28  6.73469e-13
  600  4.59744e-28  7.17089e-13
  610  7.71755e-28  7.62103e-13
  620  1.27414e-27  8.08497e-13
  630  2.07051e-27  8.56258e-13
  640  3.31429e-27  9.05371e-13
  650  5.22954e-27  9.55821e-13
  660  8.13924e-27  1.00759e-12
  670  1.25033e-26  1.06067e-12
  680  1.89687e-26  1.11504e-12
  690  2.84357e-26  1.17069e-12
  700  4.21434e-26   1.2276e-12
  800  1.26507e-24  1.86256e-12
  900   1.8131e-23  2.60718e-12
 1000  1.55267e-22  3.44928e-12
 1100  9.15396e-22  4.37989e-12
 1200  4.08084e-21    5.393e-12
 1300  1.46737e-20  6.48489e-12
 1400  4.45566e-20  7.65353e-12
 1500   1.1815e-19  8.89808e-12
 1600  2.80545e-19  1.02185e-11
 1700  6.08041e-19  1.16155e-11
 1800  1.22093e-18  1.30898e-11
 1900  2.29813e-18  1.46426e-11
 2000  4.09327e-18  1.62753e-11
 2100  6.95167e-18  1.79892e-11
 2200  1.13277e-17  1.97858e-11
 2300  1.78022e-17  2.16666e-11
 2400  2.70994e-17   2.3633e-11
 2500  4.01032e-17  2.56865e-11
 2600  5.78729e-17  2.78285e-11
 2700  8.16568e-17  3.00606e-11
 2800  1.12906e-16   3.2384e-11
 2900  1.53286e-16  3.48002e-11
 3000  2.04687e-16  3.73106e-11
