Rate Units: cm^3/sec

 T, K        R->P7        P7->R
  200  8.52833e-56   4.9712e-16
  210  8.49077e-54  8.23512e-16
  220  5.54627e-52  1.30397e-15
  230  2.51122e-50  1.98487e-15
  240  8.25085e-49  2.91838e-15
  250   2.0444e-47  4.16158e-15
  260  3.94685e-46  5.77543e-15
  270  6.10407e-45  7.82361e-15
  280  7.74501e-44  1.03714e-14
  290  8.22966e-43  1.34844e-14
  300  7.45478e-42  1.72277e-14
  310  5.84684e-41  2.16649e-14
  320  4.02473e-40   2.6857e-14
  330  2.46074e-39   3.2862e-14
  340  1.35046e-38  3.97346e-14
  350  6.71484e-38  4.75249e-14
  360  3.05019e-37  5.62791e-14
  370  1.27516e-36  6.60386e-14
  380  4.93885e-36  7.68402e-14
  390  1.78272e-35  8.87161e-14
  400  6.02919e-35  1.01694e-13
  410  1.91974e-34  1.15796e-13
  420  5.78001e-34  1.31042e-13
  430  1.65208e-33  1.47445e-13
  440  4.49895e-33  1.65017e-13
  450  1.17108e-32  1.83763e-13
  460  2.92249e-32  2.03687e-13
  470  7.01129e-32  2.24788e-13
  480  1.62108e-31  2.47064e-13
  490  3.62052e-31  2.70509e-13
  500  7.82731e-31  2.95114e-13
  510  1.64125e-30  3.20868e-13
  520  3.34374e-30  3.47758e-13
  530  6.62991e-30   3.7577e-13
  540  1.28134e-29  4.04888e-13
  550  2.41726e-29  4.35094e-13
  560  4.45709e-29  4.66368e-13
  570  8.04234e-29  4.98691e-13
  580  1.42171e-28  5.32042e-13
  590   2.4649e-28  5.66399e-13
  600  4.19542e-28  6.01739e-13
  610  7.01683e-28  6.38041e-13
  620  1.15417e-27   6.7528e-13
  630   1.8686e-27  7.13433e-13
  640  2.97993e-27  7.52477e-13
  650  4.68433e-27  7.92389e-13
  660  7.26326e-27  8.33143e-13
  670  1.11155e-26  8.74718e-13
  680  1.67995e-26  9.17089e-13
  690  2.50883e-26  9.60234e-13
  700  3.70411e-26  1.00413e-12
  800  1.07021e-24  1.47961e-12
  900  1.47692e-23  2.00828e-12
 1000  1.21912e-22  2.57537e-12
 1100  6.93769e-22  3.17103e-12
 1200  2.99011e-21  3.78928e-12
 1300  1.04122e-20  4.42687e-12
 1400  3.06709e-20  5.08237e-12
 1500  7.90302e-20  5.75553e-12
 1600  1.82647e-19  6.44675e-12
 1700    3.859e-19  7.15686e-12
 1800  7.56489e-19  7.88686e-12
 1900  1.39208e-18  8.63785e-12
 2000  2.42718e-18  9.41094e-12
 2100  4.04009e-18  1.02072e-11
 2200   6.4596e-18  1.10277e-11
 2300  9.97145e-18  1.18734e-11
 2400  1.49242e-17  1.27451e-11
 2500  2.17348e-17  1.36439e-11
 2600  3.08932e-17  1.45704e-11
 2700  4.29669e-17  1.55255e-11
 2800  5.86047e-17  1.65098e-11
 2900  7.85394e-17  1.75239e-11
 3000  1.03591e-16  1.85687e-11
