Rate Units: cm^3/sec

 T, K        R->P7        P7->R
  200  8.53404e-56   4.9751e-16
  210  8.49886e-54  8.24446e-16
  220  5.55356e-52  1.30604e-15
  230  2.51565e-50  1.98916e-15
  240  8.26987e-49  2.92674e-15
  250  2.05044e-47  4.17706e-15
  260  3.96152e-46   5.8028e-15
  270  6.13212e-45  7.87003e-15
  280  7.78836e-44  1.04472e-14
  290  8.28501e-43  1.36042e-14
  300  7.51431e-42  1.74114e-14
  310  5.90164e-41  2.19389e-14
  320  4.06858e-40  2.72557e-14
  330  2.49162e-39  3.34294e-14
  340  1.36981e-38  4.05253e-14
  350  6.82389e-38  4.86064e-14
  360  3.10594e-37  5.77329e-14
  370  1.30123e-36  6.79622e-14
  380  5.05108e-36  7.93484e-14
  390  1.82751e-35  9.19428e-14
  400  6.19582e-35  1.05793e-13
  410  1.97784e-34  1.20945e-13
  420   5.9707e-34  1.37439e-13
  430  1.71126e-33  1.55315e-13
  440  4.67329e-33  1.74608e-13
  450     1.22e-32  1.95352e-13
  460  3.05368e-32  2.17577e-13
  470  7.34843e-32  2.41311e-13
  480  1.70435e-31   2.6658e-13
  490  3.81864e-31  2.93407e-13
  500   8.2825e-31  3.21814e-13
  510  1.74244e-30  3.51818e-13
  520  3.56183e-30  3.83438e-13
  530  7.08643e-30  4.16689e-13
  540  1.37431e-29  4.51585e-13
  550   2.6017e-29  4.88138e-13
  560  4.81414e-29  5.26359e-13
  570  8.71763e-29  5.66257e-13
  580  1.54664e-28  6.07841e-13
  590  2.69124e-28  6.51118e-13
  600  4.59744e-28  6.96093e-13
  610  7.71755e-28  7.42772e-13
  620  1.27414e-27  7.91159e-13
  630  2.07051e-27  8.41257e-13
  640  3.31429e-27  8.93069e-13
  650  5.22954e-27  9.46596e-13
  660  8.13924e-27  1.00184e-12
  670  1.25033e-26   1.0588e-12
  680  1.89687e-26  1.11748e-12
  690  2.84357e-26  1.17788e-12
  700  4.21434e-26  1.23999e-12
  800  1.26507e-24  1.95516e-12
  900   1.8131e-23   2.8395e-12
 1000  1.55267e-22  3.89021e-12
 1100  9.15396e-22  5.10512e-12
 1200  4.08084e-21  6.48311e-12
 1300  1.46737e-20  8.02412e-12
 1400  4.45566e-20  9.72899e-12
 1500   1.1815e-19  1.15993e-11
 1600  2.80545e-19   1.3637e-11
 1700  6.08041e-19  1.58447e-11
 1800  1.22093e-18   1.8225e-11
 1900  2.29813e-18   2.0781e-11
 2000  4.09327e-18  2.35157e-11
 2100  6.95167e-18  2.64322e-11
 2200  1.13277e-17  2.95337e-11
 2300  1.78022e-17  3.28235e-11
 2400  2.70994e-17  3.63048e-11
 2500  4.01032e-17  3.99809e-11
 2600  5.78729e-17  4.38548e-11
 2700  8.16568e-17  4.79298e-11
 2800  1.12906e-16  5.22092e-11
 2900  1.53286e-16  5.66959e-11
 3000  2.04687e-16  6.13931e-11
