Rate Units: cm^3/sec

 T, K        R->P7        P7->R
  200  6.63562e-56  3.86793e-16
  210  6.68791e-54  6.48655e-16
  220  4.41806e-52  1.03872e-15
  230  2.02129e-50  1.59763e-15
  240   6.7056e-49  2.37181e-15
  250   1.6766e-47  3.41288e-15
  260  3.26441e-46  4.77682e-15
  270  5.08941e-45  6.52312e-15
  280  6.50719e-44   8.7138e-15
  290  6.96518e-43  1.14125e-14
  300  6.35389e-42  1.46836e-14
  310  5.01734e-41  1.85913e-14
  320  3.47654e-40  2.31989e-14
  330  2.13922e-39  2.85682e-14
  340  1.18136e-38  3.47591e-14
  350  5.91004e-38  4.18289e-14
  360  2.70076e-37  4.98318e-14
  370  1.13576e-36  5.88192e-14
  380  4.42458e-36   6.8839e-14
  390  1.60628e-35  7.99358e-14
  400  5.46339e-35  9.21505e-14
  410  1.74939e-34  1.05521e-13
  420  5.29652e-34   1.2008e-13
  430  1.52227e-33   1.3586e-13
  440  4.16824e-33  1.52887e-13
  450  1.09092e-32  1.71185e-13
  460  2.73724e-32  1.90775e-13
  470   6.6023e-32  2.11675e-13
  480  1.53471e-31  2.33901e-13
  490  3.44594e-31  2.57465e-13
  500  7.48949e-31  2.82377e-13
  510  1.57872e-30  3.08644e-13
  520  3.23329e-30  3.36272e-13
  530  6.44455e-30  3.65265e-13
  540  1.25202e-29  3.95623e-13
  550  2.37422e-29  4.27348e-13
  560   4.4004e-29  4.60437e-13
  570  7.98099e-29  4.94887e-13
  580  1.41811e-28  5.30693e-13
  590  2.47122e-28   5.6785e-13
  600  4.22758e-28  6.06351e-13
  610  7.10644e-28  6.46188e-13
  620  1.17481e-27  6.87353e-13
  630  1.91156e-27  7.29835e-13
  640  3.06368e-27  7.73625e-13
  650  4.83995e-27  8.18712e-13
  660  7.54173e-27  8.65086e-13
  670  1.15986e-26  9.12733e-13
  680  1.76156e-26  9.61643e-13
  690  2.64356e-26   1.0118e-12
  700  3.92201e-26   1.0632e-12
  800  1.18795e-24  1.64238e-12
  900  1.71451e-23  2.33134e-12
 1000  1.47647e-22  3.11902e-12
 1100  8.74463e-22  3.99694e-12
 1200  3.91324e-21  4.95914e-12
 1300  1.41165e-20  6.00178e-12
 1400  4.29835e-20  7.12264e-12
 1500  1.14252e-19  8.32064e-12
 1600  2.71859e-19  9.59557e-12
 1700  5.90306e-19  1.09478e-11
 1800  1.18727e-18   1.2378e-11
 1900  2.23806e-18  1.38872e-11
 2000  3.99157e-18  1.54766e-11
 2100  6.78707e-18  1.71474e-11
 2200  1.10715e-17  1.89011e-11
 2300  1.74169e-17  2.07389e-11
 2400  2.65371e-17  2.26624e-11
 2500  3.93041e-17  2.46729e-11
 2600  5.67636e-17  2.67719e-11
 2700   8.0149e-17  2.89607e-11
 2800  1.10895e-16  3.12407e-11
 2900  1.50649e-16  3.36132e-11
 3000  2.01282e-16  3.60797e-11
