Rate Units: cm^3/sec

 T, K        R->P7        P7->R
  200  1.09756e-55  4.97453e-16
  210  1.08002e-53  8.24296e-16
  220  6.98089e-52  1.30569e-15
  230  3.13091e-50  1.98837e-15
  240  1.01991e-48  2.92511e-15
  250  2.50765e-47  4.17388e-15
  260  4.80749e-46  5.79689e-15
  270  7.38846e-45  7.85956e-15
  280  9.32177e-44  1.04294e-14
  290  9.85494e-43  1.35751e-14
  300  8.88664e-42  1.73653e-14
  310   6.9418e-41  2.18679e-14
  320  4.76144e-40  2.71495e-14
  330  2.90207e-39  3.32744e-14
  340  1.58833e-38  4.03039e-14
  350  7.87905e-38  4.82968e-14
  360  3.57191e-37  5.73078e-14
  370   1.4908e-36  6.73885e-14
  380  5.76629e-36  7.85863e-14
  390  2.07921e-35   9.0945e-14
  400  7.02644e-35  1.04504e-13
  410  2.23612e-34    1.193e-13
  420   6.7307e-34  1.35365e-13
  430  1.92372e-33  1.52727e-13
  440  5.23953e-33  1.71411e-13
  450  1.36435e-32  1.91439e-13
  460  3.40669e-32  2.12829e-13
  470  8.17888e-32  2.35597e-13
  480  1.89273e-31  2.59755e-13
  490  4.23166e-31  2.85312e-13
  500  9.15948e-31  3.12276e-13
  510  1.92313e-30  3.40651e-13
  520  3.92375e-30  3.70441e-13
  530  7.79225e-30  4.01645e-13
  540  1.50854e-29  4.34264e-13
  550  2.85097e-29  4.68293e-13
  560  5.26678e-29  5.03728e-13
  570  9.52226e-29  5.40564e-13
  580  1.68683e-28  5.78794e-13
  590  2.93086e-28  6.18409e-13
  600  4.99966e-28    6.594e-13
  610  8.38121e-28  7.01756e-13
  620  1.38187e-27  7.45468e-13
  630  2.24268e-27  7.90523e-13
  640  3.58541e-27   8.3691e-13
  650  5.65049e-27  8.84614e-13
  660   8.7841e-27  9.33625e-13
  670  1.34785e-26  9.83927e-13
  680  2.04256e-26  1.03551e-12
  690   3.0587e-26  1.08835e-12
  700  4.52846e-26  1.14245e-12
  800   1.3472e-24  1.74901e-12
  900  1.91736e-23  2.46541e-12
 1000   1.6328e-22     3.28e-12
 1100  9.58246e-22  4.18404e-12
 1200  4.25561e-21  5.17152e-12
 1300  1.52528e-20  6.23866e-12
 1400  4.61873e-20  7.38331e-12
 1500  1.22181e-19  8.60452e-12
 1600  2.89509e-19  9.90216e-12
 1700  6.26309e-19  1.12767e-11
 1800  1.25554e-18  1.27289e-11
 1900  2.35981e-18  1.42599e-11
 2000  4.19757e-18  1.58709e-11
 2100  7.12026e-18  1.75633e-11
 2200  1.15898e-17  1.93384e-11
 2300   1.8196e-17  2.11977e-11
 2400  2.76736e-17  2.31426e-11
 2500  4.09186e-17  2.51746e-11
 2600  5.90039e-17  2.72951e-11
 2700   8.3193e-17  2.95055e-11
 2800  1.14954e-16  3.18072e-11
 2900  1.55969e-16  3.42016e-11
 3000  2.08149e-16    3.669e-11
