Rate Units: cm^3/sec

 T, K        R->P7        P7->R
  200  8.53404e-56  4.97453e-16
  210  8.49886e-54  8.24296e-16
  220  5.55356e-52  1.30569e-15
  230  2.51565e-50  1.98837e-15
  240  8.26987e-49  2.92511e-15
  250  2.05044e-47  4.17388e-15
  260  3.96152e-46  5.79689e-15
  270  6.13212e-45  7.85956e-15
  280  7.78836e-44  1.04294e-14
  290  8.28501e-43  1.35751e-14
  300  7.51431e-42  1.73653e-14
  310  5.90164e-41  2.18679e-14
  320  4.06858e-40  2.71495e-14
  330  2.49162e-39  3.32744e-14
  340  1.36981e-38  4.03039e-14
  350  6.82389e-38  4.82968e-14
  360  3.10594e-37  5.73078e-14
  370  1.30123e-36  6.73885e-14
  380  5.05108e-36  7.85863e-14
  390  1.82751e-35   9.0945e-14
  400  6.19583e-35  1.04504e-13
  410  1.97784e-34    1.193e-13
  420  5.97072e-34  1.35365e-13
  430  1.71127e-33  1.52727e-13
  440  4.67331e-33  1.71411e-13
  450  1.22001e-32  1.91439e-13
  460   3.0537e-32  2.12829e-13
  470  7.34849e-32  2.35597e-13
  480  1.70437e-31  2.59755e-13
  490   3.8187e-31  2.85312e-13
  500  8.28264e-31  3.12276e-13
  510  1.74247e-30  3.40651e-13
  520  3.56192e-30  3.70441e-13
  530  7.08664e-30  4.01645e-13
  540  1.37436e-29  4.34264e-13
  550  2.60181e-29  4.68293e-13
  560  4.81437e-29  5.03728e-13
  570  8.71813e-29  5.40564e-13
  580  1.54675e-28  5.78794e-13
  590  2.69145e-28  6.18409e-13
  600  4.59784e-28    6.594e-13
  610  7.71832e-28  7.01756e-13
  620  1.27428e-27  7.45468e-13
  630  2.07078e-27  7.90523e-13
  640  3.31478e-27   8.3691e-13
  650   5.2304e-27  8.84614e-13
  660  8.14074e-27  9.33625e-13
  670  1.25058e-26  9.83927e-13
  680   1.8973e-26  1.03551e-12
  690  2.84428e-26  1.08835e-12
  700  4.21552e-26  1.14245e-12
  800   1.2659e-24  1.74901e-12
  900  1.81538e-23  2.46541e-12
 1000  1.55592e-22     3.28e-12
 1100  9.18283e-22  4.18404e-12
 1200  4.09884e-21  5.17152e-12
 1300  1.47593e-20  6.23866e-12
 1400  4.48856e-20  7.38331e-12
 1500  1.19217e-19  8.60452e-12
 1600  2.83559e-19  9.90216e-12
 1700  6.15638e-19  1.12767e-11
 1800  1.23834e-18  1.27289e-11
 1900  2.33499e-18  1.42599e-11
 2000  4.16614e-18  1.58709e-11
 2100  7.08754e-18  1.75633e-11
 2200  1.15685e-17  1.93384e-11
 2300  1.82105e-17  2.11977e-11
 2400  2.77654e-17  2.31426e-11
 2500   4.1153e-17  2.51746e-11
 2600  5.94778e-17  2.72951e-11
 2700  8.40446e-17  2.95055e-11
 2800  1.16373e-16  3.18072e-11
 2900   1.5821e-16  3.42016e-11
 3000  2.11544e-16    3.669e-11
