Rate Units: cm^3/sec

 T, K        R->P7        P7->R
  200  9.19666e-56  5.36077e-16
  210  9.08823e-54  8.81459e-16
  220  5.89982e-52   1.3871e-15
  230   2.6575e-50  2.10049e-15
  240  8.69378e-49  3.07504e-15
  250  2.14643e-47  4.36926e-15
  260  4.13158e-46  6.04575e-15
  270  6.37444e-45  8.17015e-15
  280  8.07263e-44  1.08101e-14
  290   8.5652e-43  1.40342e-14
  300  7.75044e-42  1.79109e-14
  310  6.07442e-41  2.25082e-14
  320  4.17983e-40  2.78919e-14
  330  2.55539e-39   3.4126e-14
  340   1.4027e-38  4.12716e-14
  350  6.97787e-38  4.93866e-14
  360  3.17193e-37  5.85255e-14
  370  1.32731e-36   6.8739e-14
  380  5.14672e-36  8.00743e-14
  390  1.86025e-35  9.25744e-14
  400  6.30101e-35  1.06278e-13
  410   2.0097e-34  1.21222e-13
  420  6.06209e-34  1.37437e-13
  430  1.73618e-33  1.54951e-13
  440  4.73809e-33  1.73788e-13
  450  1.23613e-32   1.9397e-13
  460  3.09221e-32  2.15515e-13
  470  7.43701e-32  2.38437e-13
  480    1.724e-31  2.62749e-13
  490  3.86078e-31   2.8846e-13
  500  8.37005e-31  3.15577e-13
  510   1.7601e-30  3.44104e-13
  520  3.59647e-30  3.74044e-13
  530  7.15262e-30  4.05397e-13
  540  1.38664e-29  4.38162e-13
  550  2.62416e-29  4.72335e-13
  560  4.85413e-29  5.07913e-13
  570  8.78738e-29  5.44889e-13
  580  1.55857e-28  5.83256e-13
  590  2.71125e-28  6.23006e-13
  600  4.63041e-28  6.64129e-13
  610  7.77098e-28  7.06615e-13
  620  1.28266e-27  7.50453e-13
  630  2.08389e-27  7.95632e-13
  640    3.335e-27  8.42139e-13
  650  5.26115e-27  8.89961e-13
  660  8.18685e-27  9.39086e-13
  670  1.25741e-26  9.89499e-13
  680  1.90727e-26  1.04119e-12
  690  2.85869e-26  1.09414e-12
  700  4.23607e-26  1.14833e-12
  800  1.26996e-24  1.75576e-12
  900  1.81852e-23  2.47277e-12
 1000  1.55635e-22  3.28777e-12
 1100  9.17149e-22  4.19205e-12
 1200  4.08726e-21  5.17966e-12
 1300  1.46929e-20  6.24683e-12
 1400  4.46057e-20  7.39146e-12
 1500  1.18261e-19  8.61259e-12
 1600  2.80771e-19  9.91012e-12
 1700  6.08463e-19  1.12845e-11
 1800  1.22166e-18  1.27366e-11
 1900  2.29934e-18  1.42674e-11
 2000  4.09517e-18  1.58782e-11
 2100   6.9545e-18  1.75704e-11
 2200  1.13318e-17  1.93454e-11
 2300  1.78079e-17  2.12045e-11
 2400  2.71071e-17  2.31492e-11
 2500  4.01134e-17   2.5181e-11
 2600  5.78861e-17  2.73013e-11
 2700  8.16735e-17  2.95115e-11
 2800  1.12927e-16   3.1813e-11
 2900  1.53311e-16  3.42072e-11
 3000  2.04717e-16  3.66954e-11
