Rate Units: cm^3/sec

 T, K        R->P7        P7->R
  200  8.53404e-56  5.47199e-16
  210  8.49886e-54  9.06726e-16
  220  5.55356e-52  1.43626e-15
  230  2.51565e-50  2.18721e-15
  240  8.26987e-49  3.21762e-15
  250  2.05044e-47  4.59126e-15
  260  3.96152e-46  6.37658e-15
  270  6.13212e-45  8.64552e-15
  280  7.78836e-44  1.14724e-14
  290  8.28501e-43  1.49326e-14
  300  7.51431e-42  1.91018e-14
  310  5.90164e-41  2.40547e-14
  320  4.06858e-40  2.98645e-14
  330  2.49162e-39  3.66018e-14
  340  1.36981e-38  4.43343e-14
  350  6.82389e-38  5.31264e-14
  360  3.10594e-37  6.30386e-14
  370  1.30123e-36  7.41273e-14
  380  5.05108e-36  8.64449e-14
  390  1.82751e-35  1.00039e-13
  400  6.19582e-35  1.14955e-13
  410  1.97784e-34   1.3123e-13
  420   5.9707e-34  1.48901e-13
  430  1.71126e-33     1.68e-13
  440  4.67329e-33  1.88552e-13
  450     1.22e-32  2.10583e-13
  460  3.05368e-32  2.34112e-13
  470  7.34843e-32  2.59157e-13
  480  1.70435e-31   2.8573e-13
  490  3.81864e-31  3.13843e-13
  500   8.2825e-31  3.43503e-13
  510  1.74244e-30  3.74716e-13
  520  3.56183e-30  4.07485e-13
  530  7.08643e-30   4.4181e-13
  540  1.37431e-29   4.7769e-13
  550   2.6017e-29  5.15122e-13
  560  4.81414e-29  5.54101e-13
  570  8.71763e-29  5.94621e-13
  580  1.54664e-28  6.36673e-13
  590  2.69124e-28   6.8025e-13
  600  4.59744e-28   7.2534e-13
  610  7.71755e-28  7.71932e-13
  620  1.27414e-27  8.20015e-13
  630  2.07051e-27  8.69576e-13
  640  3.31429e-27  9.20601e-13
  650  5.22954e-27  9.73076e-13
  660  8.13924e-27  1.02699e-12
  670  1.25033e-26  1.08232e-12
  680  1.89687e-26  1.13906e-12
  690  2.84357e-26  1.19719e-12
  700  4.21434e-26  1.25669e-12
  800  1.26507e-24  1.92391e-12
  900   1.8131e-23  2.71195e-12
 1000  1.55267e-22    3.608e-12
 1100  9.15396e-22  4.60244e-12
 1200  4.08084e-21  5.68868e-12
 1300  1.46737e-20  6.86253e-12
 1400  4.45566e-20  8.12164e-12
 1500   1.1815e-19  9.46497e-12
 1600  2.80545e-19  1.08924e-11
 1700  6.08041e-19  1.24043e-11
 1800  1.22093e-18  1.40018e-11
 1900  2.29813e-18  1.56859e-11
 2000  4.09327e-18   1.7458e-11
 2100  6.95167e-18  1.93196e-11
 2200  1.13277e-17  2.12722e-11
 2300  1.78022e-17  2.33175e-11
 2400  2.70994e-17  2.54569e-11
 2500  4.01032e-17  2.76921e-11
 2600  5.78729e-17  3.00246e-11
 2700  8.16568e-17   3.2456e-11
 2800  1.12906e-16  3.49879e-11
 2900  1.53286e-16  3.76217e-11
 3000  2.04687e-16   4.0359e-11
