Rate Units: cm^3/sec

 T, K        R->P7        P7->R
  200  9.38745e-56  4.97453e-16
  210  9.34874e-54  8.24296e-16
  220  6.10891e-52  1.30569e-15
  230  2.76721e-50  1.98837e-15
  240  9.09686e-49  2.92511e-15
  250  2.25549e-47  4.17388e-15
  260  4.35767e-46  5.79689e-15
  270  6.74533e-45  7.85956e-15
  280   8.5672e-44  1.04294e-14
  290  9.11351e-43  1.35751e-14
  300  8.26574e-42  1.73653e-14
  310  6.49181e-41  2.18679e-14
  320  4.47544e-40  2.71495e-14
  330  2.74078e-39  3.32744e-14
  340  1.50679e-38  4.03039e-14
  350  7.50628e-38  4.82968e-14
  360  3.41653e-37  5.73078e-14
  370  1.43135e-36  6.73885e-14
  380  5.55618e-36  7.85863e-14
  390  2.01026e-35   9.0945e-14
  400   6.8154e-35  1.04504e-13
  410  2.17562e-34    1.193e-13
  420  6.56777e-34  1.35365e-13
  430  1.88239e-33  1.52727e-13
  440  5.14062e-33  1.71411e-13
  450    1.342e-32  1.91439e-13
  460  3.35904e-32  2.12829e-13
  470  8.08327e-32  2.35597e-13
  480  1.87478e-31  2.59755e-13
  490  4.20051e-31  2.85312e-13
  500  9.11075e-31  3.12276e-13
  510  1.91668e-30  3.40651e-13
  520  3.91802e-30  3.70441e-13
  530  7.79508e-30  4.01645e-13
  540  1.51174e-29  4.34264e-13
  550  2.86187e-29  4.68293e-13
  560  5.29555e-29  5.03728e-13
  570  9.58939e-29  5.40564e-13
  580  1.70131e-28  5.78794e-13
  590  2.96037e-28  6.18409e-13
  600  5.05719e-28    6.594e-13
  610   8.4893e-28  7.01756e-13
  620  1.40155e-27  7.45468e-13
  630  2.27756e-27  7.90523e-13
  640  3.64572e-27   8.3691e-13
  650   5.7525e-27  8.84614e-13
  660  8.95317e-27  9.33625e-13
  670  1.37536e-26  9.83927e-13
  680  2.08655e-26  1.03551e-12
  690  3.12792e-26  1.08835e-12
  700  4.63578e-26  1.14245e-12
  800  1.39158e-24  1.74901e-12
  900  1.99441e-23  2.46541e-12
 1000  1.70794e-22     3.28e-12
 1100  1.00694e-21  4.18404e-12
 1200  4.48892e-21  5.17152e-12
 1300   1.6141e-20  6.23866e-12
 1400  4.90122e-20  7.38331e-12
 1500  1.29965e-19  8.60452e-12
 1600  3.08599e-19  9.90216e-12
 1700  6.68845e-19  1.12767e-11
 1800  1.34302e-18  1.27289e-11
 1900  2.52794e-18  1.42599e-11
 2000   4.5026e-18  1.58709e-11
 2100  7.64683e-18  1.75633e-11
 2200  1.24605e-17  1.93384e-11
 2300  1.95824e-17  2.11977e-11
 2400  2.98093e-17  2.31426e-11
 2500  4.41136e-17  2.51746e-11
 2600  6.36602e-17  2.72951e-11
 2700  8.98225e-17  2.95055e-11
 2800  1.24197e-16  3.18072e-11
 2900  1.68614e-16  3.42016e-11
 3000  2.25155e-16    3.669e-11
