========================================
ch4oabs_B1_Frequencies_1_0.1.out
--
T,R->P7
200.0,8.52833e-56
210.0,8.49077e-54
220.0,5.54627e-52
230.0,2.51122e-50
240.0,8.25085e-49
250.0,2.0444e-47
260.0,3.94685e-46
270.0,6.10407e-45
280.0,7.74501e-44
290.0,8.22966e-43
300.0,7.45478e-42
310.0,5.84684e-41
320.0,4.02473e-40
330.0,2.46074e-39
340.0,1.35046e-38
350.0,6.71484e-38
360.0,3.05019e-37
370.0,1.27516e-36
380.0,4.93885e-36
390.0,1.78272e-35
400.0,6.02919e-35
410.0,1.91974e-34
420.0,5.78001e-34
430.0,1.65208e-33
440.0,4.49895e-33
450.0,1.17108e-32
460.0,2.92249e-32
470.0,7.01129e-32
480.0,1.62108e-31
490.0,3.62052e-31
500.0,7.82731e-31
510.0,1.64125e-30
520.0,3.34374e-30
530.0,6.62991e-30
540.0,1.28134e-29
550.0,2.41726e-29
560.0,4.45709e-29
570.0,8.04234e-29
580.0,1.42171e-28
590.0,2.4649e-28
600.0,4.19542e-28
610.0,7.01683e-28
620.0,1.15417e-27
630.0,1.8686e-27
640.0,2.97993e-27
650.0,4.68433e-27
660.0,7.26326e-27
670.0,1.11155e-26
680.0,1.67995e-26
690.0,2.50883e-26
700.0,3.70411e-26
800.0,1.07021e-24
900.0,1.47692e-23
1000.0,1.21912e-22
1100.0,6.93769e-22
1200.0,2.99011e-21
1300.0,1.04122e-20
1400.0,3.06709e-20
1500.0,7.90302e-20
1600.0,1.82647e-19
1700.0,3.859e-19
1800.0,7.56489e-19
1900.0,1.39208e-18
2000.0,2.42718e-18
2100.0,4.04009e-18
2200.0,6.4596e-18
2300.0,9.97145e-18
2400.0,1.49242e-17
2500.0,2.17348e-17
2600.0,3.08932e-17
2700.0,4.29669e-17
2800.0,5.86047e-17
2900.0,7.85394e-17
3000.0,1.03591e-16
========================================
ch4oabs_P7_Frequencies_1_0.1.out
--
T,R->P7
200.0,8.53404e-56
210.0,8.49886e-54
220.0,5.55356e-52
230.0,2.51565e-50
240.0,8.26987e-49
250.0,2.05044e-47
260.0,3.96152e-46
270.0,6.13212e-45
280.0,7.78836e-44
290.0,8.28501e-43
300.0,7.51431e-42
310.0,5.90164e-41
320.0,4.06858e-40
330.0,2.49162e-39
340.0,1.36981e-38
350.0,6.82389e-38
360.0,3.10594e-37
370.0,1.30123e-36
380.0,5.05108e-36
390.0,1.82751e-35
400.0,6.19582e-35
410.0,1.97784e-34
420.0,5.9707e-34
430.0,1.71126e-33
440.0,4.67329e-33
450.0,1.22e-32
460.0,3.05368e-32
470.0,7.34843e-32
480.0,1.70435e-31
490.0,3.81864e-31
500.0,8.2825e-31
510.0,1.74244e-30
520.0,3.56183e-30
530.0,7.08643e-30
540.0,1.37431e-29
550.0,2.6017e-29
560.0,4.81414e-29
570.0,8.71763e-29
580.0,1.54664e-28
590.0,2.69124e-28
600.0,4.59744e-28
610.0,7.71755e-28
620.0,1.27414e-27
630.0,2.07051e-27
640.0,3.31429e-27
650.0,5.22954e-27
660.0,8.13924e-27
670.0,1.25033e-26
680.0,1.89687e-26
690.0,2.84357e-26
700.0,4.21434e-26
800.0,1.26507e-24
900.0,1.8131e-23
1000.0,1.55267e-22
1100.0,9.15396e-22
1200.0,4.08084e-21
1300.0,1.46737e-20
1400.0,4.45566e-20
1500.0,1.1815e-19
1600.0,2.80545e-19
1700.0,6.08041e-19
1800.0,1.22093e-18
1900.0,2.29813e-18
2000.0,4.09327e-18
2100.0,6.95167e-18
2200.0,1.13277e-17
2300.0,1.78022e-17
2400.0,2.70994e-17
2500.0,4.01032e-17
2600.0,5.78729e-17
2700.0,8.16568e-17
2800.0,1.12906e-16
2900.0,1.53286e-16
3000.0,2.04687e-16
========================================
ch4oabs_R_Frequencies_1_0.1.out
--
T,R->P7
200.0,8.53404e-56
210.0,8.49886e-54
220.0,5.55356e-52
230.0,2.51565e-50
240.0,8.26987e-49
250.0,2.05044e-47
260.0,3.96152e-46
270.0,6.13212e-45
280.0,7.78836e-44
290.0,8.28501e-43
300.0,7.51431e-42
310.0,5.90164e-41
320.0,4.06858e-40
330.0,2.49162e-39
340.0,1.36981e-38
350.0,6.82389e-38
360.0,3.10594e-37
370.0,1.30123e-36
380.0,5.05108e-36
390.0,1.82751e-35
400.0,6.19583e-35
410.0,1.97784e-34
420.0,5.97072e-34
430.0,1.71127e-33
440.0,4.67331e-33
450.0,1.22001e-32
460.0,3.0537e-32
470.0,7.34849e-32
480.0,1.70437e-31
490.0,3.8187e-31
500.0,8.28264e-31
510.0,1.74247e-30
520.0,3.56192e-30
530.0,7.08664e-30
540.0,1.37436e-29
550.0,2.60181e-29
560.0,4.81437e-29
570.0,8.71813e-29
580.0,1.54675e-28
590.0,2.69145e-28
600.0,4.59784e-28
610.0,7.71832e-28
620.0,1.27428e-27
630.0,2.07078e-27
640.0,3.31478e-27
650.0,5.2304e-27
660.0,8.14074e-27
670.0,1.25058e-26
680.0,1.8973e-26
690.0,2.84428e-26
700.0,4.21552e-26
800.0,1.2659e-24
900.0,1.81538e-23
1000.0,1.55592e-22
1100.0,9.18283e-22
1200.0,4.09884e-21
1300.0,1.47593e-20
1400.0,4.48856e-20
1500.0,1.19217e-19
1600.0,2.83559e-19
1700.0,6.15638e-19
1800.0,1.23834e-18
1900.0,2.33499e-18
2000.0,4.16614e-18
2100.0,7.08754e-18
2200.0,1.15685e-17
2300.0,1.82105e-17
2400.0,2.77654e-17
2500.0,4.1153e-17
2600.0,5.94778e-17
2700.0,8.40446e-17
2800.0,1.16373e-16
2900.0,1.5821e-16
3000.0,2.11544e-16
========================================
ch4oabs_B1_Energy_1_34.9759.out
--
T,R->P7
200.0,6.63562e-56
210.0,6.68791e-54
220.0,4.41806e-52
230.0,2.02129e-50
240.0,6.7056e-49
250.0,1.6766e-47
260.0,3.26441e-46
270.0,5.08941e-45
280.0,6.50719e-44
290.0,6.96518e-43
300.0,6.35389e-42
310.0,5.01734e-41
320.0,3.47654e-40
330.0,2.13922e-39
340.0,1.18136e-38
350.0,5.91004e-38
360.0,2.70076e-37
370.0,1.13576e-36
380.0,4.42458e-36
390.0,1.60628e-35
400.0,5.46339e-35
410.0,1.74939e-34
420.0,5.29652e-34
430.0,1.52227e-33
440.0,4.16824e-33
450.0,1.09092e-32
460.0,2.73724e-32
470.0,6.6023e-32
480.0,1.53471e-31
490.0,3.44594e-31
500.0,7.48949e-31
510.0,1.57872e-30
520.0,3.23329e-30
530.0,6.44455e-30
540.0,1.25202e-29
550.0,2.37422e-29
560.0,4.4004e-29
570.0,7.98099e-29
580.0,1.41811e-28
590.0,2.47122e-28
600.0,4.22758e-28
610.0,7.10644e-28
620.0,1.17481e-27
630.0,1.91156e-27
640.0,3.06368e-27
650.0,4.83995e-27
660.0,7.54173e-27
670.0,1.15986e-26
680.0,1.76156e-26
690.0,2.64356e-26
700.0,3.92201e-26
800.0,1.18795e-24
900.0,1.71451e-23
