========================================
ch4oabs_B1_Energy_1_0.0.out
--
T,P7->R
200.0,4.97453e-16
210.0,8.24296e-16
220.0,1.30569e-15
230.0,1.98837e-15
240.0,2.92511e-15
250.0,4.17388e-15
260.0,5.79689e-15
270.0,7.85956e-15
280.0,1.04294e-14
290.0,1.35751e-14
300.0,1.73653e-14
310.0,2.18679e-14
320.0,2.71495e-14
330.0,3.32744e-14
340.0,4.03039e-14
350.0,4.82968e-14
360.0,5.73078e-14
370.0,6.73885e-14
380.0,7.85863e-14
390.0,9.0945e-14
400.0,1.04504e-13
410.0,1.193e-13
420.0,1.35365e-13
430.0,1.52727e-13
440.0,1.71411e-13
450.0,1.91439e-13
460.0,2.12829e-13
470.0,2.35597e-13
480.0,2.59755e-13
490.0,2.85312e-13
500.0,3.12276e-13
510.0,3.40651e-13
520.0,3.70441e-13
530.0,4.01645e-13
540.0,4.34264e-13
550.0,4.68293e-13
560.0,5.03728e-13
570.0,5.40564e-13
580.0,5.78794e-13
590.0,6.18409e-13
600.0,6.594e-13
610.0,7.01756e-13
620.0,7.45468e-13
630.0,7.90523e-13
640.0,8.3691e-13
650.0,8.84614e-13
660.0,9.33625e-13
670.0,9.83927e-13
680.0,1.03551e-12
690.0,1.08835e-12
700.0,1.14245e-12
800.0,1.74901e-12
900.0,2.46541e-12
1000.0,3.28e-12
1100.0,4.18404e-12
1200.0,5.17152e-12
1300.0,6.23866e-12
1400.0,7.38331e-12
1500.0,8.60452e-12
1600.0,9.90216e-12
1700.0,1.12767e-11
1800.0,1.27289e-11
1900.0,1.42599e-11
2000.0,1.58709e-11
2100.0,1.75633e-11
2200.0,1.93384e-11
2300.0,2.11977e-11
2400.0,2.31426e-11
2500.0,2.51746e-11
2600.0,2.72951e-11
2700.0,2.95055e-11
2800.0,3.18072e-11
2900.0,3.42016e-11
3000.0,3.669e-11
