Rate Units: cm^3/sec

 T, K        R->P7        P7->R
  200  7.75822e-56   4.5223e-16
  210  7.72624e-54   7.4936e-16
  220  5.04869e-52  1.18699e-15
  230  2.28695e-50  1.80761e-15
  240  7.51807e-49  2.65919e-15
  250  1.86404e-47  3.79443e-15
  260  3.60138e-46   5.2699e-15
  270  5.57466e-45  7.14506e-15
  280  7.08033e-44  9.48129e-15
  290  7.53183e-43   1.2341e-14
  300  6.83119e-42  1.57866e-14
  310  5.36513e-41  1.98799e-14
  320  3.69871e-40  2.46814e-14
  330  2.26511e-39  3.02494e-14
  340  1.24528e-38  3.66399e-14
  350  6.20354e-38  4.39061e-14
  360  2.82358e-37   5.2098e-14
  370  1.18293e-36  6.12623e-14
  380  4.59189e-36  7.14421e-14
  390  1.66137e-35  8.26773e-14
  400  5.63256e-35  9.50039e-14
  410  1.79803e-34  1.08455e-13
  420  5.42791e-34  1.23059e-13
  430  1.55569e-33  1.38843e-13
  440  4.24844e-33  1.55828e-13
  450  1.10909e-32  1.74036e-13
  460  2.77607e-32  1.93481e-13
  470  6.68039e-32  2.14179e-13
  480  1.54941e-31  2.36141e-13
  490  3.47149e-31  2.59374e-13
  500  7.52954e-31  2.83887e-13
  510  1.58403e-30  3.09683e-13
  520  3.23803e-30  3.36764e-13
  530  6.44221e-30  3.65132e-13
  540  1.24937e-29  3.94785e-13
  550  2.36518e-29  4.25721e-13
  560  4.37649e-29  4.57935e-13
  570  7.92512e-29  4.91422e-13
  580  1.40604e-28  5.26176e-13
  590  2.44659e-28   5.6219e-13
  600  4.17949e-28  5.99454e-13
  610  7.01595e-28   6.3796e-13
  620  1.15831e-27  6.77698e-13
  630  1.88228e-27  7.18658e-13
  640    3.013e-27  7.60827e-13
  650  4.75413e-27  8.04195e-13
  660  7.39931e-27   8.4875e-13
  670  1.13666e-26  8.94479e-13
  680  1.72442e-26   9.4137e-13
  690  2.58506e-26   9.8941e-13
  700  3.83122e-26  1.03859e-12
  800  1.15006e-24  1.59001e-12
  900  1.64827e-23  2.24128e-12
 1000  1.41152e-22  2.98182e-12
 1100  8.32179e-22  3.80367e-12
 1200  3.70985e-21  4.70139e-12
 1300  1.33397e-20  5.67151e-12
 1400   4.0506e-20   6.7121e-12
 1500  1.07409e-19  7.82229e-12
 1600  2.55041e-19  9.00196e-12
 1700  5.52764e-19  1.02515e-11
 1800  1.10993e-18  1.15717e-11
 1900  2.08921e-18  1.29635e-11
 2000  3.72116e-18  1.44281e-11
 2100   6.3197e-18  1.59666e-11
 2200  1.02979e-17  1.75804e-11
 2300  1.61838e-17  1.92706e-11
 2400  2.46358e-17  2.10387e-11
 2500  3.64575e-17   2.2886e-11
 2600  5.26117e-17  2.48137e-11
 2700  7.42335e-17  2.68232e-11
 2800  1.02642e-16  2.89156e-11
 2900  1.39351e-16  3.10923e-11
 3000  1.86079e-16  3.33545e-11
