========================================
ch4oabs_B1_Frequencies_1_0.1.out
--
T,P7->R
200.0,4.9712e-16
210.0,8.23512e-16
220.0,1.30397e-15
230.0,1.98487e-15
240.0,2.91838e-15
250.0,4.16158e-15
260.0,5.77543e-15
270.0,7.82361e-15
280.0,1.03714e-14
290.0,1.34844e-14
300.0,1.72277e-14
310.0,2.16649e-14
320.0,2.6857e-14
330.0,3.2862e-14
340.0,3.97346e-14
350.0,4.75249e-14
360.0,5.62791e-14
370.0,6.60386e-14
380.0,7.68402e-14
390.0,8.87161e-14
400.0,1.01694e-13
410.0,1.15796e-13
420.0,1.31042e-13
430.0,1.47445e-13
440.0,1.65017e-13
450.0,1.83763e-13
460.0,2.03687e-13
470.0,2.24788e-13
480.0,2.47064e-13
490.0,2.70509e-13
500.0,2.95114e-13
510.0,3.20868e-13
520.0,3.47758e-13
530.0,3.7577e-13
540.0,4.04888e-13
550.0,4.35094e-13
560.0,4.66368e-13
570.0,4.98691e-13
580.0,5.32042e-13
590.0,5.66399e-13
600.0,6.01739e-13
610.0,6.38041e-13
620.0,6.7528e-13
630.0,7.13433e-13
640.0,7.52477e-13
650.0,7.92389e-13
660.0,8.33143e-13
670.0,8.74718e-13
680.0,9.17089e-13
690.0,9.60234e-13
700.0,1.00413e-12
800.0,1.47961e-12
900.0,2.00828e-12
1000.0,2.57537e-12
1100.0,3.17103e-12
1200.0,3.78928e-12
1300.0,4.42687e-12
1400.0,5.08237e-12
1500.0,5.75553e-12
1600.0,6.44675e-12
1700.0,7.15686e-12
1800.0,7.88686e-12
1900.0,8.63785e-12
2000.0,9.41094e-12
2100.0,1.02072e-11
2200.0,1.10277e-11
2300.0,1.18734e-11
2400.0,1.27451e-11
2500.0,1.36439e-11
2600.0,1.45704e-11
2700.0,1.55255e-11
2800.0,1.65098e-11
2900.0,1.75239e-11
3000.0,1.85687e-11
========================================
ch4oabs_P7_Frequencies_1_0.1.out
--
T,P7->R
200.0,4.9751e-16
210.0,8.24446e-16
220.0,1.30604e-15
230.0,1.98916e-15
240.0,2.92674e-15
250.0,4.17706e-15
260.0,5.8028e-15
270.0,7.87003e-15
280.0,1.04472e-14
290.0,1.36042e-14
300.0,1.74114e-14
310.0,2.19389e-14
320.0,2.72557e-14
330.0,3.34294e-14
340.0,4.05253e-14
350.0,4.86064e-14
360.0,5.77329e-14
370.0,6.79622e-14
380.0,7.93484e-14
390.0,9.19428e-14
400.0,1.05793e-13
410.0,1.20945e-13
420.0,1.37439e-13
430.0,1.55315e-13
440.0,1.74608e-13
450.0,1.95352e-13
460.0,2.17577e-13
470.0,2.41311e-13
480.0,2.6658e-13
490.0,2.93407e-13
500.0,3.21814e-13
510.0,3.51818e-13
520.0,3.83438e-13
530.0,4.16689e-13
540.0,4.51585e-13
550.0,4.88138e-13
560.0,5.26359e-13
570.0,5.66257e-13
580.0,6.07841e-13
590.0,6.51118e-13
600.0,6.96093e-13
610.0,7.42772e-13
620.0,7.91159e-13
630.0,8.41257e-13
640.0,8.93069e-13
650.0,9.46596e-13
660.0,1.00184e-12
670.0,1.0588e-12
680.0,1.11748e-12
690.0,1.17788e-12
700.0,1.23999e-12
800.0,1.95516e-12
900.0,2.8395e-12
1000.0,3.89021e-12
1100.0,5.10512e-12
1200.0,6.48311e-12
1300.0,8.02412e-12
1400.0,9.72899e-12
1500.0,1.15993e-11
1600.0,1.3637e-11
1700.0,1.58447e-11
1800.0,1.8225e-11
1900.0,2.0781e-11
2000.0,2.35157e-11
2100.0,2.64322e-11
2200.0,2.95337e-11
2300.0,3.28235e-11
2400.0,3.63048e-11
2500.0,3.99809e-11
2600.0,4.38548e-11
2700.0,4.79298e-11
2800.0,5.22092e-11
2900.0,5.66959e-11
3000.0,6.13931e-11
========================================
ch4oabs_R_Frequencies_1_0.1.out
--
T,P7->R
200.0,4.97453e-16
210.0,8.24296e-16
220.0,1.30569e-15
230.0,1.98837e-15
240.0,2.92511e-15
250.0,4.17388e-15
260.0,5.79689e-15
270.0,7.85956e-15
280.0,1.04294e-14
290.0,1.35751e-14
300.0,1.73653e-14
310.0,2.18679e-14
320.0,2.71495e-14
330.0,3.32744e-14
340.0,4.03039e-14
350.0,4.82968e-14
360.0,5.73078e-14
370.0,6.73885e-14
380.0,7.85863e-14
390.0,9.0945e-14
400.0,1.04504e-13
410.0,1.193e-13
420.0,1.35365e-13
430.0,1.52727e-13
440.0,1.71411e-13
450.0,1.91439e-13
460.0,2.12829e-13
470.0,2.35597e-13
480.0,2.59755e-13
490.0,2.85312e-13
500.0,3.12276e-13
510.0,3.40651e-13
520.0,3.70441e-13
530.0,4.01645e-13
540.0,4.34264e-13
550.0,4.68293e-13
560.0,5.03728e-13
570.0,5.40564e-13
580.0,5.78794e-13
590.0,6.18409e-13
600.0,6.594e-13
610.0,7.01756e-13
620.0,7.45468e-13
630.0,7.90523e-13
640.0,8.3691e-13
650.0,8.84614e-13
660.0,9.33625e-13
670.0,9.83927e-13
680.0,1.03551e-12
690.0,1.08835e-12
700.0,1.14245e-12
800.0,1.74901e-12
900.0,2.46541e-12
1000.0,3.28e-12
1100.0,4.18404e-12
1200.0,5.17152e-12
1300.0,6.23866e-12
1400.0,7.38331e-12
1500.0,8.60452e-12
1600.0,9.90216e-12
1700.0,1.12767e-11
1800.0,1.27289e-11
1900.0,1.42599e-11
2000.0,1.58709e-11
2100.0,1.75633e-11
2200.0,1.93384e-11
2300.0,2.11977e-11
2400.0,2.31426e-11
2500.0,2.51746e-11
2600.0,2.72951e-11
2700.0,2.95055e-11
2800.0,3.18072e-11
2900.0,3.42016e-11
3000.0,3.669e-11
========================================
ch4oabs_B1_Energy_1_34.9759.out
--
T,P7->R
200.0,3.86793e-16
210.0,6.48655e-16
220.0,1.03872e-15
230.0,1.59763e-15
240.0,2.37181e-15
250.0,3.41288e-15
260.0,4.77682e-15
270.0,6.52312e-15
280.0,8.7138e-15
290.0,1.14125e-14
300.0,1.46836e-14
310.0,1.85913e-14
320.0,2.31989e-14
330.0,2.85682e-14
340.0,3.47591e-14
350.0,4.18289e-14
360.0,4.98318e-14
370.0,5.88192e-14
380.0,6.8839e-14
390.0,7.99358e-14
400.0,9.21505e-14
410.0,1.05521e-13
420.0,1.2008e-13
430.0,1.3586e-13
440.0,1.52887e-13
450.0,1.71185e-13
