========================================
ch4oh_B1_Energy_1_0.0.out
1.0 atm
T,P1->P2
200.0,2.41229e-14
210.0,2.85489e-14
220.0,3.38032e-14
230.0,4.00134e-14
240.0,4.73192e-14
250.0,5.58724e-14
260.0,6.58368e-14
270.0,7.73883e-14
280.0,9.07147e-14
290.0,1.06015e-13
300.0,1.23499e-13
310.0,1.43388e-13
320.0,1.65914e-13
330.0,1.91318e-13
340.0,2.19853e-13
350.0,2.51777e-13
360.0,2.87362e-13
370.0,3.26884e-13
380.0,3.70628e-13
390.0,4.18888e-13
400.0,4.71962e-13
410.0,5.30155e-13
420.0,5.93778e-13
430.0,6.63145e-13
440.0,7.38577e-13
450.0,8.20396e-13
460.0,9.08927e-13
470.0,1.0045e-12
480.0,1.10744e-12
490.0,1.21808e-12
500.0,1.33675e-12
510.0,1.46378e-12
520.0,1.59949e-12
530.0,1.74422e-12
540.0,1.89828e-12
550.0,2.06201e-12
560.0,2.2357e-12
570.0,2.41967e-12
580.0,2.61424e-12
590.0,2.81968e-12
600.0,3.03633e-12
610.0,3.26443e-12
620.0,3.50427e-12
630.0,3.75614e-12
640.0,4.02026e-12
650.0,4.29696e-12
660.0,4.58636e-12
670.0,4.88884e-12
680.0,5.20446e-12
690.0,5.5336e-12
700.0,5.87634e-12
800.0,1.00881e-11
900.0,1.57868e-11
1000.0,2.29597e-11
1100.0,3.14731e-11
1200.0,4.11099e-11
1300.0,5.16104e-11
1400.0,6.26962e-11
1500.0,7.40958e-11
1600.0,8.55581e-11
1700.0,9.68249e-11
1800.0,1.07907e-10
1900.0,1.18444e-10
2000.0,1.28654e-10
2100.0,1.38169e-10
2200.0,1.47067e-10
2300.0,1.55649e-10
2400.0,1.63442e-10
2500.0,1.70663e-10
2600.0,1.77486e-10
2700.0,1.837e-10
2800.0,1.89686e-10
2900.0,1.95035e-10
3000.0,1.99984e-10
