========================================
ch4oh_B1_Energy_1_3.49759.out
1.0 atm
T,P1->P2
200.0,2.41228e-14
210.0,2.85487e-14
220.0,3.38029e-14
230.0,4.00129e-14
240.0,4.73185e-14
250.0,5.58714e-14
260.0,6.58355e-14
270.0,7.73866e-14
280.0,9.07122e-14
290.0,1.06011e-13
300.0,1.23494e-13
310.0,1.43382e-13
320.0,1.65907e-13
330.0,1.91309e-13
340.0,2.19841e-13
350.0,2.51762e-13
360.0,2.87343e-13
370.0,3.26861e-13
380.0,3.706e-13
390.0,4.18853e-13
400.0,4.71919e-13
410.0,5.30103e-13
420.0,5.93716e-13
430.0,6.63071e-13
440.0,7.38488e-13
450.0,8.2029e-13
460.0,9.08803e-13
470.0,1.00435e-12
480.0,1.10727e-12
490.0,1.21788e-12
500.0,1.33652e-12
510.0,1.46351e-12
520.0,1.59919e-12
530.0,1.74387e-12
540.0,1.89789e-12
550.0,2.06156e-12
560.0,2.23519e-12
570.0,2.41909e-12
580.0,2.61359e-12
590.0,2.81895e-12
600.0,3.03551e-12
610.0,3.26351e-12
620.0,3.50325e-12
630.0,3.75501e-12
640.0,4.019e-12
650.0,4.29556e-12
660.0,4.58482e-12
670.0,4.88714e-12
680.0,5.20259e-12
690.0,5.53155e-12
700.0,5.8741e-12
800.0,1.0083e-11
900.0,1.57771e-11
1000.0,2.2943e-11
1100.0,3.1447e-11
1200.0,4.10719e-11
1300.0,5.15584e-11
1400.0,6.26285e-11
1500.0,7.40113e-11
1600.0,8.54561e-11
1700.0,9.67051e-11
1800.0,1.0777e-10
1900.0,1.1829e-10
2000.0,1.28485e-10
2100.0,1.37985e-10
2200.0,1.46871e-10
2300.0,1.55441e-10
2400.0,1.63223e-10
2500.0,1.70435e-10
2600.0,1.7725e-10
2700.0,1.83458e-10
2800.0,1.89438e-10
2900.0,1.94783e-10
3000.0,1.99728e-10
