========================================
ch4oh_B1_Frequencies_1_0.01.out
0.1 atm
T,P1->P2
200.0,2.41213e-14
210.0,2.85464e-14
220.0,3.37994e-14
230.0,4.00077e-14
240.0,4.73108e-14
250.0,5.58603e-14
260.0,6.58197e-14
270.0,7.73646e-14
280.0,9.06821e-14
290.0,1.05971e-13
300.0,1.2344e-13
310.0,1.4331e-13
320.0,1.65812e-13
330.0,1.91187e-13
340.0,2.19684e-13
350.0,2.51563e-13
360.0,2.87091e-13
370.0,3.26545e-13
380.0,3.70207e-13
390.0,4.18368e-13
400.0,4.71324e-13
410.0,5.29377e-13
420.0,5.92835e-13
430.0,6.6201e-13
440.0,7.37216e-13
450.0,8.18773e-13
460.0,9.07001e-13
470.0,1.00222e-12
480.0,1.10477e-12
490.0,1.21495e-12
500.0,1.3331e-12
510.0,1.45954e-12
520.0,1.59459e-12
530.0,1.73857e-12
540.0,1.8918e-12
550.0,2.05458e-12
560.0,2.22722e-12
570.0,2.41004e-12
580.0,2.60331e-12
590.0,2.80734e-12
600.0,3.02241e-12
610.0,3.24878e-12
620.0,3.48674e-12
630.0,3.73653e-12
640.0,3.99841e-12
650.0,4.27262e-12
660.0,4.55938e-12
670.0,4.85892e-12
680.0,5.17144e-12
690.0,5.49715e-12
700.0,5.83622e-12
800.0,9.99398e-12
900.0,1.55979e-11
1000.0,2.26223e-11
1100.0,3.09282e-11
1200.0,4.02954e-11
1300.0,5.04591e-11
1400.0,6.11427e-11
1500.0,7.20832e-11
1600.0,8.30475e-11
1700.0,9.38374e-11
1800.0,1.0432e-10
1900.0,1.1436e-10
2000.0,1.23914e-10
2100.0,1.32902e-10
2200.0,1.41317e-10
2300.0,1.49186e-10
2400.0,1.5647e-10
2500.0,1.63213e-10
2600.0,1.69457e-10
2700.0,1.75207e-10
2800.0,1.80534e-10
2900.0,1.85425e-10
3000.0,1.89935e-10
========================================
ch4oh_B1_Frequencies_1_0.01.out
3 atm
T,P1->P2
200.0,2.41255e-14
210.0,2.85528e-14
220.0,3.38091e-14
230.0,4.00222e-14
240.0,4.73319e-14
250.0,5.58904e-14
260.0,6.5862e-14
270.0,7.7423e-14
280.0,9.07618e-14
290.0,1.06078e-13
300.0,1.23582e-13
310.0,1.43497e-13
320.0,1.66055e-13
330.0,1.91499e-13
340.0,2.20082e-13
350.0,2.52065e-13
360.0,2.87721e-13
370.0,3.27328e-13
380.0,3.71174e-13
