Pressure (atm),Temperature (K),W1_Energy_1_R->P2,W1_Energy_1_R->P3,W1_Energy_1_R->P1,W1_Energy_1_W2->P1,W1_Energy_1_P1->P2,W1_Energy_1_P1->P3,W1_Energy_1_P2->P3
1.0,250.0,-1.248189557544706e-07,-8.915506296646803e-08,-5.861279497501282e-07,5.917257849233296,-3.0441113781910095e-06,2.8509131809633193e-08,-4.655676428440409e-07
1.0,260.0,1.2851751861640874e-06,7.762995518630557e-07,5.278477524282773e-06,-0.08753233969229511,2.6999935321311704e-05,-2.3642305786621877e-07,4.235816218135531e-06
1.0,270.0,-5.127946509039065e-06,-2.307323132251101e-06,-1.641945625242466e-05,-0.14326956688145592,-8.225498465120983e-05,6.53211437263866e-07,-1.3367193094826843e-05
1.0,280.0,9.88744534875183e-06,2.1715230502342002e-06,1.6937196326166415e-05,0.015108003558308462,8.137487861953264e-05,-5.125261592710379e-07,1.4222572181029335e-05
1.0,290.0,1.0473723329863702e-05,1.1604052405172973e-06,7.131916860573819e-06,0.0157904604610032,3.840299793023668e-05,-4.1251513843271476e-07,5.339353648604282e-06
1.0,300.0,3.927688949813407e-06,-1.339029208738887e-06,-1.1557058684707789e-05,-0.006528854049903388,-5.294930040684931e-05,2.463226867420023e-07,-9.925218576223484e-06
1.0,310.0,-4.2105153388166916e-07,-1.818525818684364e-06,-1.3121343340257452e-05,-0.00879101040202782,-6.523088996180645e-05,5.179914715153216e-07,-1.0434687782807609e-05
1.0,320.0,-1.0384753812730983e-06,-5.196117603431808e-07,-1.652848880044832e-06,-0.0005620389482598736,-1.3484394084387578e-05,2.88539226707415e-07,-5.933995850680697e-07
1.0,330.0,-1.255786381487297e-09,9.91830378636744e-07,9.75052352881031e-06,0.005593461370047641,4.1642326159156234e-05,-1.2205617945122295e-07,8.431155940255835e-06
1.0,340.0,8.438192552675563e-07,1.6603651464075211e-06,1.3280193882450757e-05,0.00597993120692237,6.229236051806196e-05,-4.0905842103433234e-07,1.0579255631686825e-05
1.0,350.0,9.523382562935758e-07,1.3271178522985875e-06,8.622971740060263e-06,0.0025904494189304857,4.536907255635759e-05,-4.50616431932288e-07,6.228171601385571e-06
1.0,360.0,6.662861685963204e-07,3.931366722734503e-07,-3.207506358375409e-07,-0.0014069150918606735,8.012778682912936e-06,-2.835912668361073e-07,-9.415682492113084e-07
1.0,370.0,5.399183969166697e-07,-6.115107918426432e-07,-9.060584638225462e-06,-0.003936700644577032,-2.9217968589749657e-05,-1.877149244260469e-08,-7.102249766518845e-06
1.0,380.0,9.219497953238272e-07,-1.2963784682186506e-06,-1.4579454736863448e-05,-0.004400106561744642,-5.220086432411252e-05,2.3151612240152804e-07,-9.941297940610162e-06
