========================================
h+ho2=hooh_W1_Energy_1_34.9759.out
1 atm
T,R->P1
250.0,7.84671e-11
260.0,7.84754e-11
270.0,7.85211e-11
280.0,7.85912e-11
290.0,7.86908e-11
300.0,7.88093e-11
310.0,7.89512e-11
320.0,7.91084e-11
330.0,7.92843e-11
340.0,7.94723e-11
350.0,7.96733e-11
360.0,7.98834e-11
370.0,8.01116e-11
380.0,8.03445e-11
390.0,8.05877e-11
400.0,8.08397e-11
410.0,8.10958e-11
420.0,8.13536e-11
430.0,8.16123e-11
440.0,8.18737e-11
450.0,8.21479e-11
460.0,8.24419e-11
470.0,8.27371e-11
480.0,8.30235e-11
490.0,8.33067e-11
500.0,8.35954e-11
510.0,8.38852e-11
520.0,8.41768e-11
530.0,8.44715e-11
540.0,8.4783e-11
550.0,8.51031e-11
560.0,8.54194e-11
570.0,8.57224e-11
580.0,8.60186e-11
590.0,8.63112e-11
600.0,8.66013e-11
610.0,8.68977e-11
620.0,8.7207e-11
630.0,8.75164e-11
640.0,8.78204e-11
650.0,8.81218e-11
660.0,8.84287e-11
670.0,8.87407e-11
680.0,8.90598e-11
690.0,8.93743e-11
700.0,8.96835e-11
800.0,9.27433e-11
900.0,9.5669e-11
1000.0,9.85443e-11
1100.0,1.01261e-10
1200.0,1.039e-10
1300.0,1.06392e-10
1400.0,1.08756e-10
1500.0,1.11002e-10
1600.0,1.13118e-10
1700.0,1.15084e-10
1800.0,1.16933e-10
1900.0,1.18675e-10
2000.0,1.20238e-10
2100.0,1.21715e-10
2200.0,1.23045e-10
2300.0,1.24307e-10
2400.0,1.25369e-10
2500.0,1.26336e-10
2600.0,1.27199e-10
2700.0,1.27938e-10
2800.0,1.28511e-10
2900.0,1.2894e-10
3000.0,1.29404e-10
========================================
h+ho2=hooh_W1_Energy_1_34.9759.out
1 atm
T,R->P2
250.0,4.8496e-13
260.0,4.89356e-13
270.0,4.9423e-13
280.0,4.99471e-13
290.0,5.05131e-13
300.0,5.11116e-13
310.0,5.17479e-13
320.0,5.24141e-13
330.0,5.31148e-13
340.0,5.38433e-13
350.0,5.46026e-13
360.0,5.53881e-13
370.0,5.62067e-13
380.0,5.70481e-13
390.0,5.79178e-13
400.0,5.88133e-13
410.0,5.97338e-13
420.0,6.06782e-13
430.0,6.16464e-13
440.0,6.26349e-13
450.0,6.36484e-13
460.0,6.46958e-13
470.0,6.57639e-13
480.0,6.68511e-13
490.0,6.79595e-13
500.0,6.90945e-13
510.0,7.02503e-13
520.0,7.14268e-13
530.0,7.26234e-13
540.0,7.3847e-13
550.0,7.50979e-13
560.0,7.63692e-13
570.0,7.76515e-13
580.0,7.89504e-13
590.0,8.02716e-13
600.0,8.16156e-13
610.0,8.2983e-13
620.0,8.43778e-13
630.0,8.57918e-13
640.0,8.7224e-13
650.0,8.8674e-13
660.0,9.01446e-13
670.0,9.1637e-13
680.0,9.31568e-13
690.0,9.4697e-13
700.0,9.62544e-13
800.0,1.12915e-12
900.0,1.31502e-12
1000.0,1.52029e-12
1100.0,1.74383e-12
1200.0,1.9855e-12
1300.0,2.24416e-12
1400.0,2.51924e-12
1500.0,2.80946e-12
1600.0,3.11429e-12
1700.0,3.43221e-12
1800.0,3.76259e-12
1900.0,4.10426e-12
2000.0,4.45587e-12
2100.0,4.81668e-12
2200.0,5.18531e-12
2300.0,5.56118e-12
2400.0,5.94252e-12
2500.0,6.32872e-12
2600.0,6.71905e-12
2700.0,7.11195e-12
2800.0,7.50633e-12
2900.0,7.89998e-12
3000.0,8.29713e-12
========================================
h+ho2=hooh_W1_Energy_1_34.9759.out
1 atm
T,R->P3
250.0,3.00379e-12
260.0,3.01575e-12
270.0,3.02927e-12
280.0,3.0439e-12
290.0,3.05981e-12
300.0,3.07665e-12
310.0,3.09458e-12
320.0,3.11332e-12
330.0,3.13299e-12
340.0,3.15336e-12
350.0,3.17447e-12
360.0,3.19617e-12
370.0,3.21882e-12
380.0,3.24192e-12
390.0,3.26566e-12
400.0,3.29003e-12
410.0,3.31483e-12
420.0,3.33999e-12
430.0,3.36544e-12
