========================================
h+ho2=hooh_W1_Energy_1_34.9759.out
0.1 atm
T,R->P1
250.0,7.8467e-11
260.0,7.84753e-11
270.0,7.8521e-11
280.0,7.85911e-11
290.0,7.86907e-11
300.0,7.88092e-11
310.0,7.89511e-11
320.0,7.91083e-11
330.0,7.92842e-11
340.0,7.94722e-11
350.0,7.96732e-11
360.0,7.98833e-11
370.0,8.01115e-11
380.0,8.03445e-11
390.0,8.05877e-11
400.0,8.08396e-11
410.0,8.10958e-11
420.0,8.13536e-11
430.0,8.16122e-11
440.0,8.18737e-11
450.0,8.21478e-11
460.0,8.24419e-11
470.0,8.27371e-11
480.0,8.30235e-11
490.0,8.33067e-11
500.0,8.35954e-11
510.0,8.38853e-11
520.0,8.41768e-11
530.0,8.44715e-11
540.0,8.4783e-11
550.0,8.51031e-11
560.0,8.54194e-11
570.0,8.57224e-11
580.0,8.60186e-11
590.0,8.63113e-11
600.0,8.66014e-11
610.0,8.68978e-11
620.0,8.7207e-11
630.0,8.75165e-11
640.0,8.78205e-11
650.0,8.8122e-11
660.0,8.84288e-11
670.0,8.87409e-11
680.0,8.906e-11
690.0,8.93745e-11
700.0,8.96838e-11
800.0,9.27437e-11
900.0,9.56698e-11
1000.0,9.85452e-11
1100.0,1.01263e-10
1200.0,1.03902e-10
1300.0,1.06396e-10
1400.0,1.08761e-10
1500.0,1.11008e-10
1600.0,1.13129e-10
1700.0,1.15095e-10
1800.0,1.16947e-10
1900.0,1.18692e-10
2000.0,1.20275e-10
2100.0,1.21752e-10
2200.0,1.231e-10
2300.0,1.24333e-10
2400.0,1.25432e-10
2500.0,1.26413e-10
2600.0,1.27291e-10
2700.0,1.28045e-10
2800.0,1.28677e-10
2900.0,1.2923e-10
3000.0,1.29677e-10
========================================
h+ho2=hooh_W1_Energy_1_34.9759.out
0.2 atm
T,R->P1
250.0,7.8467e-11
260.0,7.84753e-11
270.0,7.8521e-11
280.0,7.85911e-11
290.0,7.86907e-11
300.0,7.88092e-11
310.0,7.89511e-11
320.0,7.91083e-11
330.0,7.92842e-11
340.0,7.94722e-11
350.0,7.96732e-11
360.0,7.98833e-11
370.0,8.01115e-11
380.0,8.03445e-11
390.0,8.05877e-11
400.0,8.08396e-11
410.0,8.10958e-11
420.0,8.13536e-11
430.0,8.16122e-11
440.0,8.18737e-11
450.0,8.21478e-11
460.0,8.24419e-11
470.0,8.27371e-11
480.0,8.30235e-11
490.0,8.33067e-11
500.0,8.35954e-11
510.0,8.38853e-11
520.0,8.41768e-11
530.0,8.44715e-11
540.0,8.4783e-11
550.0,8.51031e-11
560.0,8.54194e-11
570.0,8.57224e-11
580.0,8.60186e-11
590.0,8.63113e-11
600.0,8.66013e-11
610.0,8.68978e-11
620.0,8.7207e-11
630.0,8.75165e-11
640.0,8.78205e-11
650.0,8.8122e-11
660.0,8.84288e-11
670.0,8.87408e-11
680.0,8.90599e-11
690.0,8.93745e-11
700.0,8.96838e-11
800.0,9.27437e-11
900.0,9.56697e-11
1000.0,9.85451e-11
1100.0,1.01263e-10
1200.0,1.03902e-10
1300.0,1.06395e-10
1400.0,1.0876e-10
1500.0,1.11007e-10
1600.0,1.13127e-10
1700.0,1.15094e-10
1800.0,1.16946e-10
1900.0,1.1869e-10
2000.0,1.20271e-10
2100.0,1.21748e-10
2200.0,1.23094e-10
2300.0,1.2433e-10
2400.0,1.25425e-10
2500.0,1.26405e-10
2600.0,1.27281e-10
2700.0,1.28033e-10
2800.0,1.28649e-10
2900.0,1.29197e-10
3000.0,1.29646e-10
========================================
h+ho2=hooh_W1_Energy_1_34.9759.out
0.3 atm
T,R->P1
250.0,7.8467e-11
260.0,7.84754e-11
270.0,7.8521e-11
280.0,7.85911e-11
290.0,7.86907e-11
300.0,7.88092e-11
310.0,7.89511e-11
320.0,7.91083e-11
