Pressure (atm),Temperature (K),W1_Energy_1_R->P2,W1_Energy_1_R->P3,W1_Energy_1_R->P1,W1_Energy_1_P1->P2,W1_Energy_1_W2->P1,W1_Energy_1_P2->P3
0.01,250.0,5.674307915571374e-09,-3.590232857591036e-08,3.62553335399555e-08,9.903441827431797e-08,-1.5099304138613312,2.1793739607647526e-08
0.01,260.0,6.999018308813524e-08,3.1257315332168125e-07,-3.047668693523019e-07,-7.761266264621473e-07,-0.0843035280632501,-1.692746598715552e-07
0.01,270.0,-2.439269709374033e-07,-9.285508786098809e-07,8.599906551019836e-07,2.2458100897718632e-06,0.011497065414834095,3.5151567538031636e-07
0.01,280.0,2.3315944602706432e-07,9.035239746208484e-07,-7.148463083135502e-07,-1.932286447357412e-06,0.000926306963757545,-2.3456951779346913e-07
0.01,290.0,1.1942408260675657e-07,4.870460713466253e-07,-5.109896166744197e-07,-1.279975402491499e-06,0.0013323898870023795,-2.0565106156290125e-07
0.01,300.0,-1.4113732177547232e-07,-5.272654135438603e-07,3.732782355635102e-07,1.04821608351238e-06,0.0028524053132295644,1.1689827296427724e-07
0.01,310.0,-1.814410873843768e-07,-7.162942538316398e-07,6.76209529875607e-07,1.7391536249662184e-06,0.0015301509710507104,2.5256824679255653e-07
0.01,320.0,-3.8360673575469705e-08,-1.8973270515258903e-07,3.2083493998273585e-07,7.220876767673389e-07,-0.0004889995909792011,1.336071948513312e-07
0.01,330.0,1.182861915760159e-07,4.1308440784424964e-07,-2.2367475689116952e-07,-6.970938372773863e-07,-0.0014244282777040797,-8.090474547032998e-08
0.01,340.0,1.802858844130545e-07,6.689283088762274e-07,-5.600730408145223e-07,-1.4920966143950685e-06,-0.001117759687709744,-2.3315740586836305e-07
0.01,350.0,1.3677975715677958e-07,5.209574431507559e-07,-5.596123323386588e-07,-1.384883173740566e-06,-0.00022218863482305942,-2.5681504815993224e-07
0.01,360.0,3.449287452648807e-08,1.368979944563975e-07,-3.0160465569123924e-07,-6.374934733090572e-07,0.0005983135440323691,-1.6828771648823303e-07
0.01,370.0,-6.932071098471305e-08,-2.6743772914418887e-07,5.285622543164902e-08,3.027996353492127e-07,0.0009965184405792678,-2.4486613394454024e-08
0.01,380.0,-1.3477681874656054e-07,-5.361900203101853e-07,3.573382178499941e-07,1.0565797896662844e-06,0.0009366166345180039,1.1487991401751782e-07
0.01,390.0,-1.4715834266612148e-07,-6.064657085944804e-07,5.248561478548116e-07,1.4183865089666995e-06,0.0005639745026285322,2.083055012045263e-07
0.01,400.0,-1.1240862205298395e-07,-4.941389529453124e-07,5.326398326340982e-07,1.3561412601100014e-06,7.557824732474517e-05,2.3829682964844202e-07
0.01,410.0,-4.812023278470807e-08,-2.6134826350062563e-07,4.058054679730208e-07,9.587696501808594e-07,-0.0003626386679559735,2.0783816347866186e-07
0.01,420.0,2.5042660958727356e-08,1.5485674198556956e-08,1.9501143130183053e-07,3.7281101010405294e-07,-0.0006501948686976229,1.329921551155327e-07
0.01,430.0,8.930496876090103e-08,2.6853086828840414e-07,-4.318577591763353e-08,-2.4975114908911105e-07,-0.000752970897629207,3.5331339601918195e-08
0.01,440.0,1.3279974745677054e-07,4.506654829031645e-07,-2.597703787315311e-07,-7.849117852411807e-07,-0.0006872212288727669,-6.398820016041715e-08
0.01,450.0,1.5021730420029456e-07,5.387273307273719e-07,-4.2025287736144106e-07,-1.151956528962278e-06,-0.0004987280594709087,-1.4794756074830746e-07
0.01,460.0,1.4194033126762082e-07,5.309231932125004e-07,-5.064971591283875e-07,-1.3152157472874364e-06,-0.00024405042573265835,-2.053570685476243e-07
0.01,470.0,1.1243677571165754e-07,4.4127153875613096e-07,-5.151505912927149e-07,-1.2774008770538359e-06,2.3057872741860283e-05,-2.3103806967614505e-07
0.01,480.0,6.849873108103259e-08,2.9323925874238923e-07,-4.542671581504291e-07,-1.0690685227949961e-06,0.00025972194332254543,-2.2504078785974226e-07
0.01,490.0,1.7673463451226797e-08,1.1394216134014257e-07,-3.393537126806988e-07,-7.372767916720041e-07,0.00043736229435189844,-1.913632874490358e-07
0.01,500.0,-3.293528716617597e-08,-7.03975908541754e-08,-1.896261720264601e-07,-3.3556528202565913e-07,0.0005416946042030461,-1.3655741595053113e-07
0.01,510.0,-7.745659622519993e-08,-2.3752698208187253e-07,-2.4915869416294777e-08,8.397260400281407e-08,0.0005707907416695015,-6.841916129621319e-08
0.01,520.0,-1.1166049649018613e-07,-3.708642166932856e-07,1.3660639327289694e-07,4.7607065968905083e-07,0.0005320052127302261,5.092316021545438e-09
0.01,530.0,-1.3306921830283618e-07,-4.6006895731917233e-07,2.7989489542965574e-07,8.054602206014391e-07,0.0004388417037819731,7.665323626462305e-08
0.01,540.0,-1.4084491246063665e-07,-5.007859074397563e-07,3.937788775842898e-07,1.0481132203176336e-06,0.0003079734141069867,1.4011380782735232e-07
0.01,550.0,-1.355404053495896e-07,-4.938459047163803e-07,4.711543161465384e-07,1.1910817342450658e-06,0.000156842281219269,1.9078788447456186e-07
0.01,560.0,-1.1878477489195317e-07,-4.441776363778731e-07,5.087666261385422e-07,1.2313829625324034e-06,1.823293429640828e-06,2.2554744241759782e-07
0.01,570.0,-9.294313846705357e-08,-3.596203071563318e-07,5.067255215161688e-07,1.1742998547522826e-06,-0.00014295864787372488,2.427714126756908e-07
0.01,580.0,-6.079999637509994e-08,-2.4977522256828916e-07,4.678797798929381e-07,1.031429168924668e-06,-0.00026632176074966625,2.421975837566167e-07
0.01,590.0,-2.5281064064714724e-08,-1.2498332712952378e-07,3.971366995928052e-07,8.187619703760327e-07,-0.0003602888423994035,2.247072976785807e-07
0.01,600.0,1.0775671297762808e-08,4.5207611995391136e-09,3.0079019205466014e-07,5.548210675797683e-07,-0.0004200292541719948,1.920832404612741e-07
0.01,610.0,4.4789258900340504e-08,1.292644809718825e-07,1.8591541759444652e-07,2.5911944454193936e-07,-0.00044358639067433294,1.4676944530571572e-07
0.01,620.0,7.455444021330451e-08,2.4100080700919705e-07,5.98433283763231e-08,-4.9156060366142974e-08,-0.00043143749313684365,9.163270723292613e-08
0.01,630.0,9.831455843815078e-08,3.330007572628302e-07,-7.02701489079261e-08,-3.521417221516262e-07,-0.0003860542546803175,2.9757302596401784e-08
0.01,640.0,1.147880360952049e-07,4.001964276749581e-07,-1.977743547695383e-07,-6.340078132155397e-07,-0.0003113733016607421,-3.573488008955545e-08
0.01,650.0,1.2316950036127882e-07,4.392034571805876e-07,-3.1676131187987647e-07,-8.814381392943357e-07,-0.00021236572172948616,-1.01832761223573e-07
0.01,660.0,1.2310041447296044e-07,4.482493793116938e-07,-4.222234418662081e-07,-1.083859571928261e-06,-9.457101675044154e-05,-1.6574484523446325e-07
0.01,670.0,1.1462577861921572e-07,4.270363987611347e-07,-5.101349179645725e-07,-1.233515115981852e-06,3.622772467711777e-05,-2.2498874521050786e-07
0.01,680.0,9.813893056023724e-08,3.7655600528536386e-07,-5.774770724304297e-07,-1.3253928232265313e-06,0.0001743225813014479,-2.774390919245916e-07
0.01,690.0,7.43190565648115e-08,2.988820261743596e-07,-6.222158902977365e-07,-1.357044735056981e-06,0.0003143303588570332,-3.21362949550536e-07
0.01,700.0,4.407013874258835e-08,1.9695065851663195e-07,-6.432461204327381e-07,-1.328329780430997e-06,0.0004513394183875058,-3.554310685387875e-07
0.01,800.0,-3.603330546158866e-07,-1.2780555464373862e-06,2.2261777879981854e-07,1.2724975494169225e-06,0.001040568872350688,-1.0984320287126102e-07
0.01,900.0,-3.925171312321719e-07,-1.5116523461462297e-06,1.4229055679108795e-06,3.6773306586341113e-06,0.00022072474507148663,6.154246158741386e-07
0.01,1000.0,-1.6829845526714008e-08,-2.150215586818337e-07,1.3845954644623494e-06,2.762023025918243e-06,-0.0006312865007623292,8.762971927430885e-07
0.01,1100.0,3.5145912006043457e-07,1.1760422505974282e-06,2.562148152340717e-07,-2.3571360336236771e-07,-0.0007693433723736868,4.4874119635025837e-07
0.01,1200.0,4.41670380202746e-07,1.6384060324334284e-06,-1.0814470017655637e-06,-2.9962232016232456e-06,-0.00035439298790371866,-3.309095619846757e-07
0.01,1300.0,2.4854706228783304e-07,1.0719799312421962e-06,-1.9009596417389847e-06,-4.114715673693684e-06,0.00018545623989653083,-1.0150757194922394e-06
0.01,1400.0,-8.131965282824775e-08,-5.7257694026500886e-08,-1.9012651033043659e-06,-3.369097463678051e-06,0.000544595465463293,-1.2969971776332518e-06
0.01,1500.0,-3.774772894870696e-07,-1.1611302936933933e-06,-1.1440027500493102e-06,-1.2989642979480911e-06,0.000620272836853956,-1.0697396638398508e-06
0.01,1600.0,-5.191213371659468e-07,-1.7973482738137126e-06,9.974903640825731e-08,1.2644680941282325e-06,0.00045535819618847047,-3.902408122379806e-07
0.01,1700.0,-4.5828163299172686e-07,-1.7636107219717985e-06,1.4826657872682938e-06,3.512942224007723e-06,0.00015828313744966813,5.824710885653272e-07
