========================================
h+ho2=hooh_W2_Frequencies_1_0.1.out
1 atm
T,R->P1
200.0,7.91443e-11
210.0,7.88222e-11
220.0,7.87273e-11
230.0,7.86458e-11
240.0,7.85381e-11
250.0,7.83919e-11
260.0,7.85219e-11
270.0,7.84443e-11
280.0,7.86348e-11
290.0,7.86323e-11
300.0,7.88586e-11
310.0,7.89583e-11
320.0,7.9157e-11
330.0,7.92784e-11
340.0,7.94972e-11
350.0,7.97041e-11
360.0,7.99183e-11
370.0,8.0124e-11
380.0,8.03888e-11
390.0,8.05497e-11
400.0,8.08575e-11
410.0,8.11341e-11
420.0,8.13771e-11
430.0,8.15313e-11
440.0,8.19558e-11
450.0,8.21676e-11
460.0,8.24748e-11
470.0,8.27558e-11
480.0,8.30034e-11
490.0,8.33758e-11
500.0,8.35977e-11
510.0,8.39689e-11
520.0,8.41961e-11
530.0,8.45741e-11
540.0,8.48252e-11
550.0,8.50218e-11
560.0,8.54339e-11
570.0,8.57473e-11
580.0,8.60309e-11
590.0,8.62472e-11
600.0,8.66473e-11
610.0,8.69858e-11
620.0,8.72823e-11
630.0,8.74965e-11
640.0,8.79002e-11
650.0,8.81642e-11
660.0,8.84841e-11
670.0,8.87594e-11
680.0,8.90806e-11
690.0,8.9401e-11
700.0,8.96967e-11
800.0,9.27555e-11
900.0,9.56892e-11
1000.0,9.85503e-11
1100.0,1.01276e-10
1200.0,1.03912e-10
1300.0,1.06385e-10
1400.0,1.08762e-10
1500.0,1.11017e-10
1600.0,1.13098e-10
1700.0,1.151e-10
1800.0,1.16947e-10
1900.0,1.18657e-10
2000.0,1.20255e-10
2100.0,1.21724e-10
2200.0,1.23061e-10
2300.0,1.24287e-10
2400.0,1.25385e-10
========================================
h+ho2=hooh_W1_Frequencies_1_0.1.out
1 atm
T,R->P1
200.0,7.91443e-11
210.0,7.88223e-11
220.0,7.87273e-11
230.0,7.86459e-11
240.0,7.85381e-11
250.0,7.8392e-11
260.0,7.85219e-11
270.0,7.84444e-11
280.0,7.86349e-11
290.0,7.86323e-11
300.0,7.88586e-11
310.0,7.89584e-11
320.0,7.9157e-11
330.0,7.92785e-11
340.0,7.94973e-11
350.0,7.97041e-11
360.0,7.99183e-11
370.0,8.0124e-11
380.0,8.03888e-11
390.0,8.05498e-11
400.0,8.08576e-11
410.0,8.11341e-11
420.0,8.13771e-11
430.0,8.15314e-11
440.0,8.19559e-11
450.0,8.21677e-11
460.0,8.24749e-11
470.0,8.27559e-11
480.0,8.30034e-11
490.0,8.33758e-11
500.0,8.35978e-11
510.0,8.3969e-11
520.0,8.41962e-11
530.0,8.45742e-11
540.0,8.48252e-11
550.0,8.50219e-11
560.0,8.5434e-11
570.0,8.57474e-11
580.0,8.6031e-11
590.0,8.62474e-11
600.0,8.66474e-11
610.0,8.6986e-11
620.0,8.72824e-11
630.0,8.74967e-11
640.0,8.79004e-11
650.0,8.81643e-11
660.0,8.84843e-11
670.0,8.87595e-11
680.0,8.90807e-11
690.0,8.94012e-11
700.0,8.96969e-11
800.0,9.27559e-11
900.0,9.56896e-11
1000.0,9.85509e-11
1100.0,1.01276e-10
1200.0,1.03913e-10
1300.0,1.06387e-10
1400.0,1.08764e-10
1500.0,1.11021e-10
1600.0,1.13104e-10
1700.0,1.15107e-10
1800.0,1.16956e-10
1900.0,1.1867e-10
2000.0,1.20266e-10
2100.0,1.2174e-10
2200.0,1.23084e-10
2300.0,1.24314e-10
2400.0,1.25416e-10
========================================
h+ho2=hooh_B6_Frequencies_1_0.1.out
1 atm
T,R->P1
200.0,7.90686e-11
210.0,7.87469e-11
220.0,7.86519e-11
230.0,7.85706e-11
240.0,7.84626e-11
250.0,7.83165e-11
260.0,7.84458e-11
270.0,7.83682e-11
280.0,7.85578e-11
290.0,7.8555e-11
300.0,7.87802e-11
310.0,7.88795e-11
320.0,7.90771e-11
330.0,7.9198e-11
340.0,7.94156e-11
350.0,7.96217e-11
360.0,7.98347e-11
370.0,8.00395e-11
380.0,8.0303e-11
390.0,8.04632e-11
400.0,8.07694e-11
410.0,8.10449e-11
420.0,8.12865e-11
430.0,8.14397e-11
440.0,8.18626e-11
450.0,8.20732e-11
460.0,8.23788e-11
470.0,8.26584e-11
480.0,8.29045e-11
490.0,8.32754e-11
500.0,8.34958e-11
510.0,8.38655e-11
520.0,8.40911e-11
530.0,8.44674e-11
540.0,8.47168e-11
550.0,8.49119e-11
560.0,8.53221e-11
570.0,8.56339e-11
580.0,8.59157e-11
590.0,8.61303e-11
600.0,8.65285e-11
610.0,8.68652e-11
620.0,8.71598e-11
630.0,8.73723e-11
640.0,8.77739e-11
650.0,8.80361e-11
660.0,8.8354e-11
670.0,8.86274e-11
680.0,8.89465e-11
690.0,8.9265e-11
700.0,8.95586e-11
800.0,9.25961e-11
900.0,9.55069e-11
1000.0,9.83438e-11
1100.0,1.01044e-10
1200.0,1.03655e-10
1300.0,1.06102e-10
1400.0,1.08452e-10
1500.0,1.10682e-10
1600.0,1.12737e-10
1700.0,1.14715e-10
1800.0,1.16538e-10
1900.0,1.18224e-10
2000.0,1.19801e-10
2100.0,1.2125e-10
2200.0,1.22567e-10
2300.0,1.23775e-10
2400.0,1.24858e-10
========================================
h+ho2=hooh_B5_Frequencies_1_0.1.out
1 atm
T,R->P1
200.0,7.99995e-11
210.0,7.96775e-11
220.0,7.95849e-11
230.0,7.9506e-11
240.0,7.94007e-11
250.0,7.92566e-11
260.0,7.93915e-11
270.0,7.93168e-11
280.0,7.9513e-11
290.0,7.95143e-11
300.0,7.97468e-11
310.0,7.98516e-11
320.0,8.00563e-11
330.0,8.01832e-11
340.0,8.04084e-11
350.0,8.06217e-11
360.0,8.08425e-11
370.0,8.10547e-11
380.0,8.13268e-11
390.0,8.14942e-11
400.0,8.18098e-11
410.0,8.20941e-11
420.0,8.23445e-11
430.0,8.25053e-11
440.0,8.29393e-11
450.0,8.31585e-11
460.0,8.34741e-11
470.0,8.37634e-11
480.0,8.4019e-11
490.0,8.44008e-11
500.0,8.46307e-11
510.0,8.50115e-11
520.0,8.52469e-11
530.0,8.56347e-11
540.0,8.58944e-11
550.0,8.60992e-11
560.0,8.65217e-11
570.0,8.68447e-11
580.0,8.71376e-11
590.0,8.73627e-11
600.0,8.77735e-11
610.0,8.81222e-11
620.0,8.84285e-11
630.0,8.86518e-11
640.0,8.90667e-11
650.0,8.93403e-11
660.0,8.96707e-11
670.0,8.99561e-11
680.0,9.02879e-11
690.0,9.06191e-11
700.0,9.09253e-11
800.0,9.4096e-11
900.0,9.71492e-11
1000.0,1.00138e-10
1100.0,1.02999e-10
1200.0,1.05779e-10
1300.0,1.08402e-10
1400.0,1.10935e-10
1500.0,1.13355e-10
1600.0,1.15605e-10
1700.0,1.17783e-10
1800.0,1.19811e-10
1900.0,1.21707e-10
2000.0,1.23494e-10
2100.0,1.25158e-10
2200.0,1.26691e-10
2300.0,1.28117e-10
2400.0,1.29416e-10
========================================
h+ho2=hooh_W3_Frequencies_1_0.1.out
1 atm
T,R->P1
200.0,7.91443e-11
210.0,7.88223e-11
220.0,7.87273e-11
230.0,7.86459e-11
240.0,7.85381e-11
250.0,7.8392e-11
260.0,7.85219e-11
270.0,7.84444e-11
280.0,7.86349e-11
290.0,7.86323e-11
300.0,7.88586e-11
310.0,7.89584e-11
320.0,7.9157e-11
330.0,7.92785e-11
340.0,7.94973e-11
350.0,7.97041e-11
360.0,7.99183e-11
370.0,8.0124e-11
380.0,8.03888e-11
390.0,8.05498e-11
400.0,8.08576e-11
410.0,8.11341e-11
420.0,8.13771e-11
430.0,8.15314e-11
440.0,8.19558e-11
450.0,8.21677e-11
460.0,8.24748e-11
470.0,8.27558e-11
480.0,8.30034e-11
490.0,8.33758e-11
500.0,8.35977e-11
510.0,8.3969e-11
520.0,8.41962e-11
530.0,8.45741e-11
540.0,8.48252e-11
550.0,8.50219e-11
560.0,8.54339e-11
570.0,8.57474e-11
580.0,8.60309e-11
590.0,8.62473e-11
600.0,8.66473e-11
610.0,8.69859e-11
620.0,8.72823e-11
630.0,8.74966e-11
640.0,8.79003e-11
650.0,8.81642e-11
660.0,8.84842e-11
670.0,8.87594e-11
680.0,8.90806e-11
690.0,8.94011e-11
700.0,8.96967e-11
800.0,9.27556e-11
900.0,9.56892e-11
1000.0,9.85503e-11
1100.0,1.01276e-10
1200.0,1.03912e-10
1300.0,1.06386e-10
1400.0,1.08762e-10
1500.0,1.11017e-10
1600.0,1.13098e-10
1700.0,1.151e-10
1800.0,1.16947e-10
1900.0,1.18657e-10
2000.0,1.20255e-10
2100.0,1.21724e-10
2200.0,1.23061e-10
2300.0,1.24287e-10
2400.0,1.25385e-10
========================================
h+ho2=hooh_W2_Frequencies_1_0.1.out
1 atm
T,R->P2
200.0,4.71373e-13
210.0,4.72256e-13
220.0,4.75159e-13
230.0,4.77939e-13
240.0,4.8145e-13
250.0,4.84164e-13
260.0,4.89805e-13
270.0,4.93234e-13
280.0,4.99896e-13
290.0,5.04158e-13
300.0,5.11555e-13
310.0,5.17147e-13
320.0,5.24562e-13
330.0,5.30671e-13
340.0,5.38768e-13
350.0,5.45799e-13
360.0,5.54203e-13
370.0,5.61856e-13
380.0,5.70863e-13
390.0,5.78413e-13
400.0,5.88496e-13
410.0,5.97233e-13
420.0,6.07126e-13
430.0,6.1568e-13
440.0,6.26875e-13
450.0,6.36415e-13
460.0,6.47221e-13
470.0,6.57688e-13
480.0,6.68613e-13
490.0,6.79831e-13
500.0,6.91139e-13
510.0,7.02681e-13
520.0,7.14433e-13
530.0,7.26516e-13
540.0,7.38721e-13
550.0,7.50483e-13
