========================================
h+ho2=hoohFINALNOCOMMENTS_W1_Energy_1_0.0.out
0.01 atm
T,R->P1
250.0,7.69187e-11
260.0,7.69198e-11
270.0,7.69574e-11
280.0,7.70189e-11
290.0,7.71091e-11
300.0,7.72179e-11
310.0,7.73494e-11
320.0,7.74958e-11
330.0,7.76603e-11
340.0,7.78366e-11
350.0,7.80256e-11
360.0,7.82232e-11
370.0,7.84384e-11
380.0,7.86582e-11
390.0,7.88879e-11
400.0,7.91259e-11
410.0,7.93679e-11
420.0,7.96113e-11
430.0,7.98554e-11
440.0,8.01021e-11
450.0,8.03611e-11
460.0,8.06394e-11
470.0,8.09185e-11
480.0,8.1189e-11
490.0,8.14561e-11
500.0,8.17284e-11
510.0,8.20017e-11
520.0,8.22765e-11
530.0,8.25541e-11
540.0,8.28481e-11
550.0,8.31503e-11
560.0,8.34485e-11
570.0,8.37337e-11
580.0,8.40119e-11
590.0,8.42864e-11
600.0,8.45583e-11
610.0,8.48363e-11
620.0,8.51265e-11
630.0,8.54169e-11
640.0,8.57016e-11
650.0,8.59838e-11
660.0,8.6271e-11
670.0,8.65631e-11
680.0,8.68619e-11
690.0,8.71561e-11
700.0,8.74451e-11
800.0,9.02917e-11
900.0,9.29895e-11
1000.0,9.56202e-11
1100.0,9.8079e-11
1200.0,1.00445e-10
1300.0,1.02651e-10
1400.0,1.04716e-10
1500.0,1.06651e-10
1600.0,1.0845e-10
1700.0,1.10084e-10
1800.0,1.11596e-10
1900.0,1.12991e-10
2000.0,1.14221e-10
2100.0,1.15339e-10
2200.0,1.16324e-10
2300.0,1.17187e-10
2400.0,1.17921e-10
2500.0,1.18535e-10
2600.0,1.19046e-10
2700.0,1.19435e-10
2800.0,1.19728e-10
2900.0,1.19917e-10
3000.0,1.20007e-10
========================================
h+ho2=hoohFINALNOCOMMENTS_W1_Energy_1_0.0.out
0.09 atm
T,R->P1
250.0,7.69187e-11
260.0,7.69198e-11
270.0,7.69574e-11
280.0,7.70189e-11
290.0,7.71092e-11
300.0,7.72179e-11
310.0,7.73494e-11
320.0,7.74958e-11
330.0,7.76604e-11
340.0,7.78367e-11
350.0,7.80256e-11
360.0,7.82232e-11
370.0,7.84384e-11
380.0,7.86582e-11
390.0,7.88879e-11
400.0,7.91259e-11
410.0,7.93679e-11
420.0,7.96113e-11
430.0,7.98554e-11
440.0,8.01021e-11
450.0,8.03611e-11
460.0,8.06394e-11
470.0,8.09185e-11
480.0,8.1189e-11
490.0,8.14561e-11
500.0,8.17284e-11
510.0,8.20017e-11
520.0,8.22765e-11
530.0,8.25541e-11
540.0,8.28481e-11
550.0,8.31503e-11
560.0,8.34485e-11
570.0,8.37336e-11
580.0,8.40119e-11
590.0,8.42864e-11
600.0,8.45583e-11
610.0,8.48363e-11
620.0,8.51265e-11
630.0,8.54168e-11
640.0,8.57016e-11
650.0,8.59838e-11
660.0,8.6271e-11
670.0,8.65631e-11
680.0,8.68619e-11
690.0,8.71561e-11
700.0,8.7445e-11
800.0,9.02917e-11
900.0,9.29894e-11
1000.0,9.56201e-11
1100.0,9.80788e-11
1200.0,1.00444e-10
1300.0,1.02651e-10
1400.0,1.04716e-10
1500.0,1.06651e-10
1600.0,1.08449e-10
1700.0,1.10083e-10
1800.0,1.11595e-10
1900.0,1.1299e-10
2000.0,1.14219e-10
2100.0,1.15336e-10
2200.0,1.1632e-10
2300.0,1.17184e-10
2400.0,1.17917e-10
2500.0,1.1853e-10
2600.0,1.1904e-10
2700.0,1.19428e-10
2800.0,1.19707e-10
2900.0,1.19898e-10
3000.0,1.19988e-10
========================================
h+ho2=hoohFINALNOCOMMENTS_W1_Energy_1_0.0.out
0.1 atm
T,R->P1
250.0,7.69187e-11
260.0,7.69198e-11
270.0,7.69574e-11
280.0,7.70189e-11
290.0,7.71092e-11
300.0,7.72179e-11
310.0,7.73494e-11
320.0,7.74958e-11
330.0,7.76604e-11
340.0,7.78367e-11
350.0,7.80256e-11
360.0,7.82232e-11
370.0,7.84384e-11
380.0,7.86582e-11
390.0,7.88879e-11
400.0,7.91259e-11
410.0,7.93679e-11
420.0,7.96113e-11
430.0,7.98554e-11
440.0,8.01021e-11
450.0,8.03611e-11
460.0,8.06394e-11
470.0,8.09186e-11
480.0,8.1189e-11
490.0,8.14561e-11
500.0,8.17284e-11
510.0,8.20017e-11
520.0,8.22765e-11
