    E, kcal/mol    D, mol/kcal        W1v->W1        W1v->P1        W1v->P4        W1v->P5
            -30              0            ***            ***            ***            ***
            -29              0            ***            ***            ***            ***
            -28              0            ***            ***            ***            ***
            -27              0            ***            ***            ***            ***
            -26              0            ***            ***            ***            ***
            -25              0            ***            ***            ***            ***
            -24              0            ***            ***            ***            ***
            -23              0            ***            ***            ***            ***
            -22              0            ***            ***            ***            ***
            -21              0            ***            ***            ***            ***
            -20              0            ***            ***            ***            ***
            -19              0            ***            ***            ***            ***
            -18              0            ***            ***            ***            ***
            -17              0            ***            ***            ***            ***
            -16              0            ***            ***            ***            ***
            -15              0            ***            ***            ***            ***
            -14              0            ***            ***            ***            ***
            -13              0            ***            ***            ***            ***
            -12              0            ***            ***            ***            ***
            -11              0            ***            ***            ***            ***
            -10              0            ***            ***            ***            ***
             -9              0            ***            ***            ***            ***
             -8              0            ***            ***            ***            ***
             -7         386550              0              0    3.03861e+08              0
             -6     6.9545e+06              0              0     6.0884e+10         138672
             -5    4.37475e+07              0              0    1.35627e+11         802465
             -4    1.72752e+08              0              0     2.0573e+11     2.0539e+06
             -3    5.30383e+08              0              0    2.67767e+11     4.1699e+06
             -2    1.38254e+09              0              0    3.20974e+11    7.62017e+06
             -1    3.21821e+09              0              0    3.65447e+11    1.30729e+07
   -1.38789e-14     6.8804e+09              0              0    4.03158e+11    2.15155e+07
              1    1.37523e+10    5.28232e+10    3.00093e+11    4.36094e+11    3.43655e+07
              2    2.60126e+10    8.65764e+10    1.86248e+12    4.65647e+11    5.35767e+07
              3    4.69925e+10    1.17922e+11    4.50271e+12      4.925e+11    8.16491e+07
              4    8.16554e+10    1.47275e+11    7.24637e+12    5.17021e+11    1.21477e+08
              5    1.37244e+11    1.73994e+11    9.80051e+12    5.39475e+11       1.76e+08
              6    2.24123e+11    1.94418e+11    1.22473e+13     5.6013e+11    2.47849e+08
              7    3.56863e+11    2.12483e+11    1.45034e+13    5.79235e+11    3.39163e+08
              8     5.5566e+11    2.26146e+11    1.64972e+13    5.96961e+11    4.51579e+08
              9    8.48147e+11     2.3752e+11    1.81937e+13    6.13426e+11    5.86274e+08
             10    1.27166e+12    2.46901e+11    1.96066e+13     6.2874e+11    7.44008e+08
             11    1.87607e+12    2.54867e+11     2.0754e+13    6.43012e+11    9.25138e+08
             12    2.72732e+12    2.60894e+11    2.16996e+13    6.56343e+11    1.12967e+09
             13    3.91176e+12    2.65582e+11    2.24784e+13    6.68815e+11    1.35732e+09
             14    5.54148e+12    2.69569e+11    2.30986e+13      6.805e+11    1.60761e+09
             15    7.76084e+12    2.72678e+11    2.35767e+13     6.9146e+11    1.87994e+09
             16    1.07543e+13    2.74805e+11    2.39457e+13    7.01752e+11     2.1736e+09
             17    1.47558e+13    2.76024e+11    2.42191e+13     7.1143e+11    2.48778e+09
             18    2.00605e+13    2.76813e+11    2.44057e+13    7.20536e+11    2.82166e+09
             19    2.70378e+13    2.77239e+11    2.45156e+13    7.29111e+11    3.17437e+09
             20    3.61481e+13    2.77241e+11    2.45594e+13     7.3719e+11    3.54505e+09
    E, kcal/mol    D, mol/kcal        W2v->W1        W2v->W2        W2v->P2
            -30              0            ***            ***            ***
            -29              0            ***            ***            ***
            -28         253388              0              0              0
            -27    3.37978e+06              0              0              0
            -26    1.92568e+07              0              0              0
            -25    7.26649e+07              0              0              0
            -24     2.1401e+08              0              0              0
            -23     5.4291e+08    4.46573e+11     4.6554e+11    2.63099e+11
            -22    1.23738e+09    9.77738e+11    1.46008e+12    9.05342e+12
            -21     2.6005e+09    1.21839e+12    2.52615e+12    3.15433e+13
            -20     5.1245e+09     1.3156e+12     3.0459e+12    6.05364e+13
            -19    9.57594e+09    1.39886e+12    3.29663e+12    8.70471e+13
            -18    1.71182e+10     1.5006e+12    3.49442e+12    1.08602e+14
            -17    2.94716e+10     1.5601e+12    3.65104e+12    1.27368e+14
            -16    4.91274e+10    1.57905e+12    3.70725e+12    1.44272e+14
            -15    7.96271e+10    1.57881e+12    3.68544e+12    1.58561e+14
            -14    1.25923e+11    1.57381e+12    3.63775e+12    1.69866e+14
            -13    1.94838e+11    1.55915e+12    3.57425e+12    1.78637e+14
            -12    2.95663e+11    1.53575e+12    3.49509e+12    1.85529e+14
            -11    4.40886e+11    1.50769e+12    3.41059e+12    1.90887e+14
            -10    6.47119e+11    1.47642e+12     3.3229e+12    1.94943e+14
             -9    9.36233e+11    1.44294e+12    3.23246e+12    1.97889e+14
             -8    1.33676e+12    1.40847e+12    3.14122e+12    1.99861e+14
             -7    1.88559e+12    1.37474e+12    3.05274e+12    2.01071e+14
             -6    2.63007e+12    1.34053e+12    2.96501e+12    2.01692e+14
             -5     3.6305e+12    1.30638e+12     2.8779e+12    2.01821e+14
             -4    4.96314e+12    1.27302e+12    2.79276e+12    2.01489e+14
             -3    6.72383e+12    1.24081e+12    2.71029e+12    2.00759e+14
             -2    9.03226e+12    1.20936e+12     2.6299e+12    1.99708e+14
             -1    1.20371e+13    1.17859e+12     2.5518e+12    1.98401e+14
   -1.38789e-14     1.5922e+13    1.14885e+12    2.47646e+12    1.96874e+14
              1    2.09125e+13    1.12015e+12    2.40366e+12     1.9516e+14
              2    2.72846e+13    1.09235e+12    2.33325e+12    1.93285e+14
              3    3.53741e+13    1.06543e+12    2.26537e+12    1.91285e+14
              4    4.55881e+13     1.0395e+12    2.19999e+12    1.89187e+14
              5    5.84177e+13    1.01449e+12    2.13688e+12     1.8701e+14
              6    7.44534e+13    9.90337e+11    2.07601e+12    1.84768e+14
              7     9.4402e+13    9.67065e+11    2.01747e+12    1.82474e+14
              8    1.19107e+14    9.44669e+11    1.96111e+12    1.80142e+14
              9    1.49571e+14    9.23092e+11     1.9068e+12    1.77785e+14
             10    1.86983e+14    9.02275e+11    1.85452e+12    1.75411e+14
             11    2.32746e+14    8.82235e+11    1.80425e+12    1.73029e+14
             12    2.88513e+14    8.62939e+11    1.75586e+12    1.70644e+14
             13    3.56223e+14    8.44331e+11    1.70927e+12    1.68262e+14
             14    4.38149e+14    8.26384e+11    1.66442e+12    1.65888e+14
             15    5.36941e+14    8.09093e+11    1.62125e+12     1.6353e+14
             16    6.55689e+14    7.92427e+11    1.57968e+12    1.61188e+14
             17    7.97977e+14    7.76343e+11    1.53965e+12    1.58866e+14
