*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P
            K          atm        1/sec                         0            0
          200          0.1  9.32624e+08    0.0622645  0.000739207    0.0117385
          200          0.5  4.66312e+09    0.0484786  0.000299161   0.00477019
          200            1  9.32624e+09    0.0440456  0.000198644    0.0031287
          200            2  1.86525e+10    0.0403126  0.000130245   0.00200977
          200            4  3.73049e+10    0.0371589  8.42807e-05   0.00126327
          210          0.1  8.95381e+08    0.0578326  0.000563633   0.00982561
          210          0.5   4.4769e+09    0.0460009  0.000238529   0.00414102
          210            1  8.95381e+09    0.0421059  0.000161408   0.00276501
          210            2  1.79076e+10    0.0387853   0.00010785   0.00181058
          210            4  3.58152e+10    0.0359481  7.11242e-05   0.00116167
          220          0.1   8.6169e+08     0.054794  0.000462396   0.00866592
          220          0.5  4.30845e+09    0.0443039  0.000203538   0.00378477
          220            1   8.6169e+09    0.0407829  0.000140097   0.00257092
          220            2  1.72338e+10    0.0377497  9.52323e-05   0.00171453
          220            4  3.44676e+10    0.0351329  6.39042e-05   0.00112158
          230          0.1  8.31044e+08    0.0515016  0.000369617   0.00742064
          230          0.5  4.15522e+09     0.042342  0.000168779   0.00334881
          230            1  8.31044e+09    0.0392079  0.000118039   0.00231088
          230            2  1.66209e+10    0.0364797  8.15415e-05   0.00156711
          230            4  3.32418e+10    0.0341029  5.56166e-05   0.00104347
          240          0.1  8.03032e+08    0.0485206  0.000298774   0.00637496
          240          0.5  4.01516e+09    0.0405078  0.000141094   0.00296665
          240            1  8.03032e+09    0.0377162  0.000100141   0.00207747
          240            2  1.60606e+10    0.0352619  7.02185e-05   0.00143093
          240            4  3.21213e+10    0.0331036  4.86258e-05  0.000968609
          250          0.1  7.77311e+08    0.0465337  0.000259063   0.00580246
          250          0.5  3.88656e+09    0.0392971  0.000126091   0.00278146
          250            1  7.77311e+09    0.0367379   9.0702e-05   0.00197528
          250            2  1.55462e+10    0.0344692  6.44778e-05   0.00138079
          250            4  3.10924e+10    0.0324585  4.52794e-05  0.000949288
          260          0.1    7.536e+08     0.044074  0.000214127   0.00503876
          260          0.5    3.768e+09    0.0376994  0.000107247   0.00248154
          260            1    7.536e+09    0.0354094  7.81329e-05   0.00178503
          260            2   1.5072e+10    0.0333615  5.62669e-05   0.00126479
          260            4   3.0144e+10    0.0315313   4.0039e-05  0.000882019
          270          0.1   7.3166e+08    0.0417575  0.000176631   0.00434981
          270          0.5   3.6583e+09    0.0361469  9.08515e-05   0.00219704
          270            1   7.3166e+09    0.0341019  6.69775e-05    0.0015994
          270            2  1.46332e+10     0.032258  4.88212e-05   0.00114764
          270            4  2.92664e+10     0.030597  3.51734e-05  0.000811013
          280          0.1  7.11291e+08    0.0406951  0.000163943    0.0041763
          280          0.5  3.55645e+09    0.0354648  8.63546e-05   0.00216245
          280            1  7.11291e+09    0.0335397   6.4351e-05   0.00159263
          280            2  1.42258e+10    0.0317939   4.7429e-05    0.0011568
          280            4  2.84516e+10    0.0302125  3.45615e-05  0.000827969
          290          0.1  6.92323e+08    0.0387901   0.00013825    0.0036596
          290          0.5  3.46162e+09    0.0341344  7.45207e-05    0.0019378
          290            1  6.92323e+09    0.0324002  5.61108e-05    0.0014423
          290            2  1.38465e+10    0.0308166  4.17973e-05   0.00105926
          290            4  2.76929e+10    0.0293723  3.07911e-05  0.000767025
          300          0.1  6.74611e+08    0.0375021  0.000124158   0.00339585
          300          0.5  3.37305e+09    0.0332305  6.83574e-05   0.00183726
          300            1  6.74611e+09    0.0316243  5.19659e-05   0.00138131
          300            2  1.34922e+10    0.0301496  3.90935e-05   0.00102525
          300            4  2.69844e+10    0.0287974  2.90928e-05  0.000750647
          310          0.1  6.58028e+08    0.0367359   0.00011859   0.00333501
          310          0.5  3.29014e+09    0.0327028   6.6579e-05   0.00184211
          310            1  6.58028e+09    0.0311753  5.10663e-05    0.0013984
          310            2  1.31606e+10    0.0297667  3.87714e-05   0.00104847
          310            4  2.63211e+10    0.0284696  2.91278e-05  0.000775786
          320          0.1  6.42464e+08     0.035385  0.000104158   0.00301695
          320          0.5  3.21232e+09    0.0317198  5.95919e-05     0.001698
          320            1  6.42464e+09    0.0303193  4.60999e-05   0.00130039
          320            2  1.28493e+10     0.029021  3.53103e-05  0.000984009
          320            4  2.56986e+10    0.0278192  2.67688e-05  0.000735151
          330          0.1  6.27826e+08    0.0347125  0.000100153   0.00297429
          330          0.5  3.13913e+09    0.0312381  5.83033e-05   0.00170502
          330            1  6.27826e+09    0.0299022  4.54617e-05   0.00131699
          330            2  1.25565e+10    0.0286592  3.51079e-05   0.00100552
          330            4  2.51131e+10    0.0275044  2.68413e-05  0.000758266
          340          0.1   6.1403e+08    0.0337481  9.20426e-05    0.0028052
          340          0.5  3.07015e+09      0.03052  5.44819e-05   0.00163577
          340            1   6.1403e+09    0.0292702  4.28055e-05    0.0012736
          340            2  1.22806e+10    0.0281026  3.33165e-05  0.000980524
