Pressure (atm),Temperature (K),B1_Frequencies_1_R1->P1,B1_Energy_1_R1->P1,B4_Energy_1_R1->P1,W1_Frequencies_1_R1->P1,B3_Frequencies_1_R1->P1,R1_Frequencies_1_R1->P1,B2_Frequencies_1_R1->P1,B4_SymmetryFactor_1_R1->P1,B1_SymmetryFactor_1_R1->P1,colrel_Sigmas_R1->P1,W3_SymmetryFactor_1_R1->P1,B3_SymmetryFactor_1_R1->P1,W3_Energy_1_R1->P1,P1_Frequencies_1_R1->P1,B2_SymmetryFactor_1_R1->P1,B4_Frequencies_1_R1->P1,W1_SymmetryFactor_1_R1->P1,colrel_PowerOne_R1->P1,colrel_FactorOne_R1->P1,R1_Energy_1_R1->P1,W3_Frequencies_1_R1->P1,P1_SymmetryFactor_1_R1->P1,colrel_Epsilons_R1->P1,B2_Energy_1_R1->P1,B3_Energy_1_R1->P1,R1_SymmetryFactor_1_R1->P1,W1_Energy_1_R1->P1,P1_Energy_1_R1->P1
0.1,200.0,-0.0026931273441653525,-0.00019693226217060047,-0.00010380694295597336,-8.685634191456237e-05,-0.012408922211698158,0.0187079381987804,-0.007267739523441012,9.05799906462479e-06,-0.0008558594779847177,-0.00011121392839944741,1.9935832892232405e-05,-0.6223326708728651,-0.00010732616745386532,0.0,-0.3551887654158038,-2.3573340872012995e-05,-0.00011724212026764606,-8.76379742377361e-05,-0.00011219039607903155,2.5160488785276787,-6.363676744614643e-05,0.0,-0.00010631046109914624,-0.8499670939428429,-1.52055758599022,0.9999376991422996,2.6216639006003518e-05,0.0
0.1,210.0,-0.0024659670608420596,-0.00016735042700444762,-2.3168683899027774e-05,-9.011224663531702e-06,-0.014683315087657899,0.02361576013104728,-0.008837351358211648,-0.0004326890442831702,-0.0006782676165157877,-2.2771599645407174e-05,6.929601155403154e-06,-0.6083352811328088,-5.67910376656111e-06,0.0,-0.3683446328984365,-0.0007343142252675561,-6.930321846595529e-06,-2.074498159685101e-06,-3.16374811467796e-05,2.3962553618429694,1.577614917527307e-05,0.0,-1.243428724263476e-05,-0.8431446907745073,-1.4171895016662759,0.9999342310337578,-1.1354754262508774e-06,0.0
0.1,220.0,-0.0029762841350957263,-0.0002110244665135781,1.5214803996151151e-05,2.9802434380462367e-06,-0.01838617688249006,0.029145967265320625,-0.01218792514752327,0.00023481571007896617,-0.0008178295142523741,-9.529504842419818e-06,7.020379466648945e-06,-0.5954628766640961,5.9764238196594645e-06,0.0,-0.381437296880763,0.0004136097378806574,6.13448901382461e-06,8.021016737362923e-06,-1.6486290350784266e-05,2.28733091093629,2.7052446884327687e-05,0.0,1.542539797927818e-06,-0.8363417873255226,-1.3260871147975362,0.9999469902720171,-2.2953741937975492e-06,0.0
0.1,230.0,-0.0031824010290618173,-0.00021147384824833613,1.3666630524734352e-05,1.29487082761834e-06,-0.02176428853881399,0.03529896174012081,-0.015123967374236581,0.0002828279192214954,-0.0008703538303077629,-1.1758120372421278e-05,8.535394739921055e-06,-0.5832686626051545,1.4245436399483894e-06,0.0,-0.39338984016997947,0.0004867717502675514,1.3098814351005657e-06,4.068740933667164e-06,-1.6527753063538533e-05,2.1878932956456216,2.2979156476600853e-05,0.0,-9.361640879700853e-07,-0.8284503511535972,-1.244380907456027,0.9999672529359016,9.667260065409707e-08,0.0
0.1,240.0,-0.0031990757370045364,-0.00018857076537484227,1.602367432718792e-07,-7.543432431055333e-07,-0.025078610015208707,0.042058468799544994,-0.018020602086007885,1.313121104880986e-05,-0.0008580918382464914,-1.408958902649602e-05,9.038473493253151e-06,-0.5717592399684239,-1.836921810403126e-06,0.0,-0.40442939121470417,1.7596835984739464e-05,-2.336528331429554e-06,8.719856935082042e-07,-1.7888881750722806e-05,2.0967492048055902,1.83845994260193e-05,0.0,-3.6718484857701644e-06,-0.8194910394080346,-1.1707150371950545,0.9999862570380058,1.2834022001259189e-06,0.0
0.1,250.0,-0.0032175664342852742,-0.000167564206992411,-9.840716789815288e-06,-1.2014862700857968e-06,-0.028637539466678578,0.049398853066877,-0.02132556315578484,-0.00022414731622060594,-0.0008428313541947228,-1.426941840516009e-05,8.610284018732975e-06,-0.5609487160485691,-2.0886218113297137e-06,0.0,-0.4148295016796973,-0.000389765913256574,-2.7803727591285687e-06,5.789851912865281e-08,-1.7940725752965775e-05,2.012894094959656,1.5995321594967733e-05,0.0,-4.299965362177776e-06,-0.8097265066118796,-1.1041345257125927,1.0000000110474558,1.2157336243863244e-06,0.0
0.1,260.0,-0.0033223818208022184,-0.00015894367947536688,-1.2449311613986326e-05,-6.679081426144209e-07,-0.03253405849360294,0.057293697055957306,-0.025202810437742446,-0.0003038282739901604,-0.0008546455606796865,-1.3089758424293507e-05,7.75111951555532e-06,-0.5508047289888881,-8.055590731108545e-07,0.0,-0.42472423115450214,-0.00052194409011216,-1.5287497082455464e-06,5.145507796923725e-07,-1.695573842585324e-05,1.9354827434455808,1.5318655365745272e-05,0.0,-3.6192644723563846e-06,-0.7994098873168903,-1.0438096250940998,1.000007959384223,6.090441110725054e-07,0.0
0.1,270.0,-0.003517024448341602,-0.00016282003309312247,-9.29581901237527e-06,9.115106657418961e-08,-0.03672777062970036,0.06571868027467977,-0.029629369812218125,-0.0002443668677264957,-0.0008968632537449677,-1.1518700044456125e-05,6.8390109895818354e-06,-0.5412697833863958,6.84617677531828e-07,0.0,-0.434152622404504,-0.00041318603564122333,9.296164469469336e-09,1.192103683165025e-06,-1.5587950993297445e-05,1.8637989280861436,1.5433627839616884e-05,0.0,-2.590465830974835e-06,-0.7887344669147952,-0.9889901044523959,1.000011169478137,-1.8138957546976503e-08,0.0
0.1,280.0,-0.0037710318649032343,-0.00017512211196276853,-3.4170481180643753e-06,6.623730659543524e-07,-0.041136836552814325,0.07465139095122289,-0.03451487878068221,-0.00011265890224913653,-0.0009607056508648825,-1.0119692912114087e-05,6.066259856747379e-06,-0.5322824475114826,1.7274535035850418e-06,0.0,-0.4431169997912604,-0.00018045315205145922,1.1206046549704586e-06,1.56495600155728e-06,-1.4275148178336368e-05,1.7972305730938667,1.569221818441109e-05,0.0,-1.7495133273299332e-06,-0.7778390187238966,-0.9390074723466011,1.0000111582529008,-4.365927440942281e-07,0.0
0.1,290.0,-0.004049779401265788,-0.0001913276668077308,2.6212555868258946e-06,9.225627262912483e-07,-0.045686679776094793,0.0840703464332817,-0.039769108249903366,2.816717951551507e-05,-0.001035134245998325,-9.098155738131492e-06,5.492767659002208e-06,-0.523787735342667,2.166829627556902e-06,0.0,-0.4516164333393004,6.660246366410212e-05,1.619284340495779e-06,1.503806479326628e-06,-1.3206762648972129e-05,1.7352505056084955,1.577232463077002e-05,0.0,-1.269135443325999e-06,-0.7668230966393623,-0.89327807158021,1.0000093169678768,-6.06845367503558e-07,0.0
0.1,300.0,-0.004327354429063148,-0.00020801421689586693,7.255884419171475e-06,9.065597039743779e-07,-0.05032593718879815,0.0939541989108354,-0.04532713491339569,0.00013712108806222174,-0.0011113584979165036,-8.452797615607168e-06,5.1064534171159555e-06,-0.5157398675108231,2.100304600729291e-06,0.0,-0.4596594760616218,0.0002571000438369732,1.5929679820716134e-06,1.0825561535924308e-06,-1.2413069341757432e-05,1.6774016405640861,1.557662221470801e-05,0.0,-1.1210879336091614e-06,-0.7557600170218265,-0.8512995074917382,1.0000067056566402,-5.789055053438857e-07,0.0
0.1,310.0,-0.004589368323803765,-0.0002231707776631473,9.843880496520716e-06,7.077696768629575e-07,-0.055025933846158934,0.10428134245326695,-0.05115182722534839,0.0001960760122786933,-0.0011840349278224244,-8.094764310151216e-06,4.8654976215275245e-06,-0.5081014301293353,1.7100255955311027e-06,0.0,-0.46726567700587146,0.0003599517976719069,1.2244031858014944e-06,4.4318239163160427e-07,-1.1848311542255632e-05,1.6232854274339936,1.5129079070806618e-05,0.0,-1.1995527503508983e-06,-0.7447056685330556,-0.8126423636065787,1.000004034277823,-4.285703891523816e-07,0.0
0.1,320.0,-0.004831210240693579,-0.00023597074010385638,1.0384421708311396e-05,4.2280915068597466e-07,-0.059774346182376474,0.11502984307529643,-0.05722735614822783,0.00020383997868432828,-0.0012509025901960241,-7.91729975847685e-06,4.722449057329671e-06,-0.5008414184248166,1.172997325427588e-06,0.0,-0.4744626041540369,0.0003734586329733797,6.954287323769339e-07,-2.762960873045392e-07,-1.1443543194256851e-05,1.5725526770477234,1.45034457060884e-05,0.0,-1.390693893588835e-06,-0.7337039840166366,-0.7769400838780591,1.000001720290799,-2.2551027263968425e-07,0.0
0.1,330.0,-0.005054935247825451,-0.00024639503513060356,9.238045814210719e-06,1.2770658884553903e-07,-0.06456834184404697,0.12617755351162327,-0.06355095236541934,0.00016922329651514688,-0.001311898514346302,-7.828482590235369e-06,4.635724197415365e-06,-0.49393333190453165,6.24692110049778e-07,0.0,-0.4812819564262642,0.0003132313659172836,1.4709937098215872e-07,-9.710737666511744e-07,-1.1133754440248323e-05,1.524896150899721,1.3782222337118254e-05,0.0,-1.603306016898947e-06,-0.7227902303575495,-0.7438789522204722,0.9999999656136356,-2.1355594038971743e-08,0.0
0.1,340.0,-0.005266299168980451,-0.00025488225644514615,6.911602859816651e-06,-1.2789771005546272e-07,-0.06940920333746187,0.13770230037672435,-0.07012593960287396,0.00010538013388992329,-0.001368263002571072,-7.762009864015367e-06,4.573656717641657e-06,-0.4873537206772144,1.5201470306268704e-07,0.0,-0.48775628005275196,0.00020235677664851736,-3.289445266223399e-07,-1.5751875601384818e-06,-1.0868595259829257e-05,1.4800444867864886,1.303684509373164e-05,0.0,-1.7770293792793193e-06,-0.7119930029290128,-0.7131891290717531,0.9999988275916616,1.5169758931766407e-07,0.0
0.1,350.0,-0.00547248666565649,-0.0002620653186501303,3.918602556402027e-06,-3.180111155587317e-07,-0.07429881441694544,0.14958207454162592,-0.0769568718743737,2.5969456921678602e-05,-0.001421830603408843,-7.676891497109984e-06,4.514679141940917e-06,-0.48108122064319453,-2.0030915976803245e-07,0.0,-0.49391671135856663,6.473611519395795e-05,-6.84598438650149e-07,-2.0563304784452407e-06,-1.0614227211554381e-05,1.4377571626973007,1.2320580483619884e-05,0.0,-1.8797373746960627e-06,-0.7013354934202283,-0.6846370696374664,0.9999982752840906,2.7772919721155954e-07,0.0
0.1,360.0,-0.005680604329975467,-0.0002685990784046803,7.020379326193398e-07,-4.345197923518925e-07,-0.07923773000136938,0.1617951911864029,-0.0840466317838047,-5.7058594654508253e-05,-0.001474544629197666,-7.5526152786379285e-06,4.445807331084469e-06,-0.4750959810127581,-4.189434728080314e-07,0.0,-0.49979168191068984,-7.874973877770851e-05,-9.04472411465985e-07,-2.4071266127343803e-06,-1.0351137102356713e-05,1.3978202847981955,1.1668154082497953e-05,0.0,-1.900925684676092e-06,-0.6908363630029357,-0.6580193091750132,0.9999982302148427,3.5263695754165776e-07,0.0
0.1,370.0,-0.005896817336504756,-0.00027506227350608395,-2.398499635732515e-06,-4.811875191952611e-07,-0.08422437687807462,0.17432040905770038,-0.0913950247695641,-0.00013447078602243023,-0.0015281663043604367,-7.383269150519743e-06,4.360617409292278e-06,-0.4693793619196311,-5.112109166181426e-07,0.0,-0.5054063582221913,-0.0002119813764501982,-9.949067386050681e-07,-2.6364677711124933e-06,-1.0070628908753017e-05,1.3600430407868842,1.1098426125859296e-05,0.0,-1.84461208502558e-06,-0.6805104020492282,-0.6331574518915385,0.9999985938521027,3.799225980016732e-07,0.0
0.1,380.0,-0.006125957476217761,-0.0002819125964317129,-5.1517632781985584e-06,-4.6860737990019187e-07,-0.08925496508011965,0.1871370109381427,-0.0989983794191701,-0.00019997013138545885,-0.001584129791752328,-7.172227265295803e-06,4.257299025041705e-06,-0.46391379714487674,-4.96236421660427e-07,0.0,-0.5107825735751292,-0.00032397331142279486,-9.748110397401745e-07,-2.762377563102384e-06,-9.771341679146734e-06,1.324254697469297,1.0618044454895886e-05,0.0,-1.7232698669933107e-06,-0.6703690697515695,-0.6098941565079334,0.999999264894225,3.67308751237381e-07,0.0
0.1,390.0,-0.0063714424642353565,-0.0002894760594330755,-7.424240844329442e-06,-4.104355974374585e-07,-0.09432378833972062,0.20022485267707793,-0.10684975101568898,-0.0002499589277871773,-0.0016434957213643097,-6.927969803324161e-06,4.137024611348431e-06,-0.458682745471046,-3.9840547345463135e-07,0.0,-0.5159390516385264,-0.0004084552959503436,-8.688460478140447e-07,-2.806755674690287e-06,-9.45635020680772e-06,1.290302047764218,1.0225025697730596e-05,0.0,-1.5532514719841422e-06,-0.6604209590564266,-0.5880899189743494,1.0000001492504689,3.2428978328770126e-07,0.0
0.1,400.0,-0.006635380001585227,-0.00029795622934455685,-9.162442665351968e-06,-3.2083485118626987e-07,-0.099423694272953,0.21356438933331592,-0.11493943637164121,-0.0002830805464737649,-0.0017069649394184688,-6.661091727888732e-06,4.00269373409047e-06,-0.4536706807567476,-2.429467962705245e-07,0.0,-0.520891776326266,-0.0004630705918326499,-7.027866243959108e-07,-2.791845077685171e-06,-9.130989881690272e-06,1.2580472315158981,9.911810564207373e-06,0.0,-1.3516500015691794e-06,-0.6506722077725073,-0.5676204806196863,1.00000116506812,2.605081254184294e-07,0.0
0.1,410.0,-0.0069187659554184365,-0.0003074532915814995,-1.0373362882363446e-05,-2.1290179281485504e-07,-0.10454658846009245,0.22713668612397933,-0.12325560682477989,-0.00029969150479374087,-0.0017749246077702096,-6.3823361117385984e-06,3.858026433520675e-06,-0.4488630913045542,-5.3221440124824994e-08,0.0,-0.5256544115364652,-0.0004884541297544848,-5.006515844664306e-07,-2.7380811464172375e-06,-8.801353480851297e-06,1.2273658689183635,9.667661116434271e-06,0.0,-1.1343462245946134e-06,-0.6411268650606202,-0.5483747225780476,1.0000022445742405,1.8477886267852815e-07,0.0
0.1,420.0,-0.007221716600938358,-0.00031798648053504576,-1.1106099141754734e-05,-9.782583275065543e-08,-0.10968389703709178,0.24092342023112298,-0.13178494232035878,-0.00030135261362911086,-0.0018475078962196935,-6.101422480710506e-06,3.7069465722239746e-06,-0.44424647325593647,1.5072889652273182e-07,0.0,-0.530238712470665,-0.00048734458309952566,-2.831455792124036e-07,-2.6629586369976473e-06,-8.47333505144894e-06,1.198145456511908,9.48042664898022e-06,0.0,-9.149453705311997e-07,-0.631787217564026,-0.530252937603937,1.0000033339911623,1.0458460376269322e-07,0.0
0.1,430.0,-0.007543698173893285,-0.00032951605030509025,-1.1436084895813053e-05,1.5446435193884523e-08,-0.11482695264075207,0.2549068777797244,-0.1405132030421003,-0.00029038478615113353,-0.0019246555628551897,-5.826448113594756e-06,3.5531898977072948e-06,-0.43980831174208934,3.527657167391582e-07,0.0,-0.534654897127103,-0.00046380939093244747,-6.701046971096802e-08,-2.580598258244765e-06,-8.152084174206434e-06,1.1702839845287187,9.337771320085094e-06,0.0,-7.043350565995586e-07,-0.6226540777370974,-0.5131653958103624,1.0000043923836532,2.5889492052926568e-08,0.0
0.1,440.0,-0.007883733481005281,-0.0003419627689736256,-1.1452434690824554e-05,1.2022116800096461e-07,-0.11996729336255149,0.2690699487887398,-0.1494257102056938,-0.00026950738478057204,-0.002006172767619496,-5.563676439729518e-06,3.4000774104793112e-06,-0.4355370487629963,5.406790557712883e-07,0.0,-0.5389119642756152,-0.0004226136839665653,1.3503419270963835e-07,-2.5017616004676884e-06,-7.84174885522335e-06,1.1436887414412291,9.227974442825524e-06,0.0,-5.106474987193731e-07,-0.6137270366404443,-0.49703114106067675,1.000005389998505,-4.684478528877233e-08,0.0
0.1,450.0,-0.008240576308451628,-0.0003552240866925162,-1.1248353298242839e-05,2.1187518687768767e-07,-0.12509687838380495,0.28339612172060585,-0.15850772918408498,-0.000241560500262566,-0.00209177786599612,-5.317569407133903e-06,3.250404931793752e-06,-0.43142203949372804,7.058827360507783e-07,0.0,-0.5430179551068582,-0.0003687354682315068,3.13999497893031e-07,-2.434129092670852e-06,-7.5454092398985e-06,1.1182752773099962,9.140408425409948e-06,0.0,-3.394635248215281e-07,-0.6050046836746824,-0.4817769702610932,1.000006306446583,-1.1052622349013385e-07,0.0
0.1,460.0,-0.008612851260135888,-0.0003691868327274336,-1.0914277003607026e-05,2.875755704782802e-07,-0.1302082308975858,0.29786947841341566,-0.16774476028598595,-0.00020930368926635331,-0.0021811420901271515,-5.090959960084707e-06,3.1064106384820463e-06,-0.42745349986571307,8.42939389172403e-07,0.0,-0.5469801618887947,-0.00030701403583044824,4.641516085461684e-07,-2.382711550800581e-06,-7.265128689799593e-06,1.0939665022249283,9.065783894013412e-06,0.0,-1.9414343164971413e-07,-0.596484796002135,-0.46733655947552527,1.0000071289332526,-1.6324181174654745e-07,0.0
