Pressure (atm),Temperature (K),B1_Frequencies_1_R1->P1,B1_Frequencies_1_P1->W1,B1_Energy_1_R1->P1,B1_Energy_1_P1->W1,B4_Energy_1_R1->P1,B4_Energy_1_P1->W1,W1_Frequencies_1_R1->P1,W1_Frequencies_1_P1->W1,B3_Frequencies_1_R1->P1,B3_Frequencies_1_P1->W1,R1_Frequencies_1_R1->P1,R1_Frequencies_1_P1->W1,B2_Frequencies_1_R1->P1,B2_Frequencies_1_P1->W1,B4_SymmetryFactor_1_R1->P1,B4_SymmetryFactor_1_P1->W1,B1_SymmetryFactor_1_R1->P1,B1_SymmetryFactor_1_P1->W1,colrel_Sigmas_R1->P1,colrel_Sigmas_P1->W1,W3_SymmetryFactor_1_R1->P1,W3_SymmetryFactor_1_P1->W1,B3_SymmetryFactor_1_R1->P1,B3_SymmetryFactor_1_P1->W1,W3_Energy_1_R1->P1,W3_Energy_1_P1->W1,P1_Frequencies_1_R1->P1,P1_Frequencies_1_P1->W1,B2_SymmetryFactor_1_R1->P1,B2_SymmetryFactor_1_P1->W1,B4_Frequencies_1_R1->P1,B4_Frequencies_1_P1->W1,W1_SymmetryFactor_1_R1->P1,W1_SymmetryFactor_1_P1->W1,colrel_PowerOne_R1->P1,colrel_PowerOne_P1->W1,colrel_FactorOne_R1->P1,colrel_FactorOne_P1->W1,R1_Energy_1_R1->P1,R1_Energy_1_P1->W1,W3_Frequencies_1_R1->P1,W3_Frequencies_1_P1->W1,P1_SymmetryFactor_1_R1->P1,P1_SymmetryFactor_1_P1->W1,colrel_Epsilons_R1->P1,colrel_Epsilons_P1->W1,B2_Energy_1_R1->P1,B2_Energy_1_P1->W1,B3_Energy_1_R1->P1,B3_Energy_1_P1->W1,R1_SymmetryFactor_1_R1->P1,R1_SymmetryFactor_1_P1->W1,W1_Energy_1_R1->P1,W1_Energy_1_P1->W1,P1_Energy_1_R1->P1,P1_Energy_1_P1->W1
0.1,200.0,-0.0026931273441653525,1.229478792557437e-07,-0.00019693226217060047,1.4915859072858226e-06,-0.00010380694295597336,-2.4483496415075794,-8.685634191456237e-05,-2.4782791678078024,-0.012408922211698158,0.0,0.0187079381987804,0.0,-0.007267739523441012,0.0,9.05799906462479e-06,-0.36562315472177626,-0.0008558594779847177,6.594540305026874e-07,-0.00011121392839944741,0.7845396262933386,1.9935832892232405e-05,9.54552412673183e-09,-0.6223326708728651,0.0,-0.00010732616745386532,3.2868319868195248e-09,0.0,-2.694857982751198e-06,-0.3551887654158038,0.0,-2.3573340872012995e-05,-2.6501948314804104e-08,-0.00011724212026764606,-0.6421171855963097,-8.76379742377361e-05,-0.2522832168119063,-0.00011219039607903155,0.6122660660554391,2.5160488785276787,0.0,-6.363676744614643e-05,-1.0630159712032204e-06,0.0,1.000012317256217,-0.00010631046109914624,0.1696004041953964,-0.8499670939428429,-0.002389534501882608,-1.52055758599022,-0.002389534501882608,0.9999376991422996,0.0,2.6216639006003518e-05,-0.06522096935282008,0.0,2.516119025044305
0.1,210.0,-0.0024659670608420596,-3.8779153925324404e-07,-0.00016735042700444762,-6.049476852036457e-06,-2.3168683899027774e-05,-2.3273359934755105,-9.011224663531702e-06,-2.532661895308762,-0.014683315087657899,0.0,0.02361576013104728,0.0,-0.008837351358211648,0.0,-0.0004326890442831702,-0.34959890122390913,-0.0006782676165157877,-2.529581479215764e-06,-2.2771599645407174e-05,0.8044382235128414,6.929601155403154e-06,-5.757269158048236e-08,-0.6083352811328088,0.0,-5.67910376656111e-06,-1.236521805734348e-08,0.0,2.996934794851836e-05,-0.3683446328984365,0.0,-0.0007343142252675561,9.844385434030768e-08,-6.930321846595529e-06,-0.6577997779718736,-2.074498159685101e-06,-0.25737127555815625,-3.16374811467796e-05,0.614435941098625,2.3962553618429694,0.0,1.577614917527307e-05,4.156779587577385e-06,0.0,1.0000063178299297,-1.243428724263476e-05,0.17353400537669053,-0.8431446907745073,0.009892524242681689,-1.4171895016662759,0.009892524242681689,0.9999342310337578,0.0,-1.1354754262508774e-06,-0.08547378167346266,0.0,2.396282796497656
0.1,220.0,-0.0029762841350957263,-1.63363097612852e-07,-0.0002110244665135781,3.56543624701398e-06,1.5214803996151151e-05,-2.21416719762999,2.9802434380462367e-06,-2.5913261035695387,-0.01838617688249006,0.0,0.029145967265320625,0.0,-0.01218792514752327,0.0,0.00023481571007896617,-0.3349939348767634,-0.0008178295142523741,1.1052773758438085e-06,-9.529504842419818e-06,0.8225256849483372,7.020379466648945e-06,1.0157003632010472e-07,-0.5954628766640961,0.0,5.9764238196594645e-06,6.838760648491749e-09,0.0,-6.423578843812636e-05,-0.381437296880763,0.0,0.0004136097378806574,-4.732128736113656e-08,6.13448901382461e-06,-0.6723136486754662,8.021016737362923e-06,-0.19168352051063256,-1.6486290350784266e-05,0.6458151216731765,2.28733091093629,0.0,2.7052446884327687e-05,-2.4779924951441813e-06,0.0,1.0000019074564006,1.542539797927818e-06,0.17670040014520766,-0.8363417873255226,-0.007048103097742173,-1.3260871147975362,-0.007048103097742173,0.9999469902720171,0.0,-2.2953741937975492e-06,-0.06333041305102227,0.0,2.2873646668165377
0.1,230.0,-0.0031824010290618173,7.154102080595085e-07,-0.00021147384824833613,5.961744064483315e-06,1.3666630524734352e-05,-2.1126202481563334,1.29487082761834e-06,-2.642334104800531,-0.02176428853881399,0.0,0.03529896174012081,0.0,-0.015123967374236581,0.0,0.0002828279192214954,-0.32126786213411146,-0.0008703538303077629,2.776679528466926e-06,-1.1758120372421278e-05,0.8395443544405702,8.535394739921055e-06,9.420220753362656e-09,-0.5832686626051545,0.0,1.4245436399483894e-06,1.0365649026599385e-08,0.0,-9.359576123088463e-06,-0.39338984016997947,0.0,0.0004867717502675514,-8.968363124476716e-08,1.3098814351005657e-06,-0.6858303037456773,4.068740933667164e-06,-0.1604342881577605,-1.6527753063538533e-05,0.6611472213650412,2.1878932956456216,0.0,2.2979156476600853e-05,-3.6515591710436486e-06,0.0,1.0000052151186103,-9.361640879700853e-07,0.1792662769779483,-0.8284503511535972,-0.008866122563898474,-1.244380907456027,-0.008866122563898474,0.9999672529359016,0.0,9.667260065409707e-08,-0.06182019458605009,0.0,2.187925265382592
0.1,240.0,-0.0031990757370045364,8.558118920044443e-07,-0.00018857076537484227,3.3833934798783603e-06,1.602367432718792e-07,-2.0210211823124427,-7.543432431055333e-07,-2.6871493464573586,-0.025078610015208707,0.0,0.042058468799544994,0.0,-0.018020602086007885,0.0,1.313121104880986e-05,-0.308457042820704,-0.0008580918382464914,1.564514729602722e-06,-1.408958902649602e-05,0.8554436149066617,9.038473493253151e-06,-9.366143010163147e-08,-0.5717592399684239,0.0,-1.836921810403126e-06,3.4278321952422875e-09,0.0,5.2880522077024334e-05,-0.40442939121470417,0.0,1.7596835984739464e-05,-5.60543654640379e-08,-2.336528331429554e-06,-0.6983697119739143,8.719856935082042e-07,-0.14936308149996727,-1.7888881750722806e-05,0.6669527229071577,2.0967492048055902,0.0,1.83845994260193e-05,-1.1152111199863846e-06,0.0,1.000009905617653,-3.6718484857701644e-06,0.18120680553338464,-0.8194910394080346,-0.0020121709728067997,-1.1707150371950545,-0.0020121709728067997,0.9999862570380058,0.0,1.2834022001259189e-06,-0.07228291997944533,0.0,2.0967701799623755
0.1,250.0,-0.0032175664342852742,7.044189914814483e-08,-0.000167564206992411,8.959957831249026e-07,-9.840716789815288e-06,-1.93717525890933,-1.2014862700857968e-06,-2.728396738833757,-0.028637539466678578,0.0,0.049398853066877,0.0,-0.02132556315578484,0.0,-0.00022414731622060594,-0.2965657680230767,-0.0008428313541947228,-1.0262418996469274e-06,-1.426941840516009e-05,0.8702066282594759,8.610284018732975e-06,-9.276399536650853e-08,-0.5609487160485691,0.0,-2.0886218113297137e-06,-4.428198321420725e-09,0.0,5.9260558494533605e-05,-0.4148295016796973,0.0,-0.000389765913256574,-9.975399497020416e-09,-2.7803727591285687e-06,-0.7100032521123383,5.789851912865281e-08,-0.1382746553529985,-1.7940725752965775e-05,0.6721281119261717,2.012894094959656,0.0,1.5995321594967733e-05,1.7842916048276855e-06,0.0,1.0000120079696309,-4.299965362177776e-06,0.18255108867386372,-0.8097265066118796,0.004712143556429621,-1.1041345257125927,0.004712143556429621,1.0000000110474558,0.0,1.2157336243863244e-06,-0.08257807176728134,0.0,2.0129021209382967
0.1,260.0,-0.0033223818208022184,-1.0692236167073523e-06,-0.00015894367947536688,1.3253440837156969e-06,-1.2449311613986326e-05,-1.8595025542771353,-6.679081426144209e-07,-2.7675477053941075,-0.03253405849360294,0.0,0.057293697055957306,0.0,-0.025202810437742446,0.0,-0.0003038282739901604,-0.28552281668755425,-0.0008546455606796865,-3.334124691092784e-06,-1.3089758424293507e-05,0.8839163362532692,7.75111951555532e-06,-9.890422980231631e-09,-0.5508047289888881,0.0,-8.055590731108545e-07,-8.604866836371304e-09,0.0,2.2062168297834307e-05,-0.42472423115450214,0.0,-0.00052194409011216,1.6803768441684068e-08,-1.5287497082455464e-06,-0.720833223263667,5.145507796923725e-07,-0.11884738818586407,-1.695573842585324e-05,0.6803275861758499,1.9354827434455808,0.0,1.5318655365745272e-05,3.3648837256215192e-06,0.0,1.000010775972659,-3.6192644723563846e-06,0.18336986176412365,-0.7994098873168903,0.0076874831150224865,-1.0438096250940998,0.0076874831150224865,1.000007959384223,0.0,6.090441110725054e-07,-0.08771362009201324,0.0,1.9354806332855023
0.1,270.0,-0.003517024448341602,-1.8543504020284369e-06,-0.00016282003309312247,5.300441719464442e-06,-9.29581901237527e-06,-1.7870488641658033,9.115106657418961e-08,-2.805076606408832,-0.03672777062970036,0.0,0.06571868027467977,0.0,-0.029629369812218125,0.0,-0.0002443668677264957,-0.27522813231834187,-0.0008968632537449677,-4.25451029971717e-06,-1.1518700044456125e-05,0.8966961173086101,6.8390109895818354e-06,8.933281969889161e-08,-0.5412697833863958,0.0,6.84617677531828e-07,-8.535527358268109e-09,0.0,-2.56891733071483e-05,-0.434152622404504,0.0,-0.00041318603564122333,1.944472859433057e-08,9.296164469469336e-09,-0.7309589602524036,1.192103683165025e-06,-0.09117432952136253,-1.5587950993297445e-05,0.6915410896709888,1.8637989280861436,0.0,1.5433627839616884e-05,3.356100965734665e-06,0.0,1.0000071324128788,-2.590465830974835e-06,0.18374125140458666,-0.7887344669147952,0.006944751230676849,-0.9889901044523959,0.006944751230676849,1.000011169478137,0.0,-1.8138957546976503e-08,-0.08773873063959667,0.0,1.8637910588599067
0.1,280.0,-0.0037710318649032343,-1.7615516762050786e-06,-0.00017512211196276853,1.22126490851034e-05,-3.4170481180643753e-06,-1.719263690754965,6.623730659543524e-07,-2.840958658654767,-0.041136836552814325,0.0,0.07465139095122289,0.0,-0.03451487878068221,0.0,-0.00011265890224913653,-0.2655868636400216,-0.0009607056508648825,-3.3015907938477235e-06,-1.0119692912114087e-05,0.9086647811219859,6.066259856747379e-06,1.5169556694659002e-07,-0.5322824475114826,0.0,1.7274535035850418e-06,-5.512056511855307e-09,0.0,-5.921293416094952e-05,-0.4431169997912604,0.0,-0.00018045315205145922,5.614154869583142e-09,1.1206046549704586e-06,-0.7404617925576967,1.56495600155728e-06,-0.05864265340533259,-1.4275148178336368e-05,0.704343640250891,1.7972305730938667,0.0,1.569221818441109e-05,2.173714437768888e-06,0.0,1.0000024224462003,-1.7495133273299332e-06,0.18373361620254702,-0.7778390187238966,0.0039448381795984064,-0.9390074723466011,0.0039448381795984064,1.0000111582529008,0.0,-4.365927440942281e-07,-0.08466684896296695,0.0,1.7972209659852383
0.1,290.0,-0.004049779401265788,-5.370592642530224e-07,-0.0001913276668077308,2.0998628784890574e-05,2.6212555868258946e-06,-1.6558034644889827,9.225627262912483e-07,-2.8750227545322518,-0.045686679776094793,0.0,0.0840703464332817,0.0,-0.039769108249903366,0.0,2.816717951551507e-05,-0.25652233500368743,-0.001035134245998325,-4.551247707711568e-07,-9.098155738131492e-06,0.9199187765564186,5.492767659002208e-06,1.5327942008969904e-07,-0.523787735342667,0.0,2.166829627556902e-06,-1.2160748480913835e-09,0.0,-6.862479957069707e-05,-0.4516164333393004,0.0,6.660246366410212e-05,-1.4390729167655444e-08,1.619284340495779e-06,-0.7494036533572518,1.503806479326628e-06,-0.02486770190793259,-1.3206762648972129e-05,0.717226449456087,1.7352505056084955,0.0,1.577232463077002e-05,4.1021462287760735e-07,0.0,0.9999977900450516,-1.269135443325999e-06,0.1834019451836217,-0.7668230966393623,0.00025157978583397595,-0.89327807158021,0.00025157978583397595,1.0000093169678768,0.0,-6.06845367503558e-07,-0.08064244516200028,0.0,1.7352420570609248
