Pressure (atm),Temperature (K),B1_Frequencies_1_R1->P1,B1_Frequencies_1_P1->W1,B1_Energy_1_R1->P1,B1_Energy_1_P1->W1,B4_Energy_1_R1->P1,B4_Energy_1_P1->W1,W1_Frequencies_1_R1->P1,W1_Frequencies_1_P1->W1,B3_Frequencies_1_R1->P1,B3_Frequencies_1_P1->W1,R1_Frequencies_1_R1->P1,R1_Frequencies_1_P1->W1,B2_Frequencies_1_R1->P1,B2_Frequencies_1_P1->W1,B4_SymmetryFactor_1_R1->P1,B4_SymmetryFactor_1_P1->W1,B1_SymmetryFactor_1_R1->P1,B1_SymmetryFactor_1_P1->W1,colrel_Sigmas_R1->P1,colrel_Sigmas_P1->W1,W3_SymmetryFactor_1_R1->P1,W3_SymmetryFactor_1_P1->W1,B3_SymmetryFactor_1_R1->P1,B3_SymmetryFactor_1_P1->W1,W3_Energy_1_R1->P1,W3_Energy_1_P1->W1,P1_Frequencies_1_R1->P1,P1_Frequencies_1_P1->W1,B2_SymmetryFactor_1_R1->P1,B2_SymmetryFactor_1_P1->W1,B4_Frequencies_1_R1->P1,B4_Frequencies_1_P1->W1,W1_SymmetryFactor_1_R1->P1,W1_SymmetryFactor_1_P1->W1,colrel_PowerOne_R1->P1,colrel_PowerOne_P1->W1,colrel_FactorOne_R1->P1,colrel_FactorOne_P1->W1,R1_Energy_1_R1->P1,R1_Energy_1_P1->W1,W3_Frequencies_1_R1->P1,W3_Frequencies_1_P1->W1,P1_SymmetryFactor_1_R1->P1,P1_SymmetryFactor_1_P1->W1,colrel_Epsilons_R1->P1,colrel_Epsilons_P1->W1,B2_Energy_1_R1->P1,B2_Energy_1_P1->W1,B3_Energy_1_R1->P1,B3_Energy_1_P1->W1,R1_SymmetryFactor_1_R1->P1,R1_SymmetryFactor_1_P1->W1,W1_Energy_1_R1->P1,W1_Energy_1_P1->W1,B1_ImaginaryFrequency_1_R1->P1,B1_ImaginaryFrequency_1_P1->W1,P1_Energy_1_R1->P1,P1_Energy_1_P1->W1
0.1,200.0,-0.0025032114252977,7.426568405887379e-07,-0.0001994893012903059,2.0779177765945974e-06,-6.3647544639126e-05,-2.4485559330935645,-0.00010070461486867071,-2.474646284743173,-0.012387334317428925,0.0,0.018723005393344722,0.0,-0.007231190624862037,0.0,3.114679574599552e-05,-0.36644240253344196,-0.0007646549711984686,1.1059550699527698e-06,7.139624237581507e-06,0.7835464125229257,-1.3258839632566796e-05,-9.752087453078316e-08,-0.6222626618999163,0.0,-0.0001145092514371138,-2.249199994759927e-08,0.0,-2.07817607842644e-06,-0.35516059661046645,0.0,5.8627679742143885e-05,3.0311797984709426e-07,-6.081855809297068e-05,-0.641246605662818,-8.573217903202548e-05,-0.25180345128602194,7.343882455677519e-06,0.6110946310162342,2.5160591949047113,0.0,-8.053160673105986e-05,-1.0024933543012921e-06,0.0,1.000008399014258,-2.4346955999566037e-05,0.16937809093880382,-0.8499236294085767,-0.0023885133280259095,-1.5205617671712022,-0.0023885133280259095,0.9999405960726262,0.0,4.4301692414729165e-05,-0.06513785653606496,4.8402682927535596e-05,-8.632154342689863e-06,0.0,2.5161137581974042
0.1,210.0,-0.002261648719555474,-3.149465032522253e-06,-0.00015866251611884274,-8.590735524847941e-06,-1.6199918400333326e-06,-2.326878628683903,-5.589168181844636e-07,-2.5289710792531257,-0.01466482465708621,0.0,0.023639874196846232,0.0,-0.008832989396298943,0.0,-0.00042295209160341543,-0.35043196886870426,-0.0006230810410109377,-4.558683000081529e-06,5.4000992038198596e-05,0.8034153619895386,-8.852156276260791e-07,3.581937489536279e-07,-0.6083188990731253,0.0,-1.954422115565422e-06,8.443247542098533e-08,0.0,2.7499254918249726e-05,-0.3683275423239656,0.0,-0.000725979241004319,-1.1751705070437368e-06,5.602873116075023e-06,-0.6569005473986119,-1.0700521085272412e-05,-0.2568541129260364,7.358952403524786e-05,0.6131619822982997,2.3962630337050537,0.0,-3.300835920012084e-05,3.902976434325483e-06,0.0,1.0000133174857666,2.1156442337867542e-05,0.1733039351471293,-0.8431224471097563,0.00987880275539119,-1.417183343332211,0.00987880275539119,0.9999310585432004,0.0,7.933762858622331e-06,-0.08536028141028144,-5.553917968811784e-06,3.2817171201258066e-05,0.0,2.3962929164813547
0.1,220.0,-0.0027971120178634052,2.167885612422408e-06,-0.00020655180014478826,5.4703670173292665e-06,2.0514555903745048e-05,-2.2146133298645956,8.352763386834583e-06,-2.5870218457535716,-0.01838713424816132,0.0,0.02914585339381221,0.0,-0.012193162537229603,0.0,0.0002288899696606921,-0.3360474510471574,-0.0007877054863467545,2.9138704618239492e-06,4.597538343236643e-05,0.8212185622642187,-1.176035269409411e-05,-1.5583234644879805e-07,-0.595462476311732,0.0,7.02276421804858e-06,-4.6686573408872246e-08,0.0,-6.261296287445201e-05,-0.3814366062463612,0.0,0.00040602881721370075,7.50105938803349e-07,6.600611941739317e-06,-0.6712165804394185,-3.7115241453546813e-06,-0.19124218943431748,6.791845453843962e-05,0.644418068476601,2.2873266115812414,0.0,-3.459102247236669e-05,-2.3033502663789266e-06,0.0,1.000005883848167,1.832422607626143e-05,0.17643378176990585,-0.8363393296392522,-0.0069917574950779625,-1.3260942586872904,-0.0069917574950779625,0.9999399413078622,0.0,-6.143895046154059e-07,-0.0632226007680668,-4.335156281582671e-06,-1.441334636216367e-05,0.0,2.2873766983703097
0.1,230.0,-0.00302207614032746,3.2106476747596536e-06,-0.00020683665472873941,9.03195322745885e-06,1.2204427872279437e-05,-2.113181037428293,1.8092146486637663e-06,-2.637855438926116,-0.021772266825457645,0.0,0.03528884532975441,0.0,-0.01512634450846913,0.0,0.0002739224461020471,-0.32240396706728885,-0.000846263677152578,4.589807922156751e-06,3.4940684078436734e-05,0.8381324569154552,-1.773053273224945e-05,-3.3507833750611464e-07,-0.5832692707900381,0.0,-6.386700669121644e-08,-7.037654714237329e-08,0.0,-7.202263685660593e-06,-0.3933923673081599,0.0,0.00048317142616369576,9.210209849024738e-07,-2.095093578814561e-07,-0.6846708459322736,-7.288884686373717e-06,-0.1600484641543766,5.5467808254491435e-05,0.6596742900924956,2.187886982251095,0.0,-3.837812903819875e-05,-3.4154951439068957e-06,0.0,1.0000041485731632,1.0069691958124535e-05,0.17897769128573326,-0.8284544410281383,-0.008842169531400337,-1.2443942138918316,-0.008842169531400337,0.9999624105825836,0.0,-1.3268115121501673e-06,-0.06171077211566093,1.2429852338936236e-05,-3.373355537680324e-05,0.0,2.1879325934864435
0.1,240.0,-0.0030485301510328445,7.477904767679067e-07,-0.00018054660430192435,4.940297198774116e-06,-2.220009336994141e-06,-2.0212391142951605,-2.566728654049781e-06,-2.682765406163318,-0.025084465113514247,0.0,0.042050984257157434,0.0,-0.01801689460232459,0.0,8.588199496701363e-06,-0.3095877426144584,-0.000830502473056529,1.3309100794601505e-06,2.9826333799275637e-05,0.8540404410667466,-1.766946112995392e-05,-1.7648454486755067e-07,-0.5717571094301398,0.0,-4.10953573403004e-06,-2.3102605264899028e-08,0.0,5.3323470983529254e-05,-0.40442749014554125,0.0,2.1577407765990875e-05,1.7571159012031166e-07,-3.2971032025228105e-06,-0.6972293909222157,-8.69138641222953e-06,-0.14902001660051142,4.878212269882205e-05,0.6654431734408106,2.096747219198526,0.0,-3.7496522765943186e-05,-1.0630548350718286e-06,0.0,1.0000056977078975,5.267566737079754e-06,0.18091026512190395,-0.8194932081124191,-0.0020419987770813027,-1.170727169822322,-0.0020419987770813027,0.9999858945355942,0.0,-5.369189751000877e-07,-0.07216657418699912,3.32055762646491e-05,-1.6318533072923137e-05,0.0,2.0967720022903955
0.1,250.0,-0.0030723938741253755,-2.3801192895256795e-06,-0.00015622888561255704,2.390418243022305e-07,-1.107165131504269e-05,-1.9370533614356396,-3.3407108024802864e-06,-2.724160101526999,-0.028638513804392342,0.0,0.04939852823282652,0.0,-0.021317188908230734,0.0,-0.00022295337878091952,-0.2976723734835161,-0.0008099986234727184,-3.0043183069727613e-06,2.9017454509177978e-05,0.8688359857397717,-1.5016137011942238e-05,8.83342442718221e-08,-0.5609444677096697,0.0,-4.2035053831340915e-06,2.9988949606069086e-08,0.0,5.7914737558361406e-05,-0.41482187551598537,0.0,-0.00038033243340612223,-4.7229977579835237e-07,-2.9695650878814115e-06,-0.7088964814239811,-7.320576995141772e-06,-0.1379786880648467,4.694695836498451e-05,0.670606696308356,2.012897556648225,0.0,-3.403937838014828e-05,1.6353246302687174e-06,0.0,1.0000070405335688,3.7482215730064906e-06,0.1822544831644345,-0.8097238569939069,0.004658797582834413,-1.104142626353467,0.004658797582834413,1.0000034430460027,0.0,8.721972022667339e-08,-0.0824554745163572,5.340778989993171e-05,1.593654589180778e-05,0.0,2.0129002286568287
0.1,260.0,-0.003181731557278273,-4.250601095975116e-06,-0.000146074250145709,-1.050257063389592e-06,-1.2547498294635617e-05,-1.8592336282258832,-2.2598369682443514e-06,-2.7634178763043065,-0.03253109382287514,0.0,0.0572998182358664,0.0,-0.025192546210035704,0.0,-0.00029857963443986256,-0.2866168132235265,-0.0008185045457076656,-5.745753613098963e-06,2.9813867798790347e-05,0.882562867866271,-1.2327068626739544e-05,2.898262124662071e-07,-0.5508000154381246,0.0,-2.584759802524478e-06,5.7940754957602666e-08,0.0,1.9889919578624425e-05,-0.4247127885932698,0.0,-0.0005102948538776214,-6.549772122456057e-07,-1.2680886560706685e-06,-0.719746100537528,-4.75555822571691e-06,-0.11860835048390776,4.7210854042823234e-05,0.6788102632801776,1.9354899688163243,0.0,-3.049956255807375e-05,3.1136916378413646e-06,0.0,1.0000067513970714,3.878015542555058e-06,0.1830771204472168,-0.7994028199865961,0.007645656405978227,-1.0438139437837244,0.007645656405978227,1.000013351284035,0.0,3.2396012979719807e-07,-0.08758815284639027,7.069242072647618e-05,4.087600848771894e-05,0.0,1.9354772820661952
0.1,270.0,-0.0033815800899188917,-4.101679884426921e-06,-0.000150430279504267,2.0834019187934177e-06,-9.022066168449342e-06,-1.7868240483676148,-8.277644057934567e-07,-2.801005838510646,-0.036723006333008575,0.0,0.06572853936931763,0.0,-0.02961971524914214,0.0,-0.00023752785394985394,-0.2763234668399559,-0.0008602242022897799,-5.794983744994575e-06,3.052250016941181e-05,0.8953410638179462,-1.0705863255135288e-05,3.5957339172199553e-07,-0.5412659686057981,0.0,-9.3455379461468e-07,5.7234519602527224e-08,0.0,-2.76071833996108e-05,-0.43414003101277115,0.0,-0.0004019581000897663,-4.2260205440917305e-07,4.0918248625628685e-07,-0.7298759835158914,-2.2184473347328895e-06,-0.09099939604556964,4.771309116298817e-05,0.690039766983195,1.863807498554163,0.0,-2.8154548938010257e-05,3.1199062251327796e-06,0.0,1.00000490421966,4.44206523470999e-06,0.18345460068848077,-0.7887246923979323,0.006933656604940305,-0.9889921586923343,0.006933656604940305,1.0000166999088913,0.0,3.0364840326101445e-07,-0.08761385303189906,8.399464992231128e-05,4.480976735389836e-05,0.0,1.8637880154112287
0.1,280.0,-0.003641706069356694,-1.9462963730206047e-06,-0.0001647235461386455,8.949312844412212e-06,-3.5520964281148242e-06,-1.7191974642910381,2.080542002942005e-07,-2.8369256345337366,-0.0411322391664981,0.0,0.074662218895789,0.0,-0.034507491959362306,0.0,-0.00010631742076446895,-0.26668900904427395,-0.0009259070172572611,-3.1207616213905278e-06,3.046521904189165e-05,0.9073001978559243,-1.0303028138896162e-05,3.0046121296428934e-07,-0.5322802676646746,0.0,2.9011856173555657e-08,3.680790914376182e-08,0.0,-6.010642289867913e-05,-0.4431054610425384,0.0,-0.0001712780899977219,3.11890578679641e-08,1.473057695792126e-06,-0.7393762312963099,-2.6180159243898984e-07,-0.05853362472951501,4.7642590089628815e-05,0.7028684378036282,1.7972384272023185,0.0,-2.727531586474975e-05,2.0388973861737994e-06,0.0,1.0000021763292386,4.837254939880151e-06,0.18345476106938816,-0.7778283904811998,0.003966200430843528,-0.9390088894580193,0.003966200430843528,1.0000155141511757,0.0,1.765148877806141e-07,-0.08454499238336784,9.318568939353684e-05,2.2612724400828805e-05,0.0,1.7972192659148678
0.1,290.0,-0.003927136399947603,1.8177672741316207e-06,-0.00018372838286524043,1.8224215933696444e-05,1.5623054027526501e-06,-1.6559283791104085,6.516564090394207e-07,-2.871035481593655,-0.04568353527986413,0.0,0.08408012270559244,0.0,-0.03976478351951039,0.0,3.268381504686393e-05,-0.2576273407644975,-0.0010036231192345998,1.7673504061799345e-06,2.9582894792616574e-05,0.9185488947524584,-1.0829269684461153e-05,1.5079285777500423e-07,-0.5237873622354444,0.0,2.1931998218010043e-07,8.063771502181661e-09,0.0,-6.813000074181439e-05,-0.4516072968387919,0.0,7.299258976625024e-05,5.219153120949498e-07,1.845651394219288e-06,-0.7483183134006571,1.0215736648024793e-06,-0.024821458350488754,4.6855970481173726e-05,0.7157863737634458,1.7352563153899443,0.0,-2.7599886433194094e-05,4.187680554517364e-07,0.0,0.9999992931485449,4.878458888606835e-06,0.18313246496778332,-0.7668130861434571,0.0002956174099390666,-0.8932800737211405,0.0002956174099390666,1.0000117838381744,0.0,3.86632036167821e-08,-0.08052487666327336,9.876334112012263e-05,-2.476169257159284e-05,0.0,1.7352420910249968
0.1,300.0,-0.004211477224923625,6.670002556844408e-06,-0.00020339612257945687,2.8568190262090633e-05,5.069545094461046e-06,-1.596697109659312,5.89382376259316e-07,-2.903213976081817,-0.05032481371735047,0.0,0.09396180595080933,0.0,-0.045325993543211957,0.0,0.00013922735543926752,-0.24907416548688996,-0.0010837314884632094,8.177635411550328e-06,2.8095810914833713e-05,0.9291681924835876,-1.187924107584023e-05,-4.1276764103369284e-08,-0.5157410909875764,0.0,-1.640634792840451e-07,-1.977407286038212e-08,0.0,-5.369713808020899e-05,-0.4596532832380683,0.0,0.0002606192481067816,9.288170977112178e-07,1.6821402107966206e-06,-0.7567555239780125,1.7626139992028478e-06,0.007535691987080672,4.552313967749459e-05,0.727729333908979,1.6774048037604314,0.0,-2.868504067790547e-05,-1.2636616644613421e-06,0.0,0.9999967924153685,4.595196868093078e-06,0.18253156808686508,-0.755751569171494,-0.0029528893365469355,-0.8513027895728701,-0.0029528893365469355,1.000007071618063,0.0,-6.513757273377243e-08,-0.07709202997600523,0.00010155752217137186,-9.292347793219544e-05,0.0,1.677397734427249
0.1,310.0,-0.0044799336566330355,1.211131517984192e-05,-0.00022126770174676362,3.8898865597460536e-05,6.57984119568098e-06,-1.5412309351831952,2.0497017238035644e-07,-2.9334183156471236,-0.055026840061920615,0.0,0.10428642209595707,0.0,-0.051153550821932715,0.0,0.0001957509571048886,-0.24098340125174458,-0.0011602512258025441,1.5436267122722504e-05,2.6295617652757812e-05,0.9392158087844721,-1.3091044429917721e-05,-2.3208192014635575e-07,-0.5081038380727843,0.0,-8.523985141732262e-07,-4.097737240593961e-08,0.0,-2.4703944087577345e-05,-0.4672623675957278,0.0,0.0003609098053308442,1.1978399194009577e-06,1.1988298174394861e-06,-0.7647275932278192,2.1599694872869007e-06,0.03715352038501361,4.390481358423769e-05,0.738160695634841,1.6232859032646858,0.0,-3.0100382897833265e-05,-2.6815359552623034e-06,0.0,0.9999949758689183,4.09701519092354e-06,0.18168843377482183,-0.7446992435838303,-0.005174508855674423,-0.8126471596768329,-0.005174508855674423,1.0000024378753398,0.0,-1.23053304296904e-07,-0.07505992913967668,0.00010249636336160356,-0.000176069972310519,0.0,1.6232863755924525
0.1,320.0,-0.004727629262454547,1.7728273470997885e-05,-0.00023625286255531534,4.846494448707527e-05,6.2577916170869556e-06,-1.4892737215707204,-3.1901275349539895e-07,-2.9616876044171487,-0.05977693402797202,0.0,0.11503256273896383,0.0,-0.057231389717311745,0.0,0.00020142199704836026,-0.23332148578986736,-0.0012305214469116841,2.2978609876459148e-05,2.444222782755605e-05,0.9487333373936551,-1.4203379018009634e-05,-3.886427407674888e-07,-0.5008445335674879,0.0,-1.6128115257738965e-06,-5.302458309825181e-08,0.0,9.616328258910994e-06,-0.47446174545322123,0.0,0.0003723639640994761,1.3248686678539574e-06,5.89113158273947e-07,-0.7722656370459223,2.3991353694774944e-06,0.06363508773318394,4.224043067209774e-05,0.7469661742594219,1.5725507902842637,0.0,-3.151042782550858e-05,-3.6573226207938922e-06,0.0,0.9999939452830985,3.5015175976740604e-06,0.180634910915204,-0.7336996698764875,-0.006188816244922419,-0.7769462977904528,-0.006188816244922419,0.9999985053565329,0.0,-1.4008947832000772e-07,-0.07465666683855095,0.0001024505739573995,-0.00026829652377980773,0.0,1.5725580016547118
0.1,330.0,-0.00495649010862268,2.321090510517353e-05,-0.0002482197078335397,5.682105354782282e-05,4.54762228928526e-06,-1.440573740577153,-8.418423589484025e-07,-2.9881238400977783,-0.0645720851592581,0.0,0.1261783827705945,0.0,-0.06355665482751832,0.0,0.0001652341550960633,-0.2260622923461058,-0.0012942789219096982,3.0376576900466697e-05,2.272573919055109e-05,0.9577527728654515,-1.5059617968436825e-05,-4.89947207475572e-07,-0.4939367004298754,0.0,-2.2838037003705108e-06,-5.574718210032275e-08,0.0,4.14106444502498e-05,-0.4812829355377574,0.0,0.0003106549295737713,1.3357177148626451e-06,-6.452872801350835e-09,-0.7793959932154797,2.6206716590049013e-06,0.08722976528282918,4.070546832830898e-05,0.7543031444074302,1.5248924206610188,0.0,-3.2692796184816953e-05,-4.130909554124815e-06,0.0,0.9999936635796342,2.90340017342471e-06,0.179400231200913,-0.7227878648549235,-0.006094727987722037,-0.7438862895500644,-0.006094727987722037,0.999995567078559,0.0,-1.276246928890058e-07,-0.07572939838119526,0.00010214853135384584,-0.0003643278118456366,0.0,1.5249049293072972
