========================================
hono_W1_Energy_1_0.0.out
1 atm
T,P1->W1
200.0,1.37585e-11
210.0,1.25286e-11
220.0,1.14237e-11
230.0,1.04316e-11
240.0,9.54043e-12
250.0,8.73788e-12
260.0,8.01648e-12
270.0,7.3658e-12
280.0,6.77921e-12
290.0,6.24913e-12
300.0,5.769e-12
310.0,5.33479e-12
320.0,4.94101e-12
330.0,4.58218e-12
340.0,4.25621e-12
350.0,3.95853e-12
360.0,3.68697e-12
370.0,3.439e-12
380.0,3.21125e-12
390.0,3.0027e-12
400.0,2.81083e-12
410.0,2.6346e-12
420.0,2.47232e-12
430.0,2.32233e-12
440.0,2.18379e-12
450.0,2.05553e-12
460.0,1.93699e-12
470.0,1.82701e-12
480.0,1.72493e-12
490.0,1.63009e-12
500.0,1.54155e-12
510.0,1.45915e-12
520.0,1.38242e-12
530.0,1.3107e-12
540.0,1.24354e-12
550.0,1.1808e-12
560.0,1.12211e-12
570.0,1.06699e-12
580.0,1.01522e-12
590.0,9.66655e-13
600.0,9.21019e-13
610.0,8.78079e-13
620.0,8.37675e-13
630.0,7.99429e-13
640.0,7.63492e-13
650.0,7.2962e-13
660.0,6.97503e-13
670.0,6.67289e-13
680.0,6.38612e-13
690.0,6.1164e-13
700.0,5.85876e-13
800.0,3.90742e-13
900.0,2.70547e-13
1000.0,1.92843e-13
1100.0,1.4089e-13
1200.0,1.05046e-13
1300.0,7.96998e-14
1400.0,6.13313e-14
1500.0,4.79155e-14
1600.0,3.77598e-14
1700.0,3.011e-14
1800.0,2.43614e-14
1900.0,1.97872e-14
2000.0,1.62632e-14
2100.0,1.35415e-14
2200.0,1.13107e-14
2300.0,9.57545e-15
2400.0,8.10525e-15
2500.0,7.02412e-15
2600.0,6.01236e-15
2700.0,5.24677e-15
2800.0,4.59126e-15
2900.0,3.99145e-15
3000.0,3.42699e-15
========================================
hono_W1_Energy_1_0.0.out
2 atm
T,P1->W1
200.0,1.7965e-11
210.0,1.65952e-11
220.0,1.53388e-11
230.0,1.41883e-11
240.0,1.31357e-11
250.0,1.21711e-11
260.0,1.12896e-11
270.0,1.0482e-11
280.0,9.74328e-12
290.0,9.06646e-12
