    E, kcal/mol    D, mol/kcal         W1->P0
            -50              0            ***
          -49.5              0            ***
            -49              0            ***
          -48.5              0            ***
            -48              0            ***
          -47.5              0            ***
            -47              0            ***
          -46.5              0            ***
            -46              0            ***
          -45.5              0            ***
            -45              0            ***
          -44.5              0            ***
            -44              0            ***
          -43.5              0            ***
            -43              0            ***
          -42.5              0            ***
            -42              0            ***
          -41.5              0            ***
            -41              0            ***
          -40.5              0            ***
            -40              0            ***
          -39.5              0            ***
            -39              0            ***
          -38.5              0            ***
            -38              0            ***
          -37.5              0            ***
            -37              0            ***
          -36.5              0            ***
            -36              0            ***
          -35.5              0            ***
            -35              0            ***
          -34.5              0            ***
            -34              0            ***
          -33.5              0            ***
            -33              0            ***
          -32.5              0            ***
            -32              0            ***
          -31.5              0            ***
            -31              0            ***
          -30.5              0            ***
            -30              0            ***
          -29.5              0            ***
            -29              0            ***
          -28.5              0            ***
            -28              0            ***
          -27.5              0            ***
            -27              0            ***
          -26.5              0            ***
            -26              0            ***
          -25.5              0            ***
            -25              0            ***
          -24.5              0            ***
            -24              0            ***
          -23.5              0            ***
            -23              0            ***
          -22.5              0            ***
            -22              0            ***
          -21.5              0            ***
            -21              0            ***
          -20.5              0            ***
            -20              0            ***
          -19.5              0            ***
            -19              0            ***
          -18.5              0            ***
            -18              0            ***
          -17.5              0            ***
            -17              0            ***
          -16.5              0            ***
            -16              0            ***
          -15.5              0            ***
            -15              0            ***
          -14.5        1164.23              0
            -14        2851.78              0
          -13.5        3861.33              0
            -13        4656.94              0
          -12.5        5335.19              0
            -12        5936.45              0
          -11.5        6482.18              0
            -11        9315.79              0
          -10.5        10948.7              0
            -10        12253.4              0
           -9.5          13390              0
             -9        15999.6              0
           -8.5          18410              0
             -8        21906.9              0
           -7.5        24943.3              0
             -7        27349.9              0
           -6.5        31733.7              0
             -6        34839.7              0
           -5.5        40058.4              0
             -5        43678.6              0
           -4.5        49199.4              0
             -4        53052.9              0
           -3.5        59939.1              0
             -3        65853.7              0
           -2.5        72621.4              0
             -2        78190.8              0
           -1.5        85057.5              0
             -1        93261.8              0
           -0.5         100367              0
   -3.52416e-14         110190              0
            0.5         118437         567.89
              1         128014        13748.1
            1.5         137595         150904
              2         150629    1.12504e+06
            2.5         160832     6.8448e+06
              3         173859    3.47013e+07
            3.5         184407    1.51644e+08
              4         196821    5.23983e+08
            4.5         210966    1.34966e+09
              5         226754    2.71448e+09
            5.5         241248    4.69622e+09
              6         255993    7.28834e+09
            6.5         272130    1.04384e+10
              7         287399    1.41982e+10
            7.5         307631    1.82247e+10
              8         325336     2.2866e+10
            8.5         345672    2.77611e+10
              9         364492    3.31961e+10
            9.5         387394    3.86587e+10
             10         407848    4.48147e+10
           10.5         432092    5.10775e+10
             11         454292    5.81436e+10
           11.5         478908    6.54818e+10
             12         504151    7.32942e+10
           12.5         529911    8.15758e+10
             13         558981    8.98529e+10
           13.5         585305    9.90584e+10
             14         615273    1.08115e+11
           14.5         644566    1.17722e+11
             15         677354    1.27096e+11
           15.5         708054    1.37259e+11
             16         743635     1.4689e+11
           16.5         776783     1.5745e+11
             17         812527    1.67962e+11
           17.5         849536    1.78688e+11
             18         887748    1.89629e+11
           18.5         927880    2.00616e+11
             19         967724    2.12107e+11
           19.5    1.00889e+06     2.2374e+11
             20    1.05114e+06    2.35545e+11
           20.5    1.09691e+06    2.46955e+11
             21     1.1414e+06    2.59035e+11
           21.5    1.18934e+06    2.70705e+11
             22    1.23577e+06      2.831e+11
           22.5    1.28452e+06    2.95371e+11
             23     1.3353e+06    3.07592e+11
           23.5    1.38883e+06    3.19604e+11
