========================================
me_W1_Energy_1_0.0.out
0.1 atm
T,W1->P0
200.0,2.79173e-09
210.0,1.82396e-08
220.0,1.00429e-07
230.0,4.75794e-07
240.0,1.97735e-06
250.0,7.32813e-06
260.0,2.45033e-05
270.0,7.48241e-05
280.0,0.00021084
290.0,0.000552034
300.0,0.00135373
310.0,0.00312927
320.0,0.00686011
330.0,0.0143146
340.0,0.0285689
350.0,0.0547879
360.0,0.101152
370.0,0.180465
380.0,0.312182
390.0,0.524194
400.0,0.856735
410.0,1.36681
420.0,2.12873
430.0,3.24532
440.0,4.84868
450.0,7.11428
460.0,10.2513
470.0,14.5308
480.0,20.2927
490.0,27.9188
500.0,37.8918
510.0,50.8008
520.0,67.2581
530.0,88.0377
540.0,113.997
550.0,146.247
560.0,185.695
570.0,233.62
580.0,291.555
590.0,360.714
600.0,442.883
610.0,540.002
620.0,653.462
630.0,785.425
640.0,938.614
650.0,1114.45
660.0,1315.24
670.0,1544.05
680.0,1803.58
690.0,2095.54
700.0,2422.95
800.0,8275.69
900.0,20768.8
1000.0,42238.7
1100.0,74185.9
1200.0,117204.0
1300.0,171122.0
1400.0,235798.0
1500.0,309865.0
1600.0,393721.0
1700.0,484992.0
1800.0,583966.0
1900.0,690754.0
2000.0,804019.0
2100.0,921320.0
2200.0,1045050.0
2300.0,1172130.0
2400.0,1306420.0
2500.0,1447710.0
2600.0,1581850.0
2700.0,1736490.0
========================================
me_W1_Energy_1_0.0.out
0.5 atm
T,W1->P0
200.0,5.71353e-09
210.0,3.88085e-08
220.0,2.21506e-07
230.0,1.08511e-06
240.0,4.65214e-06
250.0,1.77471e-05
260.0,6.09703e-05
270.0,0.000190953
280.0,0.000550955
290.0,0.00147502
300.0,0.00369364
310.0,0.0087079
320.0,0.0194481
330.0,0.0413003
340.0,0.0838085
350.0,0.16327
360.0,0.305971
370.0,0.553699
380.0,0.970831
390.0,1.65127
400.0,2.73218
410.0,4.40977
420.0,6.94557
430.0,10.703
440.0,16.1546
450.0,23.9377
460.0,34.82
470.0,49.8033
480.0,70.1597
490.0,97.3363
500.0,133.172
510.0,179.93
520.0,240.005
530.0,316.428
540.0,412.592
550.0,532.853
560.0,680.989
570.0,862.097
580.0,1082.47
590.0,1347.17
600.0,1663.39
610.0,2039.33
620.0,2481.05
630.0,2997.65
640.0,3600.17
650.0,4295.33
660.0,5093.51
670.0,6006.9
680.0,7047.73
690.0,8224.09
700.0,9548.96
800.0,33812.2
900.0,87211.2
1000.0,181152.0
1100.0,323411.0
1200.0,517533.0
1300.0,763418.0
1400.0,1060600.0
1500.0,1403210.0
1600.0,1792940.0
1700.0,2219110.0
1800.0,2682500.0
1900.0,3183860.0
2000.0,3716490.0
2100.0,4269780.0
2200.0,4854480.0
2300.0,5455920.0
2400.0,6091920.0
2500.0,6760550.0
2600.0,7399470.0
2700.0,8131520.0
========================================
me_W1_Energy_1_0.0.out
1.0 atm
T,W1->P0
200.0,7.58491e-09
210.0,5.24343e-08
220.0,3.04205e-07
230.0,1.51309e-06
240.0,6.57969e-06
250.0,2.54341e-05
260.0,8.84667e-05
270.0,0.000280295
280.0,0.000817544
290.0,0.00221116
300.0,0.0055904
310.0,0.0132991
320.0,0.0299561
330.0,0.0641302
340.0,0.131133
350.0,0.257314
360.0,0.485528
370.0,0.884384
380.0,1.56027
390.0,2.66956
400.0,4.44202
410.0,7.2079
420.0,11.4114
430.0,17.6715
440.0,26.798
450.0,39.8888
460.0,58.2744
470.0,83.6966
480.0,118.378
490.0,164.864
500.0,226.397
510.0,306.976
520.0,410.874
530.0,543.501
540.0,710.946
550.0,920.979
560.0,1180.53
570.0,1498.8
580.0,1887.19
590.0,2355.03
600.0,2915.37
610.0,3583.32
620.0,4370.18
630.0,5292.77
640.0,6371.18
650.0,7618.31
660.0,9053.76
670.0,10699.7
680.0,12579.4
690.0,14708.2
700.0,17110.6
800.0,61601.4
900.0,160909.0
1000.0,337518.0
1100.0,607167.0
1200.0,977404.0
1300.0,1448680.0
1400.0,2020290.0
1500.0,2681350.0
1600.0,3434990.0
1700.0,4260840.0
1800.0,5160130.0
1900.0,6134060.0
2000.0,7169660.0
2100.0,8247150.0
2200.0,9386600.0
2300.0,10559400.0
2400.0,11800000.0
2500.0,13104100.0
2600.0,14353800.0
2700.0,15781700.0
========================================
me_W1_Energy_1_0.0.out
2.0 atm
T,W1->P0
200.0,9.91958e-09
